['../../../../global500/3/2014', '1', '2', '沃尔玛（WAL-MART STORES)', '476294.0', '16022.0', '美国']
['../../../../global500/1/2014', '2', '1', '荷兰皇家壳牌石油公司（ROYAL DUTCH SHELL)', '459599.0', '16371.0', '荷兰']
['../../../../global500/9/2014', '3', '4', '中国石油化工集团公司（SINOPEC GROUP)', '457201.1', '8932.1', '中国']
['../../../../global500/13/2014', '4', '5', '中国石油天然气集团公司（CHINA NATIONAL PETROLEUM)', '432007.7', '18504.8', '中国']
['../../../../global500/2/2014', '5', '3', '埃克森美孚（EXXON MOBIL)', '407666.0', '32580.0', '美国']
['../../../../global500/4/2014', '6', '6', '英国石油公司（BP)', '396217.0', '23451.0', '英国']
['../../../../global500/15/2014', '7', '7', '国家电网公司（STATE GRID)', '333386.5', '7982.8', '中国']
['../../../../global500/14/2014', '8', '9', '大众公司（VOLKSWAGEN)', '261539.1', '12071.5', '德国']
['../../../../global500/10/2014', '9', '8', '丰田汽车公司（TOYOTA MOTOR)', '256454.8', '18198.2', '日本']
['../../../../global500/550/2014', '10', '12', '嘉能可（GLENCORE)', '232694.0', '-7402.0', '瑞士']
['../../../../global500/6/2014', '11', '10', '道达尔公司（TOTAL)', '227882.7', '11204.6', '法国']
['../../../../global500/5/2014', '12', '11', '雪佛龙（CHEVRON)', '220356.0', '21423.0', '美国']
['../../../../global500/40/2014', '13', '14', '三星电子（SAMSUNG ELECTRONICS)', '208938.4', '27245.3', '韩国']
['../../../../global500/41/2014', '14', '18', '伯克希尔－哈撒韦公司（BERKSHIRE HATHAWAY)', '182150.0', '19476.0', '美国']
['../../../../global500/253/2014', '15', '19', '苹果公司（APPLE)', '170910.0', '37037.0', '美国']
['../../../../global500/73/2014', '16', '20', '安盛（AXA)', '165893.5', '5950.1', '法国']
['../../../../global500/22/2014', '17', '21', '俄罗斯天然气工业股份公司（GAZPROM)', '165016.7', '35769.4', '俄罗斯']
['../../../../global500/26/2014', '18', '15', '意昂集团（E.ON)', '162560.0', '2843.6', '德国']
['../../../../global500/608/2014', '19', '16', 'Phillips 66公司（Phillips 66)', '161175.0', '3726.0', '美国']
['../../../../global500/23/2014', '20', '23', '戴姆勒股份公司（DAIMLER)', '156628.4', '9083.2', '德国']
['../../../../global500/18/2014', '21', '22', '通用汽车公司（GENERAL MOTORS)', '155427.0', '5346.0', '美国']
['../../../../global500/17/2014', '22', '17', '埃尼石油公司（ENI)', '154108.7', '6850.2', '意大利']
['../../../../global500/11/2014', '23', '13', '日本邮政控股公司（JAPAN POST HOLDINGS)', '152125.8', '4782.1', '日本']
['../../../../global500/551/2014', '24', '26', 'EXOR集团（EXOR GROUP)', '150996.9', '2768.0', '意大利']
['../../../../global500/92/2014', '25', '29', '中国工商银行（INDUSTRIAL & COMMERCIAL BANK OF CHINA)', '148802.6', '42718.1', '中国']
['../../../../global500/19/2014', '26', '28', '福特汽车公司（FORD MOTOR)', '146917.0', '7155.0', '美国']
['../../../../global500/12/2014', '27', '24', '通用电气公司（GENERAL ELECTRIC)', '146231.0', '13057.0', '美国']
['../../../../global500/34/2014', '28', '25', '巴西国家石油公司（PETROBRAS)', '141462.0', '11094.0', '巴西']
['../../../../global500/42/2014', '29', '42', '麦克森公司（MCKESSON)', '138030.0', '1263.0', '美国']
['../../../../global500/33/2014', '30', '27', '瓦莱罗能源公司（VALERO ENERGY)', '137758.0', '2720.0', '美国']
['../../../../global500/20/2014', '31', '31', '安联保险集团（ALLIANZ)', '134636.1', '7960.1', '德国']
['../../../../global500/109/2014', '32', '30', '鸿海精密工业股份有限公司（HON HAI PRECISION INDUSTRY)', '133161.7', '3594.8', '中国']
