标题,链接,房屋总价,房屋户型,房本面积,房屋朝向,所在楼层,装修情况,产权年限,建筑年代,房屋类型,交易权属,参考首付,税费总计,是否唯一,税费描述
江城路 临近城站 交通方便 户型正气 全明东边套 ,http://hz.58.com/ershoufang/33422917470410x.shtml,285                                万（单价40140                                元/㎡）,2室2厅1卫,71㎡,南,中层/共7层,中等装修,70年,1996年,普通住宅,商品房,85.5                                万（月供8178元/月）,,,
蓝钻天成申花银泰城旁 双地铁高端精装酒店式公寓  ,http://hz.58.com/ershoufang/30799587878985x.shtml,168                                万（单价27096                                元/㎡）,2室2厅1卫,62㎡,南北,中层/共8层,中等装修,40年,2015年,普通住宅,商住两用,50.4                                万（月供4820元/月）,,,
极 品80.14方送花园和储藏室 ,http://short.58.com/zd_p/022f286f-588c-407e-85af-a9d0a1d00e52/?target=eh-16-xgk_psfegvimob_83865417569001q-feykn&end=end,176                                万（单价21961                                元/㎡）,2室1厅1卫,80.14㎡,南北,共3层,中等装修,70年,,普通住宅,商品房,52.8                                万（月供5050元/月）,,,
美都广场，总价低，三证齐全，仅售41万市中心地段 ,http://hz.58.com/ershoufang/29914736082750x.shtml,41                                万（单价10250                                元/㎡）,1室1厅1卫,40㎡,南,低层/共18层,中等装修,40年,2007年,普通住宅,商住两用,12.3                                万（月供1177元/月）,,,
庆春路金融街，浙一浙二附近，中间楼层，户型正气， ,http://hz.58.com/ershoufang/33433980781614x.shtml,150                                万（单价30000                                元/㎡）,2室1厅1卫,50㎡,南北,中层/共6层,中等装修,70年,1989年,普通住宅,商品房,45                                万（月供4304元/月）,,,
瓜沥老街 2室2厅1卫 ,http://hz.58.com/ershoufang/33156056339249x.shtml,65                                万（单价4961                                元/㎡）,2室2厅1卫,131㎡,南,低层/共6层,中等装修,70年,,四合院,其他,19.5                                万（月供1864元/月）,,,
天都城蓝调公寓观景房 中等装修 180万，赶紧过 ,http://hz.58.com/ershoufang/33523299050057x.shtml,180                                万（单价20224                                元/㎡）,3室2厅1卫,89㎡,南北,高层/共23层,中等装修,70年,2015年,普通住宅,其他,54                                万（月供5167元/月）,,,
易居时代 东边套电梯房+精致装修+世纪公园 配套 ,http://hz.58.com/ershoufang/33475236028980x.shtml,220                                万（单价16417                                元/㎡）,3室2厅2卫,134㎡,南北,低层/共17层,中等装修,70年,2010年,普通住宅,商品房,66                                万（月供6315元/月）,,,
潘水小区，小区位置好，地铁旁，户型方正，诚心出售 ,http://hz.58.com/ershoufang/33520015905331x.shtml,273                                万（单价21000                                元/㎡）,3室2厅2卫,130㎡,南,低层/共6层,中等装修,70年,1995年,普通住宅,其他,81.9                                万（月供7834元/月）,,,
婚装全明东边户1房，格局工整合理得房率超高的 ,http://hz.58.com/ershoufang/33508111493819x.shtml,97                                万（单价15396                                元/㎡）,1室1厅1卫,63㎡,南北,中层/共25层,中等装修,70年,2000年,普通住宅,其他,29.1                                万（月供2782元/月）,,,
户型3室1厅众安理想湾急售！！！ ,http://hz.58.com/ershoufang/33499911437495x.shtml,170                                万（单价19101                                元/㎡）,3室2厅1卫,89㎡,南北,中层/共34层,中等装修,70年,2016年,普通住宅,其他,51                                万（月供4878元/月）,,,
新出两房 三江新村 刚需两房 低总价 刚需的福音 ,http://hz.58.com/ershoufang/33495164768814x.shtml,196                                万（单价24197                                元/㎡）,2室2厅1卫,81㎡,南北,共5层,中等装修,70年,2008年,普通住宅,商品房,58.8                                万（月供5624元/月）,,,
四房四阳台，赠送20万装修，满五唯一，没有税 可 ,http://hz.58.com/ershoufang/33454727456062x.shtml,300                                万（单价27027                                元/㎡）,4室2厅2卫,111㎡,南,高层/共33层,中等装修,70年,2011年,普通住宅,商品房,90                                万（月供8611元/月）,,,
星都花园，临近地铁，旺角城对面， 多层，诚心出售 ,http://hz.58.com/ershoufang/33520010481086x.shtml,308                                万（单价28785                                元/㎡）,3室2厅1卫,107㎡,南,低层/共6层,中等装修,70年,2000年,普通住宅,其他,92.4                                万（月供8838元/月）,,,
广和公寓 高桥初中 湘师附小 学籍未用 房东诚心 ,http://hz.58.com/ershoufang/33519910353471x.shtml,136                                万（单价27755                                元/㎡）,1室1厅1卫,49㎡,南,低层/共6层,中等装修,70年,2005年,普通住宅,其他,40.8                                万（月供3902元/月）,,,
