标题,链接,房屋总价,房屋户型,房本面积,房屋朝向,所在楼层,装修情况,产权年限,建筑年代,房屋类型,交易权属,参考首付
22万自住精装修 可改三房 全明西边套 拎包入住 ,http://hz.58.com/ershoufang/33473136799820x.shtml,195                                万（单价27857                                元/㎡）,2室2厅1卫,70㎡,南北,中层/共7层,豪华装修,70年,2003年,普通住宅,商品房,58.5                                万（月供5597元/月）
地铁口08年建成小区，三房朝南通透结构，精装修全 ,http://hz.58.com/ershoufang/33500786636858x.shtml,388                                万（单价36261                                元/㎡）,3室2厅1卫,107㎡,南,高层/共15层,豪华装修,70年,2008年,普通住宅,商品房,116.4                                万（月供11134元/月）
西湖区三墩镇，都市阳光和苑，旁，地铁边，双税无， ,http://hz.58.com/ershoufang/33432561951673x.shtml,150                                万（单价23809                                元/㎡）,2室2厅1卫,63㎡,南北,低层/共25层,豪华装修,70年,2013年,普通住宅,商品房,45                                万（月供4304元/月）
新挂房源：主卧朝南，全明户型，精装修 房东诚心出 ,http://hz.58.com/ershoufang/33498556257229x.shtml,215                                万（单价28666                                元/㎡）,2室2厅1卫,75㎡,南北,中层/共7层,豪华装修,70年,1995年,普通住宅,商品房,64.5                                万（月供6171元/月）
万科公园大道，豪华装修带地暖，不靠马路，采荷，马 ,http://hz.58.com/ershoufang/33507084557884x.shtml,350                                万（单价39772                                元/㎡）,3室2厅1卫,88㎡,南北,低层/共15层,豪华装修,70年,2015年,普通住宅,商品房,105                                万（月供10044元/月）
朝晖四区 新出大两房 全明西边套 送20万装修  ,http://short.58.com/zd_p/6199b35d-6451-46e0-9507-99a5e6489fb2/?target=eh-16-xgk_psfegvimob_88521392594679q-feykn&end=end,180                                万（单价27692                                元/㎡）,2室2厅1卫,65㎡,南北,中层/共7层,豪华装修,70年,1989年,普通住宅,商品房,54                                万（月供5167元/月）
西子花园，靠近西湖文化广场，精致装修 电梯大三房 ,http://short.58.com/zd_p/d3510944-43cd-4c9d-9b98-f369b4fd0821/?target=eh-16-xgk_psfegvimob_88142785225386q-feykn&end=end,270                                万（单价23275                                元/㎡）,3室2厅2卫,116㎡,南北,中层/共21层,豪华装修,70年,1998年,普通住宅,商品房,81                                万（月供7748元/月）
西溪湿地正对面，豪华全智能家居全送，买到就是赚到 ,http://short.58.com/zd_p/779a1749-a0e9-49fb-ad21-8b67ca724181/?target=eh-16-xgk_psfegvimob_88520654027121q-feykn&end=end,155                                万（单价33695                                元/㎡）,1室1厅1卫,46㎡,东,高层/共6层,豪华装修,40年,2017年,公寓,商品房,46.5                                万（月供4449元/月）
银泰城 地铁口 精装修 西城纪 蓝钻天成 中交财 ,http://short.58.com/zd_p/573b048a-addd-4403-8bc1-192fef250f7b/?target=eh-16-xgk_psfegvimob_88561797592568q-feykn&end=end,99                                万（单价24750                                元/㎡）,3室2厅1卫,40㎡,南,中层/共13层,豪华装修,70年,2012年,普通住宅,商品房,29.7                                万（月供2840元/月）
西湖文化广场 朝晖一区 精装修未入住小两房 全朝 ,http://short.58.com/zd_p/28a7f7c4-ffb1-4a32-b077-2d358c074174/?target=eh-16-xgk_psfegvimob_88876802425631q-feykn&end=end,142                                万（单价31555                                元/㎡）,2室1厅1卫,45㎡,南,高层/共6层,豪华装修,70年,1985年,普通住宅,商品房,42.6                                万（月供4074元/月）
