商品名称,价格,商品链接
NikeLab x RT Victorious Minotaurs男子T恤,￥499,https://store.nike.com/cn/zh_cn/pd/nikelab-10-rt-victorious-minotaurs-%E7%94%B7%E5%AD%90t%E6%81%A4-2R9nm8/pid-11805480/pgid-11868041
Nike Air Force 1 '07男子运动鞋,￥749,https://store.nike.com/cn/zh_cn/pd/air-force-1-07-%E7%94%B7%E5%AD%90%E8%BF%90%E5%8A%A8%E9%9E%8B-jnTp8zLd/pid-10005902/pgid-11454573
Nike Air Force 1 Mid '07男子运动鞋,￥799,https://store.nike.com/cn/zh_cn/pd/air-force-1-mid-07-%E7%94%B7%E5%AD%90%E8%BF%90%E5%8A%A8%E9%9E%8B-8FGZsm/pid-10033323/pgid-12407545
Nike Roshe One男子运动鞋,￥499,https://store.nike.com/cn/zh_cn/pd/roshe-one-%E7%94%B7%E5%AD%90%E8%BF%90%E5%8A%A8%E9%9E%8B-BvwgJL/pid-10000021/pgid-12412526
Nike Air Force 1 Mid '07男子运动鞋,￥799,https://store.nike.com/cn/zh_cn/pd/air-force-1-mid-07-%E7%94%B7%E5%AD%90%E8%BF%90%E5%8A%A8%E9%9E%8B-WPz2NL/pid-10033322/pgid-12412521
Nike Futura True 2 Snapback运动帽,￥199,https://store.nike.com/cn/zh_cn/pd/futura-true-2-snapback-%E8%BF%90%E5%8A%A8%E5%B8%BD-2FVpFz/pid-10022942/pgid-12412528
Air Jordan XXXII PF男子篮球鞋,"￥1,699",https://store.nike.com/cn/zh_cn/pd/air-jordan-32-pf-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-OnTrvbA9/pid-11903088/pgid-11933785
Nike AeroLoft LeBron男子篮球夹克,"￥2,199",https://store.nike.com/cn/zh_cn/pd/aeroloft-lebron-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E5%A4%B9%E5%85%8B-q9GzWx/pid-11521747/pgid-11933737
LeBron XV EP男子运动鞋,"￥1,599",https://store.nike.com/cn/zh_cn/pd/lebron-15-ep-%E7%94%B7%E5%AD%90%E8%BF%90%E5%8A%A8%E9%9E%8B-0nTgJ11M/pid-11823804/pgid-12014947
Jordan Lifestyle Hooded Down男子夹克,"￥1,699",https://store.nike.com/cn/zh_cn/pd/jordan-lifestyle-hooded-down-%E7%94%B7%E5%AD%90%E5%A4%B9%E5%85%8B-qrBWKH/pid-10995163/pgid-12412698
