问题发生时间,平台名称,所在地区,上线时间,出问题原因,url,注册资本,法人,风险暴露时间,注册人数,筹集资金,待收金额,现状
2018/3/26,易人金服,浙江省杭州市,2017/3/8,平台失联,https://www.p2peye.com/thread-1998270-1-1.html,1000万元人民币,陈一慧 ,2017年5月4日,不详,不详,不详,网站无法访问
2018/3/25,时时贷 （重庆）,重庆市江北区,--,平台失联,https://www.p2peye.com/thread-1997405-1-1.html,100万元人民币,张波,2015年12月22日,不详,不详,不详,网站无法访问
2018/3/19,赫轩投资,安徽省合肥市,--,平台失联,https://www.p2peye.com/thread-1992256-1-1.html,2400万元人民币,夏晓源 ,2015年10月13日,不详,不详,不详,网站无法访问，显示为博彩类网站
2018/3/28,长汇财富,河北省石家庄市,2015/12/15,提现困难,https://www.p2peye.com/thread-1999848-1-1.html,1000万元人民币,马长征,2018年3月17日,29185人,"307,433,886.19元","35,130,016.19元",提现困难，大量到期标的显示还款中
2018/3/8,益丰阿里,安徽省合肥市,2015/3/11,平台失联,https://www.p2peye.com/thread-1985946-1-1.html,1000万元人民币,林彩娥 ,不详,不详,不详,不详,网站无法访问
2018/3/28,鸿泰源投资,广东省深圳市,--,平台失联,https://www.p2peye.com/thread-2000031-1-1.html,7000万元人民币,彭应辉 ,2016年1月3日,不详,不详,不详,网站无法访问，显示为博彩类网站
2018/3/27,青蚨在线,北京市东城区,2014/3/1,提现困难,https://www.p2peye.com/thread-1998856-1-1.html,50000万元人民币,徐东亚 ,2018年1月31日,不详,不详,不详,提现困难
2018/3/8,鑫诚投资,安徽省马鞍山市,2016/3/24,平台失联,https://www.p2peye.com/thread-1985943-1-1.html,5000万元人民币,岳承平 ,2017年8月3日,不详,不详,不详,网站无法访问
2018/3/19,胜和财富,广东省深圳市,--,平台失联,https://www.p2peye.com/thread-1992254-1-1.html,5000万元人民币,王兴伟 ,2015年10月8日,不详,不详,不详,网站无法访问
2018/3/19,股东派,浙江省杭州市,2015/11/11,平台失联,https://www.p2peye.com/thread-1992263-1-1.html,10000万元人民币,王井华 ,2015年11月5日,不详,不详,不详,网站无法访问
2018/3/8,金通财富,山东省聊城市,--,平台失联,https://www.p2peye.com/thread-1985613-1-1.html,500万元人民币,姜少锋 ,2015年9月28日,不详,不详,不详,网站无法访问
2018/3/27,利魔方,北京市东城区,2015/6/1,平台失联,https://www.p2peye.com/thread-1998888-1-1.html,10000万元人民币,郭英来 ,2017年11月30日,592099人,"1,052,470,563元",不详,到期标的显示还款中，客服电话无人接听
2018/3/19,格联财富,上海市浦东新区,--,平台失联,https://www.p2peye.com/thread-1992271-1-1.html,1401.12万元人民币,李静 ,2015年11月24日,不详,不详,不详,网站无法访问
2018/2/11,潮人贷,广东省汕头市,2014/10/31,平台失联,https://www.p2peye.com/thread-1974550-1-1.html,1000万元人民币,简晓辉 ,2015年7月15日,不详,390431131.67元,47527251元,大量标的逾期，客服电话无人接听
