评分,评论题目,用户名,时间,评论内容
6.0 / 10,"Liam Neeson played by Liam Neeson. You've seen it before. But, it's still entertaining.",MickandRorty,12 January 2018,"There are certain actors in Hollywood that are so one-dimensional, but they play that one-dimension spot on. Liam Neeson is one of those guys. Another example is Jason Statham. Their roles are all the same, scripts slightly tweaked, yet the movie passes of as decent-to-good almost every time (except for the Taken sequels, but that isn't on Liam).Bottom line is, it's basically the movie non-stop, but on a commute instead of a plane. Liam Neeson plasy his same old self and plays his usual one-dimensional badass role. He did his job once again. This movie will bring in okay-enough numbers, and we will be presented with Liam Neeson's next challenge in about another year.Same old, decent-enough action movie.6/10"
7.0 / 10,"""Non Stop"" on rails: thoroughly familiar yet thoroughly enjoyable",Paul Allaer,12 January 2018,"""The Commuter"" (2018 release; 103 min.) brings the story of Michael McCauley. As the movie opens, we get to know Micheal as he goes about his daily routine of waking up at 6 am and getting ready to take the commuter train in Manhattan, where he works at an insurance company. Then one day, out of the blue, Michael is fired from his job, for no apparent reason and just as he needs the money to pay for his son's expensive college. Afterwards he commiserates with a buddy (and that's when we find out Michael used to be a NYC cop). On his commute train ride home, Michael gets approached by a mysterious woman who makes him an offer: identify the person who doesn't belong on the train, and get $100,000 in return. She tells him there is a $25,000 upfront payment in the bathroom. When Michael goes to check there, he can't believe it but yes, there's the money. He decides to take it. It's not long before strange things start to happen... At this point we're less than 15 min. into the movie, but to tell you more of the plot would spoil your viewing experience, you'll just have to see for yourself how it all plays out.Couple of comments: this is, if I'm counting right, the 4th collaboration between Spanish director Jaume Collet-Serra and lead actor Liam Neeson, after ""Unknown"", ""Non Stop"", and ""Run All Night"". (Collet-Serra also directed the excellent shark-drama ""The Shallows"".) Just looking at these prior films, you know EXACTLY what you are signing up for if you decide to check out ""The Commuter"". In fact, this movie could be called ""Non Stop on Rails"". Just like that earlier movie playing out on the one air flight, much of ""The Commuter"" plays out on the one commuter train ride back to suburban NYC. If this sounds like like a negative, you might be wrong, as I was on the edge of my seat trying to figure out what the heck was going on (in the best possible way). One-time 'serious' actor Liam Neeson's transformation into one of the best and most reliable action movie stars is absolutely remarkable. He brings a certain weight and charisma into these roles that not a lot of action movie stars have. Keep an eye out for an all-too-rare sighting of Elizabeth McGovern (as Neeson'swife). Sam Neil has a small role as the Police Captain. Vera Farmiga is her usual great in the small role of the mysterious woman. But in the end, this is of course the Liam Neeson show all the way. ""The Commuter"" opened wide this weekend. The Friday early evening screening where I saw this at was not attended very well, and surely the inclement weather here in Cincinnati was a large factor in that. I was in the mood for something to entertain me, and ""The Commuter"" was just what the doctor ordered: thoroughly familiar, yet thoroughly enjoyable too. If you are a fan of Liam Neeson's action movies, you cannot go wrong with this one. ""The Commuter"" is a WINNER."
8.0 / 10,"Fun movie, worth seeing on a big screen with big sound",Dan Phillips,12 January 2018,"Neeson creates a likable, sympathetic character. This is necessary for the heightening of tension, which screws on inexorably until you just don't see any way out for him.The camera-work was particularly masterful - creative, meticulous, thought out to a granular level. There are two particular action-pieces towards the climax that are breathtaking, at least one of which looks like (but surely isn't) a single, extended take. The camera defines space and gravity, and is part of the expeience.Yes, there are some credibility straining factors. But it is after all a movie, not a procedural. On the other hand, there are some very neat surprises.Glad we saw it!"
,"You know the drill, but it still is a fun ride.",jdesando,10 January 2018,Warning: Spoilers
7.0 / 10,great action movie,Beth DeMatteo,14 January 2018,"Like the movie, usually like anything he is in. It was fast paced and kept you thinking but it always annoys the **** out of me when the staff does not do their homework on a movie. I always love places where they show errors that are not picked up in scenes before the movie is finally printed. My gripe here was the ending where the standoff occurred in Beacon NY with NYPD police in charge. Did noone tell them that NYPD has no standing in that area? Where were the NY state troopers?? Just knitpicking I realize but that is someone's job.."
7.0 / 10,This is what you get when amateur writers think they can write a screenplay,Harrison Tweed (Top Dawg),12 February 2018,"The directing was decent, the acting was great, the cinematography on point but the writing and screenplay by both amateurs Philip de Blasi and Byron Willinger is what ruined this movie. There were more plot holes and ridiculous scenarios (and lack of logical ones) than there were commuters on the full train at the start. How difficult is it with such a big budget and top notch Hollywood backers to allow such garbage writing ruin what could have been a great film. Too bad, not even Liam Neeson could save this one. A generous 7/10 from me"
7.0 / 10,"Nothing new from Neeson, in a good way (and a bad way).",liamhorsfall,13 January 2018,"If you've seen one Neeson film, you've probably seen them all. Despite having already mastered the art of playing the grizzled, independant tough-guy, Neeson is back with The Commuter, in which he plays an unsuspecting ... well ... commuter, who is drawn into a criminal conspiracy which could kill everyone on-board.It's a familiar sounding plot, but it's one that Neeson excels in, in fact, he may be too good at it by now. With all that said, The Commuter, much like Taken, Taken 2, Taken 3, Non-Stop, A Walk Among the Tombstones, Run All Night and Schindlers List, is another fun Neeson film which you'll probably enjoy much more than you'd be willing to admit."
7.0 / 10,Strangers on a Train,rbrb,11 January 2018,"This is a decent action-thriller movie.A long time train commuter is surprised by a stranger on a train with an enticing offer; after a bad day at the office the commuter is dragged into an ever spiraling dangerous ride.There is danger, suspense and intrigue.Ok so parts of the story may be far fetched but all the players give first rate convincing performances and aided by a distinct feel of realism during the train journey, these factors convinces me the movie deserves a solid:7/10."
3.0 / 10,"""This train is freaking me out"".",bob-the-movie-man,20 January 2018,"""The Commuter"" is not a good film. You know that I'm not a prude about action films: ""Die Hard"" is one of my all time favourites and I even gave this actor/director combo's previous outing - ""Non-Stop"" - a rather generous three Fads. But like many of my commutes, this is a hundred minutes of life that I won't get back again.Liam Neeson (""A Monster Calls"", ""Taken 3"") plays Michael MacCauley an insurance salesman (no, I'm not making it up) who of course used to be a police officer with a certain set of skills. With advancing years, a couple of mortgages to keep up and a son about to go to college, he is financially rather exposed.When a bad day turns worse, the commuting MacCauley is approached by a mysterious woman (Vera Farmiga, ""The Judge"", ""Up In The Air"") who offers him a financial bail-out for doing ""just one small thing"". No, it's not for sex in the toilet... it's to use his familiarity with the train and its normal passengers to find the person that 'doesn't fit there'. For there is a lot at stake and MacCauley is drawn into a perilous game where his own life and the lives of his son and wife Karen (Elizabeth McGovern, ""Downton Abbey"") are put at risk. What the inexperienced writers (Byron Willinger, Philip de Blasi and Ryan Engle (""Non-stop"")) were clearly shooting for was a Hitchcockian ""ordinary man in deep-water"" style flick of the James Stewart ""North by Northwest"" variety.... but they really miss this by a mile. With the 65 year old Liam Neeson - here playing 60 - performing acrobatics on, under and across an express train, belief is not just suspended - it is hung drawn and quartered! The action is just ludicrously unrealistic. The plot also has more holes than a moth-eaten jumper. Omnipotence of the villains is evident, but never explained, and while they are fiendishly clever in some aspects they are face-palmingly stupid about others. (No spoilers, but the threat to MacCauley's family is mind-numbingly foilable).A 'major event' at the end of reel two (if you've seen the spoilerish trailer you'll know what this is) leads - notably without any 'consequence' - into a completely ridiculous final reel that beggars belief. It also includes a ""twist"" so obvious that the writers must have assumed an IQ of sub-50.This is a film that melds ""Taken"", ""Non-stop"", ""Unstoppable"", ""Strangers on a Train"" and - most bizarrely and cringe-worthily - ""Spartacus"" to create a cinematic mess of supreme proportions. I put director Jaume Collet-Serra's last film - ""The Shallows"" - into my Top 10 films of 2016. He'll be lucky if this one doesn't make my ""Turkeys of the Year"" list for 2018.Avoid!"
6.0 / 10,Decent Thriller Derailed by Ridiculous Third Act,Fletcher Conner,15 January 2018,"The Commuter delivers what it promises, a Liam Neeson action movie that relies on tension and a little bit of mystery to fill out its runtime. It begins very well with minimal exposition for the set up, using images or short conversations to explain what most movies would carve out five minutes of dialogue for. From there it evolves more like a mystery with an ordinary man in an extraordinary situation searching for someone on the train. As it enters the third act, it goes full action movie with explosions, fight scenes, and massive stakes. While this was to be expected from Jaume Collet-Serra, it undermines what had been a more contained thriller up to that point.It is shot well enough and uses an ensemble cast well, but no one besides Liam Neeson really has too much to do. Vera Farmiga and Jonathan Banks are both talented actors that are really underutilized. All in all, The Commuter is another Liam Neeson action movie that could be best described as ""Nonstop on a train."""
