评分,评论题目,用户名,时间,评论内容
 3/4,,David Nusair," February 21, 2018","An obvious improvement over Jaume Collet-Serra and Liam Neeson's previous collaboration, 2015's disastrous Run All Night, The Commuter follows Neeson's Michael MacCauley's recently-sacked insurance salesman as he's drawn into an elaborate conspiracy on board a train by Vera Farmiga's mysterious Joanna - with the narrative detailing Michael's ongoing and increasingly perilous efforts at completing Joanna's seemingly simple task. The degree to which The Commuter improves as it progresses is ultimately rather shocking, as the movie suffers from a decidedly hit-and-miss first half that doesn't hold a lot of promise - with the early emphasis on Michael's train-based investigation certainly perpetuating the less-than-engrossing vibe. (There are, for example, far too many scenes of Michael harrassing various passengers as he attempts to solve the mystery.) It's clear, though, that the film improves considerably as it progresses into its watchable and sporadically enthralling second half, as certain revelations pave the way for a far more streamlined atmosphere that's rife with thrilling action sequences - including a solid hand-to-hand fight in the train's vestibule and an unexpectedly over-the-top yet entertaining derailment interlude. Neeson's typically solid work as the grizzled central character remains a consistent highlight, to be sure, and the satisfying concluding stretch ensures that the whole thing ends on a palpably positive note - which confirms The Commuter's place as a solid thriller that's ultimately far better than one might've anticipated. "
 2.5/5,,Pete Vonder Haar," February 18, 2018",
 C,,Matthew Toomey," February 16, 2018","
We’re only a few weeks into 2018 but I’m comfortable in saying that The Commuter is one of the worst action films of the year.  It marks the fourth collaboration between Spanish director Jaume Collet-Serra and actor Liam Neeson.  Unknown was about a guy with amnesia who had his identity stolen.  Non-Stop was about an alcoholic air marshal aboard a hijacked flight.  Run All Night was about a hitman called out of retirement to protect his son.

If you think those storylines are over-the-top, wait until you see what’s been manufactured with The Commuter.  Liam Neeson plays Michael – a successful, hardworking insurance salesman with a loving wife back home.  Scratch that.  He’s unexpectedly fired in one of the film’s opening scenes.  With his son is about to head off to an expensive college, he’s got no idea how he’ll be able to pay the tuition fees and all the other bills that will soon mount up.

It’s at this point where the mayhem begins.  Michael is on the same train he’s caught to work every day for the past ten years and is approached by a mysterious woman (Farmiga).  She cryptically tells him that “someone on this train does not belong” and if he can find out who the person is before the train reaches its final destination, he’ll be rewarded with $100,000.  If he tells anyone about the task or alerts the authorities, his family will be in jeopardy.  She provides no meaningful information aside from that.  We don’t even know what the person looks like or what they’re hiding.

After quietly walking around the train and narrowing the list of suspects (based on the ticket stubs protruding from their seats), he starts asking a few questions.  It’s not long before pandemonium breaks out with everyone looking at Michael as if he’s some kind of deranged lunatic (deservedly so) and the incompetent security being called in.  He finds a way to avoid being captured so as to continue with his investigative work.

I love a good action-thriller but the content of this film doesn’t make a lot of sense.  It’s hard to believe how those behind the assignment are smart enough to create this elaborate task (complete with a bizarre hit and run) and yet they can’t figure out the identity of the person themselves.  It’s also a struggle to comprehend how everyone on the train remains on board despite Michael’s actions.  They keep talking to him too!

I won’t spoil the finale but it’s best to lower your expectations with The Commuter.  There’s no cool, original twist that justifies the tiring opening hour.  There’s just more farce and more unrealistic plot developments.  Liam Neeson recently announced that he’s retiring from action movies and whilst it’s been a fun ride (some of his movies have been great), it’s sad that he’ll be finishing on such a lacklustre note."
,,Victoria Alexander," February 14, 2018","Too implausible, too convoluted to be a serious thriller but Neeson is all in and director Collet-Serra has obvious talent. But who can dope out the plot?

When I lived in Westchester County and didn’t want to fight traffic and then squander my monthly voodoo points on finding a parking place on the street, I’d take the Metro-North train into and then out of New York City’s Grand Central Station.

Poor 60 year old Michael MacCauley (Neeson). He’s in the same old-same old routine. Gets up, gets dressed for work, hears from his wife Karen (Elizabeth McGovern) about the bills and his son about college tuition and then goes on the Metro-North into Grand Central Station. And if that is enough misery for the first 5 minutes of THE COMMUTER, MacCauley must sell life insurance to people who don’t need it.

Sure he’s been doing this same routine for 10 years and his numbers are good but they have a second mortgage on the their house and he just got fired. MacCauley used to be a policeman but Karen made him leave the job. If only he had waited until he made 22 years on the force like his former partner Alex Murphy (Patrick Wilson) is doing.

New York City police officers have a starting salary of roughly $41,000 per year. After 5 ? years the salary increases to $85,292.  Including holiday pay, longevity pay, uniform allowance, night differential and overtime, police officers may potentially earn over $100,000 per year. Optional retirement at one half salary after 22 years of service and, upon retirement, an annual $12,000 from the Variable Supplement Fund.

MacCauley knows every daily commuter. He even has a few buddies such as Walt (Jonathan Banks). So when Joanna (Vera Farmiga) sits across from him – warning sign – she doesn’t carry a handbag – and starts asking him questions like, ‘If you could go back in time and kill Hitler as a baby, would you do it?’ MacCauley points to his ring.

There are a series of thought experiment problems in moral psychology which originated with “The Trolley Dilemma”. It takes place on a train. (See Below)

Since we now have been bombarded with MacCauley’s dire financial situation, when Joanna offers him $25,000 in cash – hidden in one of the train’s bathrooms – he has to take it.

Of course there is a catch and its so convoluted and far-fetched that just go with the flow and don’t bother trying to make sense of Joanna’s all-powerful omni-presence. Joanna must be in a helicopter overhead watching inside the train and hearing everything going on. When Joanna calls him and tells him to look out the train’s window, MacCauley figures out he is really up against a secret shadow government probably run by the Jesuits, and he better make Joanna happy.

Since MacCauley was a smart detective, all he has to do is find out who is “Prem” on the train and then kill that person. Somehow, there will be a big bag of cash waiting for him at the end of the line.

If MacCauley doesn’t find “Prem”, his wife and son are going to be killed. So MacCauley has to go around interviewing everyone on the train. Instead of this being a ticking time plot, it takes one hour, 20 minutes to go from Grand Central to Cold Springs.  MacCauley takes his time.

The writers, Byron Willinger, Philip de Blasi and Ryan Engle, have a neat premise but it is so improbable that you’ll exhaust yourself trying to figure out just what key fact slipped by you.

With the resources Joanna has at her disposal, you are shocked she needed to have MacCauley do the legwork for her.

Neeson is all in though in a future movie his character should be released from his ‘Daddy save me’ moral straightjacket and say, “This time, I’m looking out for myself.”

Alfred Hitchcock found the erotic charge in train travel but in the hands of director Collet-Serra its just a means to take people to jobs they hate and back to homes eating up over four hours of their day. What if MacCauley took the money, jumped off the train and ditched the phone on the train tracks. What could Joanna do then?

When you can think of something else the main character should do, there is something wrong with the plot.

Knowing New York commuters like I do – from first-hand experience – MacCauley’s fellow passengers were unrealistic seat warmers. New Yorkers see everything, hear everything and get out of the way once threat is in the air.

Hell, I can’t wait on line for more than 2 minutes and I start speaking up. Woe to Joanna if I was headed home on that train.

The director, Jaume Collet-Serra, knows how to stage fights in close quarters and the train derailment is exciting. So THE COMMUTER is for Neeson’s loyal fans and lazy fun. If only MacCauley’s loved ones were locked in the train conductor’s

tiny cabin with the dead conductor and the engineer thrown off the train and the train is on the wrong track and headed for a collision with another train. Now, you’ve got a story.

The Trolley Dilemma:

A trolley is hurtling down a track towards five people. You are on a bridge under which it will pass, and you can stop it by putting something very heavy in front of it. As it happens, there is a very fat man next to you – your only way to stop the trolley is to push him over the bridge and onto the track, killing him to save five. Should you proceed?

Member of Las Vegas Film Critics Society: www.lvfcs.org/.

Victoria Alexander lives in Las Vegas, Nevada and answers every email at victoria.alexander.lv@gmail.com."
 3/5,,Jim Schembri," February 13, 2018","Once again, everyman action-man Liam Neeson encounters trouble in transit as a simple train ride home after losing his job turns into a race against the clock to locate a passenger, the punishment for failure being a world of hurt for his family. After the Taken films, Unknown, Non-Stop and Run All Night, Neeson has promised to end his lucrative run as a middle-aged action hero with this nifty little number. Working again with Juame Collet-Serra, who did the last three films, he’s more frantic and believable than usual, with the movie’s real-time feel adding a nice edge of urgency."
 7/10,Crítica de “El Pasajero”,Marco Cubillo," February 12, 2018","En los últimos a?os Liam Neeson ha sabido encontrar su nicho en un mercado que parece explotar al máximo cada idea o concepto que tenga aunque sea una pizca de éxito. Esa es la única forma de justificar la existencia de un filme como El Pasajero, que sin ser una mala película, nace de esta fórmula a la Taken, la cual comenzaba a convertirse en una parodia debido a la edad de Liam Neeson y a las secuelas cada vez más intrascendentes.

Pero El Pasajero se agarra precisamente de este punto para ofrecernos un thriller que a pesar de su simpleza, es lo suficientemente entretenido. Desde el primer momento en que vemos a Liam subir al tren el ritmo no decae, la propia presencia de Neeson en pantalla es adictiva. La premisa es sencilla, un aparente hombre común y corriente (pero ya un poco pasado de a?os) llamado Michael (Liam Neeson) es despedido de su trabajo y al abordar el tren que toma todos los días para llegar a su hogar, de forma inesperada se le ofrece una cuantiosa suma de dinero a cambio de identificar a una persona que no debería de estar en el tren. Michael accede solo para darse cuenta que esta en un juego mucho más grande de lo que presentía.

En esta cuarta película de Liam con el director espa?ol Jaume Collet-Serra (Sin identidad, Una Noche para sobrevivir) nos presentan un thriller con las mismas características de sus anteriores colaboraciones con la diferencia precisa de que el personaje que interpreta ya no es invencible; aquí tenemos a un Liam que se presenta como un ex-policía frágil, al que de milagro no le rompen la cara. Si bien no es un filme centrado en la acción, las cinta tiene buenos momentos, los cuales durante la mayor parte del filme se sienten acorde a lo que vemos en pantalla — amén de la experiencia de Collet-Serra en Non-Stop Sin Escalas—. Aquí la acción si bien es turbulenta se entiende visualmente, solo es hasta la recta final que la película decae ya quese transforma en otra cosa, distanciandose así de lo que nos hizo pensar en un inicio sobre la historia.

Además de la participación del protagonista, el elenco del filme cuenta con Vera Farmiga, Patrick Wilson (qué polifacético es, insisto) quienes cuentan con papeles a la altura de su calidad. También podremos ver a actores como Jonathan Banks a quien tal vez recuerden por Breaking Bad y Better Call Saul, o a Sam Neil, cuya presencia le da más porte a la historia.

El Pasajero cumple al tenernos al borde de la fila del asiento, la tensión es bien llevada durante 3/4 partes de la cinta, pero como mencioné anteriormente, es al final cuanto todo cambia. La película se quiere ver mas ambiciosa de lo que trama podía ofrecer, convirtiéndola en un completo caos. Al terminar la función, tendremos la sensación de que la resolución sabe a poco después de lo que se planteó en un inicio. No será una gran película que perdure en nuestra memoria, pero logra entreteneros a lo largo de su hora y 45 minutos de duración, cumpliento así a secas con lo que promete."
 3/4,'The Commuter' is a great ride for action fans ,Linda Cook," February 8, 2018","“The Commuter” comes roaring onscreen as an entertaining actioner, a temporary cure for the winter doldrums.

The first sequences in the film are really cool to watch. Jaume Collet-Serra (“The Shallows”) cleverly shows the passage of time with quick seconds of everyday life that show a typical middle-class family living their normal routines.

The dad, of course, is Liam Neeson (Michael MacCauley), an insurance salesman who once was a police officer. Michael, who is five years away from retirement, wonders how he will pay for his son’s tuition.

And now he’s being laid off. In a scene that evokes sympathy from the audience, he has a drink with friend while he wonders how he’s going to tell his wife (Elizabeth McGovern). He boards his usual commuter train only to be approached by a stranger (Vera Farmiga) who calls herself Joanna.

She claims to be a behaviorist, and asks whether he would do “one little thing” for $100,000. His assignment is to find someone known as Prynne, whom a certain group of people seek.

Then Joanna leaves the train. Michael does indeed find money where Joanna says it will be hidden. His attempt to alert the authorities ends in disaster.

When Michael begins receiving calls from Joanna, he realizes he is being watched, and that both he and his target — someone carrying a bag whose destination is Cold Spring — are in danger.

Now, because this is a Neeson movie, and you’ve probably seen the trailers, it’s not a spoiler to share that a kidnapping is part of the proceedings, and that some of the characters Are Not What They Seem. It’s up to Michael, within just a few stops, to figure out exactly what’s going on and how he can stop it.

Michael must rely on what he already knows about the train, what he can figure out from what he sees around him and his professional law-enforcement experience and training to solve the mystery and save lives — including his own.

It’s fun to watch Michael as he uses the process of elimination to try to determine the passenger he’s supposed to find. The commuters are various types, some of whom we root for and others who rub us the wrong way. There’s a great scene involving a poker game that heats up Michael’s search.

It has kind of a “Fast and Furious” vibe, in fact: It’s a great ride if you can suspend your disbelief. 

If you’re a Neeson fan, you’re sure to be taken with this popcorn flick."
,,Roe McDermott," February 1, 2018","Liam Neeson's train thriller gets derailed.

Several years ago, Jaume Collet-Serra directed a...

This article is now part of the hotpress.com archive. To access this article you need to subscribe to hotpress.com for the bargain price of �20 or be a subscriber to Hot Press Magazine. The hotpress.com archive has over 40,000 articles in it, growing at well over 500 a month. Not only that, but you get special 'member's cds' for �10, discounts on all hotpress related products and exclusive promotions. hotpress.com also has thousands of articles and pieces of content that are free to access to anyone, including it's latest music news, photo galleries, web exclusive interviews. "
 2.5/5,"Crítica de “El pasajero”, de Jaume Collet-Serra, con Liam Neeson",Diego Batlle," January 31, 2018","Enésimo thriller con Neeson obligado a entrar en acción para salvar a su familia. Más de lo mismo...
El pasajero (The Commuter, Estados Unidos-Reino Unido/2018). Dirección: Jaume Collet-Serra. Elenco: Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks, Sam Neill y Elizabeth McGovern. Guión: Byron Willinger, Philip de Blasi y Ryan Engle. Fotografía: Paul Cameron. Edición: Nicholas de Toth. Música: Roque Ba?os. Distribuidora: BF Distribution. Duración: 105 minutos. Apta para mayores de 13 a?os con reservas. Salas: 122.


Tras ser considerado durante varias décadas como un actor “serio” (recuerden Michael Collins, La Lista de Schindler o Kinsey), el irlandés Liam Neeson se convirtió en su madurez en un impensado (y muy rentable) héroe de acción. Con películas de mediano presupuesto (en las que suele interpretar a un hombre abatido por la vida que debe salir de su letargo para enfrentar todo tipo de peligros con el objetivo de defender la integridad de sus seres queridos) consiguió varios éxitos comerciales y, por eso, desde Hollywood y Europa lo siguen llamando una y otra vez para que siga en esa línea.

Otra vez con el solvente director catalán Jaume Collet-Serra detrás de cámara (ya filmaron juntos Desconocido, Una noche para sobrevivir y Non-Stop: Sin escalas), Neeson interpreta en El pasajero a un ex policía devenido en vendedor de seguros. Tras una década de esforzado trabajo en una corporación, Michael MacCauley es echado a la calle como un perro. A los 60 a?os (Neeson tiene 65), ni siquiera se anima a informarle a su esposa del despido, pese a que están inundados de deudas e hipotecas.

Tras ese prólogo de unos 15 minutos, llega la acción. Michael viaja todos los días hacia y desde su trabajo en Manhattan en el mismo tren y allí se le acercará una misteriosa mujer (Vera Farmiga, que ya había rodado con Collet-Serra en La huérfana) con una tentadora propuesta económica, pero que genera unas cuantas dudas y conlleva no pocos riesgos para el protagonista.

Comienza allí una nueva película (son otros 90 minutos) íntegramente ambientada dentro del tren en cuestión. Entre asesinatos varias, llamadas, fuerzas de seguridad y testigos en peligro se desarrollará una historia bastante absurda en su planteo, por momento arbitraria en sus resoluciones y de una absoluta medianía en su narración y en su despliegue visual.

El director de Miedo profundo, quedó dicho, es un digno cultor de los géneros, pero El pasajero no quedará dentro de los grandes exponentes del subgénero de películas en trenes (de Alfred Hitchcock a Bong Joon-ho). Una película más para él y para Neeson. Puro profesionalismo. Trabajo a reglamento."
,THE COMMUTER: All Too Familiar,Kristy Strouse," January 29, 2018","Will we ever get tired of watching Liam Neeson action/thrillers? That is the question that came to mind when I first heard about his newest Film, The Commuter, his fourth collaboration with director Jaume Collet- Serra (Non-Stop, Run All Night and Unknown). My initial response is no, but regrettably after this ride, I’m thinking the shtick may have possibly run its course.
Neeson, Fast Moving Train, Devious Plot… What can go wrong?

Michael MacCauley (Liam Neeson) is having a dreadful day. The former cop has been fired unexpectedly from his insurance job and doesn’t know how to face his wife and child (who is going off to college soon). MacCauley decides to meet with his ex-partner, Alex Murphy (Patrick Wilson) for a drink and some advice. Other cops congregate in the background, clearly a common hangout for the men in blue, particularly Captain Hawthorne (Sam Neill) who we get the idea MacCauley isn’t too fond of.

For the last 10 years he’s routinely commuted home, knowing many of the other riders. We see Michael be friendly with several as he later boards the train. Soon after finding a seat the mysterious Joanna (Vera Farmiga) settles in across from him. To be polite he indulges her whims regarding a hypothetical experiment. You see, Joanna studies human behavior, and her job is to answer one question: “What kind of person are you?” It is a concept that hardly gets its due and one that – if elaborated on – could have made for a more interesting plot.
THE COMMUTER: All Too Familiar

source: Lionsgate

All he must do is one tiny thing (her words) and he can get $100,000 with $25,000 already in the one of the train’s bathrooms. This requirement turns out to be anything but simple, as he’s forced to find a person on the train that doesn’t belong. These are the clues: they are carrying a bag, they go by a fake name, and they are getting off at a certain station.

A ruse, right? When Joanna doesn’t back down he begins to get the sinking feeling that this is real. When he finds the money, it is confirmed. But, what kind of person is he? Though he’s clearly in need of the money he’s also honorable. When a stranger delivers his wife’s (Elizabeth McGovern) wedding ring, the connotations make him realize he never had a choice.

Right from his opening entrance onto the train the camera pans to several of the commuters, giving us a variety of faces to consider. Is it the bad-mannered wall street guy, or maybe the quiet nurse who is constantly checking her phone?
Conspiracies, Set-up’s & Whodunnits

Unfortunately, right from the beginning it is also clear who he’s looking for and who is behind the conspiracy. There is not much room for speculation which hurts the film’s credibility, especially when he seriously struggles with figuring this out. Maybe the predictable nature of story won’t bother some who are looking for a fun movie night, but it didn’t help.
THE COMMUTER: All Too Familiar

source: Lionsgate

Just as he did in the Taken trilogy (his particular “set of skills”) and his previous films with Jaume Collet- Serra, he knows how to confidently play this sort of character. It is too bad, however, that this role didn’t give him more of a challenge. The Commuter isn’t either of their best. Jaume Collet- Serra’s The Shallows worked from a place of tangible fear. This movie lacks the sincerity needed to achieve that.

A very limited role by Jonathan Banks is underutilized. Patrick Wilson is also a disappointment; he’s completely adequate with what’s expected of him, there just isn’t much to his thinly constructed character. Vera Farmiga knows how to be compelling, but Joanna’s screen time is so limited that she doesn’t make enough of an impression.

I wish The Commuter had more of an identity and had less Non-Stop parallels. Michael is chosen for his familiarity with the others on board, and because of his history as a detective, but the web of deceit is bigger than he first imagines. I believe the this would have benefited from a simpler route than what was decided. Big isn’t always better. The story was created by Byron Willinger and Philip de Blasi, and together along with Ryan Engle they wrote the screenplay. Their dialogue seemed too staged, setting it up for obvious knock-downs later on.
THE COMMUTER: All Too Familiar

source: Lionsgate

There is good use of the camera and for the most part the action is the best when done more intimately, specifically one scene (that might be one of its best) when Neeson fights another passenger. The draw here is in the chaotic hand to hand and the nod to just how dangerous a fast-moving train can be – swiftly reminded when he gets his head shoved out a window – as well as sharp choreography. This is also executed when Michael is forced to go below the train, engineering another irking prompt that raises the stakes.
Conclusion: The Commuter

There is a rousing quality to the first half of the movie that’s lost in the remainder. Like a ticking bomb, eventually what’s amusing is blustered by cheesy sentiments and overzealous effects. Not entirely without its merits, The Commuter is a mystery with no real intrigue and a drama without enough substance to cement itself as one of Neeson’s best. Amid the rubble there is an entertaining enough film to provide respite during the Winter blues, just don’t expect too much.

To go back to my question: Will we ever get tired of watching Liam Neeson action/thrillers? When considering The Commuter, the conspiracy element here seemed too gimmicky, the final act was too long and too loud, and cliche comments with lesser characters at the end seemed too much. In the end it still amused me, so… not quite weary yet. I am still holding out for another The Grey.

What did you think? Do you still love watching Liam Neeson movies like this?

The Commuter hit theaters in the US January 12th and UK January 19th. For other international release dates click here. "
