评分,评论题目,用户名,时间,评论内容
,,Eleanor Ringel Cater," February 21, 2018",https://saportareport.com/1517-paris-clint-eastwood-turns-great-story-mediocre-movie/
,,Kelly Vance," February 21, 2018",https://www.eastbayexpress.com/oakland/mixed-signals-on-the-15-17-to-paris/Content?oid=13348368
,,Dan Webster," February 21, 2018",http://www.spokane7.com/blog/2018/feb/16/1517-paris-taken-headlines/
 0.5/5,,J. Olson," February 19, 2018",http://www.cinemixtape.com/movie-reviews/the-1517-to-paris/
 2.5/4,,David Nusair," February 19, 2018",http://reelfilm.com/eastwood.htm#15
 2/5,,Hilary A White," February 18, 2018",https://www.independent.ie/entertainment/movies/movie-reviews/cinema-the-shape-of-water-a-greentinged-beauty-of-a-film-36587545.html
 3/5,,Jim Lane," February 16, 2018",https://www.newsreview.com/sacramento/15-17-to-paris/content?oid=25857406
,,Pete Hammond," February 16, 2018",http://deadline.com/2018/02/the-15-17-to-paris-review-clint-eastwood-movie-video-1202281862/
,,Danny King," February 16, 2018",http://4columns.org/king-danny/the-15-17-to-paris
 2/5,,David Stratton," February 16, 2018",https://www.theaustralian.com.au/arts/review/a-fantastic-woman-another-mothers-son-the-1517-to-paris-reviews/news-story/cb09220209e2d28718c73ad34271de7f
 2/10,,Richard von Busack," February 16, 2018",http://www.metroactive.com/movies/1517-to-Paris.html
 2.0/4.0,,Charles Koplinski," February 16, 2018",http://illinoistimes.com/article-19703-%25E2%2580%259C1517%25E2%2580%259D-a-well-intended-misfire.html
 3/5,,Diego Batlle," February 15, 2018",http://www.otroscines.com/nota-12990-critica-de-15-17-tren-a-paris-de-clint-eastwood
 1/5,,Norman Wilner," February 15, 2018",https://nowtoronto.com/movies/reviews/the-15-17-to-paris-clint-eastwood-biopic/
 2/5,,Mario Alegre," February 15, 2018",http://proximatanda.com/cine/critica-the-1517-to-paris-es-un-tedioso-recuento-de-una-heroica-hazana/
 3/5,,Alejandro G. Calvo," February 15, 2018",http://www.sensacine.com/peliculas/pelicula-255721/sensacine/
 1.5/5,,Mark Ellis," February 15, 2018",https://www.youtube.com/watch?v=VbKzNryKouU
 1.5/5,,Steve Davis," February 15, 2018",https://www.austinchronicle.com/calendar/film/2018-02-16/the-1517-to-paris/
,,Sr. Rose Pacatte," February 15, 2018",https://www.ncronline.org/news/media/1517-paris-doesnt-need-bells-or-whistles-be-authentic
 2/5,,Orlando Maldonado," February 14, 2018",http://movienetworkpr.com/critica-15-17-paris/
 D,,Chris Stuckmann," February 14, 2018",https://www.youtube.com/watch?v=Slc2mmTzvmY
 3/10,,Nathanael Hood," February 14, 2018",https://www.theyoungfolks.com/review/116644/the-1517-to-paris-review-clint-eastwood-misfires-with-this-bundle-of-ideological-confusion/
,,Armond White," February 14, 2018",http://www.nationalreview.com/article/456239/1517-paris-clint-eastwoods-everyday-heroes-other-america
,,Josephine Livingstone," February 14, 2018",https://newrepublic.com/article/147076/1517-paris-strange-strange-journey
