岗位名称	链接	公司	类型	地点	薪水/天	每周最少实习天数	最短实习月份
数据分析	/intern/inn_tlfhpvtml3gt	柠檬微趣	数据库	北京	150-250/天	3天/周	3个月
数据分析	/intern/inn_kwj4rebmc1jh	柠檬微趣	数据库	北京	200-300/天	4天/周	2个月
数据分析	/intern/inn_w96hcpawkap8	科锐国际	医药	成都	250-400/天	5天/周	12个月
数据分析	/intern/inn_pbxbk9gtpvcj	滔搏运动	商务	上海	120-140/天	5天/周	10个月
数据分析	/intern/inn_huf3cgwjbey9	滴滴出行	云计算/大数据	全国	200-260/天	4天/周	3个月
数据分析	/intern/inn_mugum0ff1ms9	私募排排网	金融	深圳	120-200/天	5天/周	4个月
数据分析	/intern/inn_i36yzy90q2sq	看电影了没	数据挖掘	武汉	120-200/天	5天/周	3个月
数据分析	/intern/inn_g3azaytuzk5n	GroupM	分析/调研	上海	79-81/天	3天/周	5个月
数据分析	/intern/inn_ubp80zwymulv	便利蜂	算法	北京	200-300/天	4天/周	5个月
数据分析	/intern/inn_hcgwqinh3gdm	古道咨询	财会	上海	180-260/天	5天/周	8个月
数据分析	/intern/inn_fdccvu3lml11	古道咨询	算法	上海	180-257/天	5天/周	8个月
数据分析	/intern/inn_siv9pmdg8fn1	百度	市场	北京	80-100/天	5天/周	3个月
数据分析	/intern/inn_yjt0tbbiua96	中精科技	投资	南京	100-110/天	5天/周	14个月
数据分析	/intern/inn_clzfhx2dlkav	TBS	软件	南京	115-150/天	3天/周	3个月
数据分析	/intern/inn_u9cidyq1ibnp	日立研发	软件	上海	140-200/天	4天/周	3个月
数据分析	/intern/inn_zyfjbn6a4hga	云克网络科技	运营	北京	150-180/天	5天/周	7个月
数据分析	/intern/inn_9247ra1bff3j	人人车	分析/调研	北京	100-150/天	5天/周	3个月
数据分析	/intern/inn_9a5mfpgcagv4	惟容广告	咨询	上海	100-150/天	5天/周	4个月
数据分析	/intern/inn_b0kbwcngfh2a	时光数据工作坊	用户研究	上海	100-200/天	5天/周	12个月
??数据分析实习/亚马逊数据分析师	/intern/inn_nckvgfa492cq	优品无疆	分析/调研	深圳	200-300/天	5天/周	3个月
数据分析工?师	/intern/inn_dqg8wrrfxjfg	中广核俊尔	质量	温州	130-160/天	6天/周	4个月
数据分析师	/intern/inn_9pikpydydskw	趣加电子竞技俱乐部	软件	上海	100-150/天	3天/周	3个月
数据分析师	/intern/inn_ao6olwfp8k5n	国德网络	商务	上海	180-270/天	5天/周	20个月
数据分析师	/intern/inn_fc35herr2t5a	精锐教育	分析/调研	北京	180-200/天	6天/周	3个月
数据分析员	/intern/inn_4kbccqpagkz9	家乐福	快消	上海	150-250/天	5天/周	6个月
数据分析师	/intern/inn_qloyjpuit8od	福利金融	数据挖掘	广州	90-120/天	5天/周	8个月
数据分析专员	/intern/inn_yfv3r2amsp4h	伽蓝集团	销售支持	上海	80-100/天	5天/周	3个月
数据分析员	/intern/inn_8tdvsc2e1sit	耘蜂语	金融	广州	100-150/天	4天/周	5个月
数据分析助理	/intern/inn_775ivnuwijpg	瀚农网络	产品运营	广州	60-120/天	5天/周	6个月
大数据分析	/intern/inn_hzgghhnprkr5	得迈科技	云计算/大数据	天津	50-60/天	3天/周	8个月
数据分析助理	/intern/inn_wo26qyptjkm6	斯达领科	分析/调研	深圳	150-200/天	5天/周	4个月
数据分析师	/intern/inn_j9ag7hpmkwav	第?经	咨询/顾问	上海	100-120/天	3天/周	6个月
数据分析师	/intern/inn_z3y4opafm9nv	食行鲜	生产	苏州	100-200/天	5天/周	3个月
金融数据分析	/intern/inn_kacrx1qwgdgc	拉普拉斯网络科技	云计算/大数据	北京	100-200/天	5天/周	5个月
数据分析助理	/intern/inn_wvn52ms7ocbd	中国经济改革与发展研究院	咨询	北京	100-200/天	5天/周	5个月
数据分析岗	/intern/inn_8e3srpufatng	利宝保险	金融	重庆	70-100/天	3天/周	5个月
数据分析助理	/intern/inn_mihfobfahlrt	中欣集团	风控	北京	90-110/天	3天/周	3个月
数据分析师	/intern/inn_tinsxwcalg5d	南燕保险科技	分析/调研	上海	300-500/天	5天/周	3个月
数据分析员	/intern/inn_ho3m5rdyfrrl	国研网	分析师	北京	100-120/天	5天/周	3个月
电商数据分析	/intern/inn_kyurnroqcnya	???? ????	商务	上海	100-147/天	3天/周	3个月
数据分析助理	/intern/inn_xfvjib4viocc	云帆数?	数据挖掘	成都	90-100/天	5天/周	10个月
数据分析师	/intern/inn_vd7jtpae03j3	乐职网	数据挖掘	合肥	100-200/天	5天/周	5个月
数据分析员	/intern/inn_4qzwnlsfxhn3	思度科技	分析/调研	南京	180-220/天	5天/周	7个月
数据分析师	/intern/inn_vbi8gsg9innq	贪玩游戏	分析/调研	广州	120-150/天	5天/周	8个月
