['数据分析', '/intern/inn_tlfhpvtml3gt', b'\xe6\x9f\xa0\xe6\xaa\xac\xe5\xbe\xae\xe8\xb6\xa3', '数据库', '北京', '\ue8c9\ue170\ue914-\uef76\ue170\ue914/天', '\uf12b天/周', '\uf12b个月']
['数据分析', '/intern/inn_kwj4rebmc1jh', b'\xe6\x9f\xa0\xe6\xaa\xac\xe5\xbe\xae\xe8\xb6\xa3', '数据库', '北京', '\uef76\ue914\ue914-\uf12b\ue914\ue914/天', '\uf30b天/周', '\uef76个月']
['数据分析', '/intern/inn_w96hcpawkap8', b'\xe7\xa7\x91\xe9\x94\x90\xe5\x9b\xbd\xe9\x99\x85', '医药', '成都', '\uef76\ue170\ue914-\uf30b\ue914\ue914/天', '\ue170天/周', '\ue8c9\uef76个月']
['数据分析', '/intern/inn_pbxbk9gtpvcj', b'\xe6\xbb\x94\xe6\x90\x8f\xe8\xbf\x90\xe5\x8a\xa8', '商务', '上海', '\ue8c9\uef76\ue914-\ue8c9\uf30b\ue914/天', '\ue170天/周', '\ue8c9\ue914个月']
['数据分析', '/intern/inn_huf3cgwjbey9', b'\xe6\xbb\xb4\xe6\xbb\xb4\xe5\x87\xba\xef\x80\xa9', '云计算/大数据', '全国', '\uef76\ue914\ue914-\uef76\uecca\ue914/天', '\uf30b天/周', '\uf12b个月']
['数据分析', '/intern/inn_mugum0ff1ms9', b'\xe7\xa7\x81\xe5\x8b\x9f\xe6\x8e\x92\xe6\x8e\x92\xee\x8e\x85', '金融', '深圳', '\ue8c9\uef76\ue914-\uef76\ue914\ue914/天', '\ue170天/周', '\uf30b个月']
['数据分析', '/intern/inn_i36yzy90q2sq', b'\xe7\x9c\x8b\xe7\x94\xb5\xe5\xbd\xb1\xe4\xba\x86\xe6\xb2\xa1', '数据挖掘', '武汉', '\ue8c9\uef76\ue914-\uef76\ue914\ue914/天', '\ue170天/周', '\uf12b个月']
['数据分析', '/intern/inn_g3azaytuzk5n', b'\xef\x9b\xb2\xef\x85\x8e\xee\x8a\xa3\xef\x83\x9f\xee\x98\x8a\xee\xb1\x85', '分析/调研', '上海', '\ue79f\ue0d2-\uf82e\ue8c9/天', '\uf12b天/周', '\ue170个月']
['数据分析', '/intern/inn_ubp80zwymulv', b'\xe4\xbe\xbf\xe5\x88\xa9\xe8\x9c\x82', '算法', '北京', '\uef76\ue914\ue914-\uf12b\ue914\ue914/天', '\uf30b天/周', '\ue170个月']
['数据分析', '/intern/inn_hcgwqinh3gdm', b'\xe5\x8f\xa4\xe9\x81\x93\xe5\x92\xa8\xe8\xaf\xa2', '财会', '上海', '\ue8c9\uf82e\ue914-\uef76\uecca\ue914/天', '\ue170天/周', '\uf82e个月']
['数据分析', '/intern/inn_fdccvu3lml11', b'\xe5\x8f\xa4\xe9\x81\x93\xe5\x92\xa8\xe8\xaf\xa2', '算法', '上海', '\ue8c9\uf82e\ue914-\uef76\ue170\ue79f/天', '\ue170天/周', '\uf82e个月']
['数据分析', '/intern/inn_siv9pmdg8fn1', b'\xe7\x99\xbe\xe5\xba\xa6', '市场', '北京', '\uf82e\ue914-\ue8c9\ue914\ue914/天', '\ue170天/周', '\uf12b个月']
['数据分析', '/intern/inn_yjt0tbbiua96', b'\xe4\xb8\xad\xe7\xb2\xbe\xe7\xa7\x91\xe6\x8a\x80', '投资', '南京', '\ue8c9\ue914\ue914-\ue8c9\ue8c9\ue914/天', '\ue170天/周', '\ue8c9\uf30b个月']
['数据分析', '/intern/inn_clzfhx2dlkav', b'\xef\x87\x95\xee\x92\xb7\xef\x9f\xbb', '软件', '南京', '\ue8c9\ue8c9\ue170-\ue8c9\ue170\ue914/天', '\uf12b天/周', '\uf12b个月']
['数据分析', '/intern/inn_u9cidyq1ibnp', b'\xe6\x97\xa5\xe7\xab\x8b\xe7\xa0\x94\xe5\x8f\x91', '软件', '上海', '\ue8c9\uf30b\ue914-\uef76\ue914\ue914/天', '\uf30b天/周', '\uf12b个月']
['数据分析', '/intern/inn_zyfjbn6a4hga', b'\xe4\xba\x91\xe5\x85\x8b\xee\x8e\x85\xe7\xbb\x9c\xe7\xa7\x91\xe6\x8a\x80', '运营', '北京', '\ue8c9\ue170\ue914-\ue8c9\uf82e\ue914/天', '\ue170天/周', '\ue79f个月']
