评论数,阅读数,时间,标题,内容
99,22733,2017-04-11,人情冷暖，世态炎凉，就这么直白吗？[滴汗][滴,"
                            
                            人情冷暖，世态炎凉，就这么直白吗？多少天了，我的股一片惨绿？帐户里市值一如流水忽不见，点开股吧，却是骂声一片。我的股友们，股票涨的时候，你好我好大家好，互相加着粉丝，对对诗，诉诉情；股票跌的时候，就互相埋怨，冷言冷语。人情冷暖，世态炎凉就这么直白吗？任何一个股，都是此一时彼一时，不可能一直涨不跌，也不可能一直跌不涨。更何况还有天灾人祸，横空而来，抽血夺食，草菅人命。人为刀俎，我为鱼肉。覆巢之下，焉有完卵。雄安一出，百花凋敝。谁能幸免？谁又能独善其身？但我绝不会喜新厌旧，嫌贫爱富，更不会见异思迁，弃我之所爱而去。能用金钱解决的问题，不是问题；时光荏苒，没有时间解决不了的问题。我将永远呆在原地，敝帚自珍，宁愿心如刀绞，眼含泪水，宁愿失魂落魄，倍受痛楚，也不会随波逐流，趋之若骛。 
                        "
236,133697,2017-11-09,高估了，任何利好都挡不住减持的脚步。,"
                            
                            炒高了，不减持的才是傻子，跑慢了就是韭菜。没有只涨不跌的股市。 
                        "
16,24830,2017-12-26,  怀念我的117                 117，是我,"
                            
                             怀念我的117 117，是我曾居住生活过的寝室序号。 1987年初至1988年7月，我在郑州读书时，由于宿舍变动过，这个阶段，我在117寝室度过了一年多的时光。我把我一生最美好的青春留在了这里，这里也给我留下了一生一段最快乐幸福的岁月回忆。 117寝室在宿舍楼一层的最西端。我们十位学子似浮水游萍从四面八方相聚在这里了。有朋自远方来，不亦悦乎？以致于我们在117寝室成了相知相惜的同学室友。很有缘份，不胜欣喜。 我们117寝室每次都被评为文明寝室。我感到非常自豪和骄傲，同时我也觉得有些不好意思。得奖的次数一次也不落，我还真有点难为情。我们117寝室生活用品摆放整齐，卫生干净，其实我们得奖也受之无愧。在这里，我也培养了良好的卫生习惯，一生受用。 午饭后晚自习后，是我们在寝室里一天心情最放松的时候。 那时，录音机还有点奢侈。我们用录音机和收音机听流行歌曲。听《血染的风采》、《十五的月亮》、《冬天里的一把火》、《让世界充满爱》、巜Hand ⅰn hand》……。歌声在寝室里回放，心情随歌曲荡漾，青春在旋律中起舞。 在117寝室里，我们还用收音机听了《平凡的世界》和《风流才女一一石评梅传》两部小说。 没有忘记《平凡的世界》里孙少安和孙少平这两个平凡的人的自尊、自强、自信、自立的高贵品质曾激励过我们。他们那种在苦难中奋力拚搏，在挫折中不屈不挠，在痛苦中坚守信仰的精神也曾鼓舞过我们。现在回想，依然荡气回肠。 也没有忘记《风流才女一一石评梅传》中高君宇和石评梅两人那圣洁、凄婉、充满诗意的精神恋爱让我们听得泪沾衣衫，他们的爱情远超梁祝。我们更被他俩那为了革命舍弃个人幸福的精神感动得热血沸腾。“我愿生如闪电之耀亮，我愿死如彗星之迅忽。″的警句至今还在耳畔回响。 还记得在1988年元月的一个大雪纷飞之夜，我们已躺下睡了，因一句玩笑话我们又起来，每人只准穿衬衣、单裤、单鞋，冒着鹅毛大雪，顶着呼呼寒风到文化路口吃烩面。我们虽然身体被冻得瑟瑟发抖，但我们的青春却热得大汗淋漓。 时光怱怱，此经流年，时光象指尖划过一缕青烟。一转眼，我们就分手三十年了。 在117寝室度过的那段岁月里，我们本着善意，相互爱护，相上帮助，相互学习，相互关心，相互尊重，相互激励。我们探讨过人生，辨论过是非，开过玩笑，吹过牛，抬过杆，疯过，笑过，闹过，插科过，打荤过，感概过，风风雨雨过，大风大浪过，但我们没有恨过，没有吵架过，没有伤害过。我们各抒已见，侃侃而谈，嘘寒问暖，亲如兄弟。 我怀念我的117，我想念我的室友，我也想念我的全体老师同学。[谨以此文纪念我在117寝室的青春岁月。感恩我生命中遇到的每个人。] 
                        "
52,21812,2017-03-27,16元的瑞丰高材、 33元的同大股份、 7 元 的安,"
                            
                            16元的瑞丰高材、33元的同大股份、7 元 的安凯客车、7.5元的华纺股份、蜗牛概念股长线具备翻倍潜力…… 
                        "
17,11876,2017-10-15,冬季不晒大腿流行砍羊腿,"
                            
                            冬季不晒大腿流行砍羊腿 
                        "
3,1695,2017-08-24,不踩千日线，牛市纯扯淡[大笑][大笑][大笑],"
                            
                            不踩千日线，牛市纯扯淡
"
42,42878,2017-11-19,盘口说：2017年以来，两度警示腰斩！,"
                            
                            第一次：2017年4月初 3290 附近区域 ！第二次：2017年11月中旬 3400 附近区域 ！嘻嘻哈哈。。。
"
5,3841,2017-12-09,6.27港元净资光大银行H股3.57港元贱卖可关注,"
                            
                            据14家券商机构预测的光大银行明年每股收益平均值为0.72元人民币,即0.85港元,以3.57港元投入06818光大银行H股后,可以每年获得0.85港元的收益计算年收益率可达23.8%光大银行现在的每股净资产5.32元(三季报5.22元加之后69天盈利0.1元)按汇率0.848算每股净资产6.27港元,市价3.57港元低于每股净资产6.27港元的2.7港元,折价43%,市净率0.57,市盈率4.2年度 预测机构数 最小值 均值 最大值 ==最小值 ==均值==最大值 2017-----14-----0.64===0.67==0.69===297.82==313.43==322.09 2018-----14-----0.66===0.72==0.76===307.82==334.09==354.76 2019------9-----0.71===0.75==0.81===329.12==349.81==378.61 机构名称 研究员 预测年报每股收益（元） 预测年报净利润（元） 报告日期 ----------------2017-2018-2019-2017预测 2018预测 2019预测 中信建投 杨荣 ==0.68 0.75 ===- 318.21亿 349.93亿 =======- 2017-10-31 中银国际 田世欣 0.68 0.73 0.76 318.13亿 339.26亿 356.47亿 2017-10-31 海通证券 林媛媛 0.67 0.72 0.79 311.94亿 337.56亿 367.54亿 2017-09-07 民生证券 李锋 ==0.67 0.69 0.72 314.00亿 323.00亿 335.00亿 2017-08-28 平安证券 励雅敏 0.67 0.70 0.74 312.35亿 326.77亿 344.68亿 2017-08-28 安信证券 赵湘怀 0.67 0.69 0.71 314.40亿 321.89亿 329.12亿 2017-08-27 东吴证券 马婷婷 0.68 0.71 0.76 315.97亿 331.70亿 352.48亿 2017-08-27 华泰证券 沈娟 ==0.68 0.71 0.74 315.42亿 329.82亿 347.29亿 2017-08-27 申万宏源 王胜 ==0.67 0.72 0.81 310.60亿 335.16亿 378.61亿 2017-08-27 目前光大银行H股68.63亿股,股东988户 Ocean Fortune Investment Limited境外法人1,605,286,000股H股3.44%中国人寿再保险有限责任公司 境内法人1,508,736,000股H股3.23%中国再保险（集团）股份有限公司 境内法人 376,393,000股H股0.81%中国光大集团股份公司 172,965,000股H股0.37% 前四大H股股东合计36.6338亿股,后984户合计持股31.9968948亿股。 2017年5月2日，光大银行公告称定向大股东光大集团和央企华侨城增发65.69亿股H股筹资约350亿港元, (其中华侨城认购42.38亿H股，光大集团认购23.31亿H股)，认购价为每股5.3283港元，2017年7月26日公告：中国银监会原则同意本行非公开发行不超过58.10亿股H股；同意中国光大集团认购不超过16.1亿H股，同意华侨城集团认购不超过42亿H股,目前就等证监会的批复,预计在4个月左右将实施定向光大集团和华侨城增发.定增价5.3283港元.中国光大银行成立于1992年8月,是直属国务院的部级公司.隶属于1983年5月创办的中国光大集团.是中央管理的国有重要骨干企业.1997年1月完成股份制改造，成为中国国内第一家国有控股并有国际金融组织参股的全国性股份制商业银行。2010 年8 月在上海证券交易所挂牌上市,每股发行价3.10元. 2013年12月20日，中国光大银行发行H股68.63亿股,在香港联交所主板成功上市。发行价每股3.98港元.2017年三季末资产总计40304.14亿元.股东权益2743.16亿元,吸收存款22272.44亿元,,发放贷款和垫款19621.53亿元,净利润254.33亿元. 
                        "
17,15168,2017-12-16,沪指的几道防线,"
                            
                            三千三，第一道防线，前期的三重顶点位。第二道防线，三千二百五，对称性点位。第三道防线，三千两百一十点，月停损点。第四道，三千一百点，高点回落百分之十，前期w起涨颈线位。最强支持，三千点。 
                        "
21,25767,2017-12-22,盘口说：炒股赚钱须要有大格局！,"
                            
                            什么是大格局？1，站的高，看的远。 这叫境界！“会当凌绝顶，一览众山小”“只在此山中，云深不知处”“不识庐山真面目，只缘身在此山中”。2，信念崇高，虔诚守信。 这叫做人！“明人不做暗事，真人不说假话”“守时定日明符刻，专心惟在意虔诚”3，天下难事,必做于易：天下大事,必做于细。 这叫做事！“ 是非成败转头空,青山依旧在,几度夕阳红.古今多少事,都付笑谈中”嘻嘻哈哈。。。 
                        "
