评论,评分
"我们买的是平安夜女士票，只要99，超抵。下课铃一响六个人就背着包直冲下楼去搭车，到达长隆的时候是下午三点，因为是第一天特价，而且不是周末，人还不是很多，很多项目都是排几分就可以玩了，中途还找到可以免费化妆的地方（万圣节鬼妆），我化的妆占了右边大部分的地方，顶着一脸花纹，走路都自带风，但是玩过激流勇进后脸都花了，晚上会有工作人员扮鬼回来吓人，我们一行人有人被吓得跑进商店或者跟着婴儿车走（不过有的敬业的鬼还在商店门口吓人，一副跟你杠上的feel）胆大的都到处调戏鬼或者跟他们合照，据我的观察，你表现得越害怕，他们就会越吓你，所以一定要假装淡定，散发出劳资谁都不怕的气质。
tips:1建议玩水的项目最后玩，不然衣服或者鞋子湿了继续玩会不尽兴哈。
2在汉溪长隆地铁站E出口就是南门了，如果在携程买票就可以在南门进，出地铁后直走，路上会有提示换票的地方
3一进去就可以看到免费化妆的地方，人多的话就不建议排队化了，因为里面还有一个地方可以免费化妆，好多人不知道的。当然也可以选要钱的地方化妆，跟免费的不是一个层次。",5
孩子玩的很开心，儿童节去的，除了不能玩的，还有两个没找到的其他的都玩了，那几个大的项目都没敢坐，小小驾驶员孩子玩了好几次，都拿到驾驶证了！哈哈就是里面的水太贵了，一瓶都要十块钱，一个冰激凌15.一份饭68，吃的好贵，又不让带吃的入园！只有偷偷带进去！入园时有保安检查包包的，！,5
端午放假前一天，人还是很少的，很多游乐设施还要等人来的多一点才开始，不用排队超级棒！跳楼机坐了两次，说实话，每个项目都比看起来不刺激一点，连闻游乐园色变的男友都全程玩的很嗨，由于2点多入园，6点也大概都玩完了，套票比较划算！总体玩的还是比较开心，交通什么的都比较方便，最值得的是安全性！,4
"广州可作旅游的地儿不算多，但长隆欢乐世界的确值得玩——如果你够胆。
我是早晨9:30从北门进入，建议还是从南门进去。游玩路线可选择先玩常规小项目，因为垂直过山车、十环过山车和U型滑板10:30才开放。进门后一定要拿游园指南，先挑选出几个最感兴趣的项目，简单规划下路线后优先游玩。以上10:30开放的项目值得一试！65米的自由落体和超级大摆锤也很有特色！
小的项目中，急流勇进我玩了三次。每天固定时间的演艺活动也很推荐，国际特技剧场的惊天危机很有意思。",5
真的是太开心了。垂直过山车，十环过山车，大摆锤，U型滑板…………全都玩了，连小盆友玩的我都去玩了两个，感觉幼稚并快乐。三个表演，两个影院，都去了。从早到晚没有停过。就是吃的贵了，好贵好贵了。一瓶可乐是三倍的价钱，可是，我还是卖了好几瓶，主要是天气太热了，热成狗。晒脱皮了。四层防晒都没用。对，要准备雨衣。虽然只有两个玩水的节目，可是还是会“湿身”，里面卖的雨衣质量不好，一次性的。基本上刺激的游戏排队的人少，简单的游戏排队人多。,5
去长隆欢乐世界很方便，地铁三号线到达“汉溪长隆”站，出了地铁口后走个五到十分钟就可以到达南门了，买票进入园区。工作日来游乐园的好处就是人少。大约早上10点多到园区内，人还很好。一进南门就可以看到大摆锤和垂直过山车。虽然自诩很胆大，但第一项就坐太刺激也怕自己受不了，于是到附近的小型过山车那里去热了一下身。然后就去坐超级大摆锤啦。值得注意的是，根据我的观察，大摆锤不同的位置刺激度是不一样的，有的位置在荡到最高角度的时候一直是面朝下，有的位置一直是面朝上，所以建议大摆锤要多坐几次。然后去坐垂直过山车，爬升到好高才会下落，下落的时候失重感还是很强烈的然后去坐U型滑板。这个我甚至觉得比垂直过山车还恐怖，第一是转速非常快，第二是上升到最高点的时候你甚至可以看到滑板快要滑出去了。再去坐期待已久的十环过山车，转圈转得头晕。按惊险度排名，我给的排名是：U型滑板=十环过山车&gt; 垂直过山车&gt;超级大摆锤&gt;摩托过山车。龙卷风暴看起来还蛮惊险的，可惜来的时候维修。表演的话，欢乐剧场的炫动奇迹还蛮好看的，还有分秒对决推荐一定去看，去的那天只有一场，提前看好时间不要错过。演员都很专业，飙车跳水样样都行，爆破场面也好看。很喜欢这个游乐园。,5
值得去，玩了最想玩的垂直过山车，我想长隆欢乐世界是我们这一代人一定会去过的地方，里面的机动游戏都非常过瘾，玩过一次垂直过山车，印象最为深刻，坐的是第一排，上到最高处时，过山车停下来了而我，满含泪水，反正我是不会再玩第二次了，吓死我了都。之前在万圣节期间去（万圣节主题为期约1个月），里面的鬼屋也是吓得我笑着进去，哭着出来的。当然我可能属于胆子比较小的去作死，但真的能给你一个很美好的回忆，还会想再去第二次的。但其实游乐项目很多，也有很多不吓人的项目，跟普通游乐园一样的碰碰车等等的~,5
我们是今天去的（16年2月22），阴天但没有下雨，心情和天气一样好。我早上五点多钟就从清远坐车，九点左右就到门口了，外面就有地铁站很方便。进去后玩得第一个项目就是U形滑板，大早上玩忒刺激的，眼泪都要彪出来了期间也玩过很多比较温柔的项目，比如碰碰车，旋转木马之类的。但是，来到长隆果然要挑战一下自己的极限，所以，我们把所有的过山车都坐了一篇（其中垂直坐了两遍），还有跳楼机（这个真恐怖！）大摆锤等，非常的爽歪歪我觉得每个人玩之前都会被吓到的，但实际玩的时候真的没有想象中恐怖，非常刺激，速度（我们还是第一次坐过山车（笑））唯一的遗憾就是没有去看特技表演和玩激流勇进（怕湿身麻烦）。真的是一次非常愉快且难忘的经历。PS：我是在携程钜惠上订的票，180成人。,5
"宝贝很喜欢，乐园挺大，好多游乐设施很新，不像有些别的地方游乐场很陈旧。颜色鲜亮，有几个还比较特别。排队时间基本不怎么长，小朋友五岁，能玩的也不少，圣诞节来的，很难得。可能因为每个项目时间进行不长，所以最长的队也就十五分钟左右，挺好！唯一很不满意的是乐园的那个叫椰林餐厅里的饭食，太难吃了，点的亲子套餐一百多居然没有汤提供，给孩子配的薯条加白饭，请问这是什么搭配，如何下咽，也就鸡腿啃的入口。米饭质量也就不提了，后来吃了别的地方买的热狗，勉强过得去了。提议一定要改善下。离长隆酒店很近，也方便，去马戏城和动物园都方便，这点很满意。整体印象是不错，带儿子跑了全国不少游乐园，这家算是性价比比较高的其中一家。会考虑以后还有机会再来玩。",4
我们是在一月份来到这的，虽然此时连广州都有些寒意，并不是个适合旅游的季节，但个人感觉：也许来得正是时候！果然，平常喧闹的乐园里这会儿游客稀少，但所有游乐项目都正常开放，想怎么玩都行，而且不必排队；想拍照拍就是了，不必担心镜头里有其他人；想看表演去就是了，不必争抢座位！只能说唯一缺点就是：刺激项目玩得频繁嗨过头了，有些想吐不只是自已这样，在里面还遇上几位都有这感觉！,5
