学校名称,层次,专业（类）名称,选考科目数,选考科目范围,类中所含专业
北京大学,本科,国际政治(国际政治\外交学与外事管理\国际政治经济学),2,思想政治 历史 ,
北京大学,本科,社会学类(社会学\社会工作),2,历史 地理 ,
北京大学,本科,地质学类(地质学\地球化学),2,物理 化学 ,
北京大学,本科,电子信息类,2,物理 技术 ,
北京大学,本科,环境科学(环境科学\生态学\自然地理与资源环境),2,物理 化学 ,
北京大学,本科,城乡规划(城市规划（5年制工科）\人文地理与城乡规划),2,物理 化学 ,
北京大学,本科,工科试验班类(理论与应用力学\工程结构分析\能源与资源工程\航空航天工程\生物医学工程\材料科学与工程),1,物理 ,
北京大学,本科,中国语言文学类(中国语言文学\汉语语言学\古典文献学),1,历史 ,
北京大学,本科,考古学(文物保护),1,化学 ,
北京大学,本科,历史学类(历史学（中国史）\世界史\外国语言与外国历史),1,历史 ,
北京大学,本科,数学类(数学\概率统计\科学与工程计算\信息科学\金融数学),1,物理 ,
北京大学,本科,物理学类(物理学\大气与海洋科学),1,物理 ,物理学
北京大学,本科,化学类(化学\应用化学\材料化学\化学生物学),1,化学 ,
北京大学,本科,天文学(天体物理),1,物理 ,
北京大学,本科,地球物理学类(地球物理学\遥感与地理信息系统\空间科学与应用技术),1,物理 ,
北京大学,本科,生物科学类(生物科学\生物技术),1,生物 ,
北京大学,本科,心理学类(基础心理学\应用心理学),1,物理 ,应用心理学
北京大学,本科,环境科学与工程类(环境科学\环境工程\环境管理),1,物理 ,
北京大学,本科,人文科学试验班(艺术史论\戏剧影视文学\文化产业管理),0,不限,
北京大学,本科,文科试验班类(政治、经济与哲学\外国语言与外国历史\全校范围内选专业),0,不限,
北京大学,本科,理科试验班类(整合科学\政治、经济与哲学\外国语言与外国历史\古生物学\全校范围内的专业),0,不限,
北京大学,本科,哲学类(哲学\宗教学\哲学（科技哲学与逻辑学方向）),0,不限,
北京大学,本科,经济学类(经济学\金融学\国际经济与贸易\风险管理与保险学\财政学\发展经济学),0,不限,
北京大学,本科,应用语言学,0,不限,
北京大学,本科,英语,0,不限,
北京大学,本科,新闻传播学类(新闻学\广播电视新闻学\广告学\编辑出版学\传播学),0,不限,
北京大学,本科,考古学(考古学\博物馆学),0,不限,
北京大学,本科,信息管理与信息系统(信息管理与信息系统\图书馆学),0,不限,
北京大学,本科,工商管理类(金融学\金融经济学\会计学\市场营销),0,不限,
北京大学,本科,公共管理类(政治学与行政学\公共政策学\城市管理学\行政管理学),0,不限,
中国人民大学,本科,理科试验班(物理、化学与心理学),3,物理 化学 生物 ,
