地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
东莞,IT/互联网,海王星辰医药连锁,医疗服务,1000-9999人,www.nepstar.cn,3.1,￥2827
东莞,IT/互联网,乐其,电子商务,1000-9999人,www.leqee.com,3.7,￥5600
东莞,IT/互联网,vivo智能手机,互联网,1000-9999人,www.vivo.com.cn,3.5,￥5000
东莞,IT/互联网,卓博人才网,人才服务,20-99人,jobcn.com.cn,4.2,￥4200
东莞,IT/互联网,东莞智通人才,网络招聘,0-20人,www.job5156.com,4.0,￥4000
东莞,IT/互联网,台达,IT服务/系统集成,,,3.2,￥5393
东莞,IT/互联网,东莞市东信网络技术有限公司华北大区,计算机软件,500-999人,www.donson.com.cn,3.6,￥5075
东莞,IT/互联网,东莞市三生文化发展有限公司,IT服务/系统集成,100-499人,www.sanshenggufen.com,暂无,￥6300
东莞,IT/互联网,东莞市卓博信息科技有限公司,互联网,20-99人,www.jobcn.com,3.0,￥4749
东莞,IT/互联网,东莞嘉财电业制造厂,电子商务,100-499人,,4.0,￥2900
东莞,IT/互联网,东莞黑洞科技,网游/手游,100-499人,www.0769-game.com,2.3,￥6950
东莞,IT/互联网,权智集团,IT服务/系统集成,500-999人,,4.0,￥5075
东莞,IT/互联网,团贷网,互联网,500-999人,www.tuandai.com,3.3,￥7500
东莞,IT/互联网,智通人才网,互联网,1000-9999人,www.job5156.com,3.0,￥4850
东莞,IT/互联网,科森网络,云计算/大数据,20-99人,www.cnkesen.com,5.0,￥0
东莞,IT/互联网,盟大集团,互联网,100-499人,www.mondagroup.com,3.5,￥5500
东莞,IT/互联网,东莞市商通电子商务有限公司,互联网,0-20人,www.st5.com,5.0,￥2625
东莞,IT/互联网,联创互动,互联网,20-99人,www.lchd.com,5.0,￥15000
东莞,IT/互联网,东莞市易得网络科技有限公司,互联网,20-99人,www.easyder.com,3.0,￥4450
东莞,IT/互联网,东莞乐迪卡游戏机制造厂有限公司,网游/手游,1000-9999人,www.radica.com.hk,2.9,￥3921
东莞,IT/互联网,飞虎乐购,互联网,100-499人,www.efeihu.com,3.0,￥6380
东莞,IT/互联网,东莞市华贝网络科技有限公司,互联网,100-499人,www.jideli.com,3.5,￥6449
东莞,IT/互联网,东莞尚睿电子商务有限公司,电子商务,100-499人,www.thesunrain.com,5.0,￥5000
东莞,IT/互联网,东莞市聚核网络科技有限公司,互联网,www.juxi.cc,,暂无,￥0
东莞,IT/互联网,积得利网,互联网,100-499人,www.jideli.com,暂无,￥5500
东莞,IT/互联网,东莞市天行健网络有限公司,互联网,100-499人,www.txjnet.com,暂无,￥2370
东莞,IT/互联网,名师宝,O2O,100-499人,www.msb365.com,3.5,￥0
东莞,IT/互联网,威林干那,IT服务/系统集成,,,2.0,￥11636
东莞,IT/互联网,东莞唯特尔电子商务有限公司,电子商务,100-499人,www.vtrec.cn,暂无,￥5181
东莞,IT/互联网,东莞购酷,互联网,www.gocool.cc,,暂无,￥8450
东莞,IT/互联网,东莞市东蝶管理软件有限公司,IT服务/系统集成,20-99人,,暂无,￥5611
东莞,IT/互联网,中域集团,互联网,20-99人,www.1gou.com,暂无,￥3872
东莞,IT/互联网,东莞市优点网络科技有限公司,互联网,20-99人,www.91yodea.com,3.0,￥2425
东莞,IT/互联网,东莞光宝科技,计算机软件,,,4.0,￥3640
东莞,IT/互联网,东莞能邦电子科技有限公司,互联网,20-99人,,暂无,￥0
东莞,IT/互联网,广东建邦计算机软件有限公司,计算机软件,100-499人,amass.com.cn,4.0,￥12000
东莞,IT/互联网,健客网,互联网,1000-9999人,www.jianke.com,2.8,￥4250
东莞,IT/互联网,生益科技,计算机软件,1000-9999人,www.syst.com.cn/,4.5,￥3688
东莞,IT/互联网,一一五科技,互联网,100-499人,b.115.com,3.1,￥5500
东莞,IT/互联网,东莞石龙京瓷光学有限公司,计算机软件,500-999人,www.kyocera-sko.com.cn,4.0,￥4200
东莞,IT/互联网,东莞市酷配电子商务有限公司,互联网,www.kuparts.com,,暂无,￥11374
东莞,IT/互联网,国云科技股份有限公司,IT服务/系统集成,100-499人,www.g-cloud.com.cn,3.5,￥4674
东莞,IT/互联网,东莞市新航线跨境电子商务服务有限公司,互联网,20-99人,www.newlineedu.com,暂无,￥0
东莞,IT/互联网,东莞市聚焦网络科技有限公司,互联网,20-99人,www.chinajujiao.com,暂无,￥4450
东莞,IT/互联网,房掌柜,互联网,500-999人,www.fzg360.com,2.3,￥3750
东莞,IT/互联网,ivali,互联网,100-499人,www.ivali.com,暂无,￥5750
东莞,IT/互联网,东莞励进电子,电子/半导体/集成电路,500-999人,,2.0,￥3711
东莞,IT/互联网,东莞市华南城市候机楼服务有限公司,互联网,www.dgairport.cn,,暂无,￥0
东莞,IT/互联网,东莞市中大科技网络有限公司,计算机软件,100-499人,www.zsuse.com,暂无,￥0
东莞,IT/互联网,东莞阳光网,门户网站/搜索引擎,,,暂无,￥8383
东莞,IT/互联网,多谷网络,互联网,20-99人,cn.digood.com,暂无,￥4000
东莞,IT/互联网,东莞锋火信息科技有限公司,互联网,20-99人,,暂无,￥0
东莞,IT/互联网,东莞市新动力网络科技有限公司,网游/手游,xiaoxue.61ertong.com,,5.0,￥8000
东莞,IT/互联网,东莞民信电子商务有限公司,互联网,100-499人,,暂无,￥0
东莞,IT/互联网,广东数夫家具软件有限公司,计算机软件,20-99人,www.fdatacraft.com,3.5,￥8620
东莞,IT/互联网,巨细科技,移动互联网,,,暂无,￥3750
东莞,IT/互联网,广州税友软件,计算机软件,20-99人,,3.9,￥5000
东莞,IT/互联网,东莞市比利网络技术服务有限公司,互联网,20-99人,,暂无,￥3750
东莞,IT/互联网,登科网络,互联网,20-99人,www.dk360.net,暂无,￥3350
东莞,IT/互联网,东莞市云拓网络科技有限公司,互联网,20-99人,www.ytclouds.net,暂无,￥0
东莞,IT/互联网,东莞卓先软件科技有限公司,计算机软件,20-99人,,暂无,￥2874
东莞,IT/互联网,力拓科技,计算机软件,www.ltpower.net,,暂无,￥4450
东莞,IT/互联网,东莞亿京信息科技有限公司,互联网,20-99人,www.aoiskill.com,暂无,￥0
东莞,IT/互联网,东莞市阿曼达网络技术有限公司,互联网,0-20人,,5.0,￥6300
东莞,IT/互联网,东莞市指端网络科技有限公司,互联网,0-20人,,5.0,￥9680
东莞,IT/互联网,东莞慕意网络科技有限公司,互联网,100-499人,www.muyee.com,暂无,￥3375
东莞,IT/互联网,东莞鸿太鑫软件科技有限公司,计算机软件,,,暂无,￥0
东莞,IT/互联网,东莞市友贷金融信息服务有限公司,互联网,100-499人,www.yodbank.com,暂无,￥0
东莞,IT/互联网,东莞市威睿软件科技有限公司,计算机软件,20-99人,www.atuschina.com,5.0,￥15840
东莞,IT/互联网,东莞依时利科技有限公司,IT服务/系统集成,100-499人,www.eastriver.com.cn,暂无,￥5350
东莞,IT/互联网,爱学堂,在线教育,100-499人,www.aixuetang.com,2.0,￥6350
东莞,IT/互联网,东莞宝亮网智,IT服务/系统集成,20-99人,www.dgie.net,暂无,￥6655
东莞,IT/互联网,东莞市安骑运动器材贸易有限公司,互联网,20-99人,,5.0,￥0
东莞,IT/互联网,东莞市派趣电子商务有限公司,电子商务,100-499人,,5.0,￥3800
东莞,IT/互联网,新文传媒集团,互联网,,,4.0,￥3625
东莞,IT/互联网,上海天领企业管理咨询有限公司东莞分公司,互联网,0-20人,,4.0,￥3200
东莞,IT/互联网,赵氏集团公司蓝成卡板厂,互联网,20-99人,,4.3,￥0
东莞,IT/互联网,东莞搜谷计算机系统有限公司,互联网,100-499人,www.sogoode.com,5.0,￥3225
东莞,IT/互联网,东莞市紫光文祥网络有限公司,互联网,100-499人,,暂无,￥3175
东莞,IT/互联网,东莞南福皮件有限公司,互联网,100-499人,www.auchamo.com,暂无,￥4640
东莞,IT/互联网,东莞市盟大塑化科技有限公司,互联网,100-499人,www.pvc123.com,3.0,￥4500
东莞,IT/互联网,中国太平洋财产保险股份有限公司东莞分公司,计算机软件,500-999人,www.cpic.com.cn,3.6,￥4625
东莞,IT/互联网,美康雅,O2O,,,4.0,￥7034
东莞,IT/互联网,东莞市德树软件有限公司,计算机软件,www.kingdee.hk,,暂无,￥0
东莞,IT/互联网,东莞志鸿国际金融科技孵化中心有限公司,计算机软件,20-99人,,暂无,￥1740
东莞,IT/互联网,广东立创软件开发有限公司,计算机软件,20-99人,,暂无,￥0
东莞,IT/互联网,领航人才网,网络招聘,20-99人,,暂无,￥1452
东莞,IT/互联网,坤德,互联网,0-20人,www.kundeit.com,暂无,￥3085
东莞,IT/互联网,华为南方工厂,通信设备,,,3.8,￥4819
东莞,IT/互联网,东莞市朝阳信息网络有限公司,互联网,www.114my.net,,暂无,￥3343
东莞,IT/互联网,新长江水务科技有限公司,互联网,0-20人,,暂无,￥2320
东莞,IT/互联网,康华,移动互联网,,,暂无,￥5327
东莞,IT/互联网,东莞市虹华软件科技有限公司,计算机软件,100-499人,www.hhhr.com.cn,4.0,￥7250
东莞,IT/互联网,深圳亲亲电子商务有限公司,电子商务,0-20人,,暂无,￥3837
