地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
东莞,专业服务,卓博人才网,人才服务,20-99人,jobcn.com.cn,4.2,￥4200
东莞,专业服务,大京九人才市场,人才服务,500-999人,job11580.com/,5.0,￥5027
东莞,专业服务,东莞市红海企业管理顾问有限公司,外包服务,,,3.0,￥4050
东莞,专业服务,东莞现代产品整理服务有限公司,检测/认证,www.mts-global.com,,3.2,￥4805
东莞,专业服务,东莞市三多企业登记代理有限公司,咨询,0-20人,www.cpa769.com,4.5,￥0
东莞,专业服务,倍科质量技术服务（东莞）有限公司,检测/认证,100-499人,www.baclcorp.com.cn,3.0,￥3500
东莞,专业服务,深圳市通规技术检测有限公司,检测/认证,1000-9999人,www.gst-lab.com,2.5,￥3838
东莞,专业服务,东莞市华南专利商标事务所有限公司,专利/知识产权/商标,www.dgpatent.com,,4.0,￥5980
东莞,专业服务,东莞市中鼎检测技术有限公司,检测/认证,www.cttlab.com,,3.3,￥4200
东莞,专业服务,东莞市键锋企业管理咨询有限公司,咨询,20-99人,www.jian-feng.cn,暂无,￥0
东莞,专业服务,东莞市华必信会计咨询有限公司,咨询,20-99人,,暂无,￥3993
东莞,专业服务,三方人才,人才服务,www.sanbou.net.cn,,5.0,￥12000
东莞,专业服务,东莞纽卡斯企业管理咨询有限公司,人才服务,500-999人,www.ncshr.com.cn,暂无,￥0
东莞,专业服务,东莞市凯粤知识产权代理有限公司,法律,100-499人,www.dgkaiy.com,暂无,￥4762
东莞,专业服务,锐仕方达（北京）人力资源顾问有限公司东莞分公司,人才服务,500-999人,www.risfond.com,3.8,￥5000
东莞,专业服务,东莞市浩洋知识产权服务有限公司,专利/知识产权/商标,20-99人,www.haoyangok.com,暂无,￥2933
东莞,专业服务,东莞标检产品检测有限公司,检测/认证,100-499人,www.dgstc.org,暂无,￥3625
东莞,专业服务,东莞市安诺检测科技有限公司,检测/认证,20-99人,,5.0,￥2383
东莞,专业服务,光耀国际人力资源管理咨询公司,人才服务,20-99人,www.gyhht.com,暂无,￥0
东莞,专业服务,博慧翻译,翻译,20-99人,www.bowway.com,暂无,￥0
东莞,专业服务,智通人才连锁,人才服务,1000-9999人,www.hr5156.com,暂无,￥12000
东莞,专业服务,东莞市商盈知识产权服务有限公司,专利/知识产权/商标,,,暂无,￥0
东莞,专业服务,东莞市德正会计师事务所,财务/审计/税务,100-499人,,暂无,￥3042
东莞,专业服务,东莞市百科知识产权服务有限公司,咨询,20-99人,www.baikegroup.com,暂无,￥0
东莞,专业服务,东莞市焦点企业管理咨询有限公司,财务/审计/税务,100-499人,,暂无,￥15750
东莞,专业服务,广州南方人才市场,中介服务,100-499人,,3.0,￥2448
东莞,专业服务,广东众达律师事务所,法律,100-499人,,1.0,￥5488
东莞,专业服务,宁波市科宝试验设备有限公司,检测/认证,100-499人,www.zjkb17.com,暂无,￥0
东莞,专业服务,江苏世通仪器检测服务有限公司,检测/认证,500-999人,www.stl-js.com,暂无,￥0
