地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
东莞,交通/贸易/物流 ,南储仓储,交通/运输,20-99人,www.nanchu.com,2.5,￥2347
东莞,交通/贸易/物流 ,东莞马士基集装箱工业有限公司,交通/运输,1000-9999人,www.maersk.com,4.0,￥4495
东莞,交通/贸易/物流 ,东莞市正爱实业有限公司,贸易/进出口,500-999人,,暂无,￥2500
东莞,交通/贸易/物流 ,约克（中国）商贸有限公司,贸易/进出口,20-99人,www.johnsoncontrols.cn/be,3.6,￥6201
东莞,交通/贸易/物流 ,东莞市欧欧贸易有限公司,贸易/进出口,500-999人,,暂无,￥8250
东莞,交通/贸易/物流 ,东莞厚街桥头时代手袋厂,贸易/进出口,100-499人,,3.3,￥2755
东莞,交通/贸易/物流 ,东莞市海昌实业有限公司,交通/运输,100-499人,www.dghaichang.com,暂无,￥4296
东莞,交通/贸易/物流 ,东莞添世贸易有限公司,贸易/进出口,100-499人,www.groupe-eram.com,4.3,￥4018
东莞,交通/贸易/物流 ,东莞地铁,交通/运输,,,5.0,￥3766
东莞,交通/贸易/物流 ,东莞利威鞋业有限公司,贸易/进出口,,,4.0,￥4350
东莞,交通/贸易/物流 ,深圳市荣成物流有限公司,交通/运输,100-499人,www.altuslogistics.com,暂无,￥0
东莞,交通/贸易/物流 ,广深高速公路,交通/运输,,,4.0,￥4237
东莞,交通/贸易/物流 ,东莞马士基,物流/仓储,0-20人,,5.0,￥5500
东莞,交通/贸易/物流 ,东莞市帝捷电子科技有限公司,贸易/进出口,100-499人,,暂无,￥3479
东莞,交通/贸易/物流 ,东莞市创河五金制品有限公司,贸易/进出口,500-999人,www.luosi99.com,暂无,￥3037
东莞,交通/贸易/物流 ,东莞添爱服装辅料有限公司,贸易/进出口,100-499人,www.trimnetworks.com,3.0,￥2425
东莞,交通/贸易/物流 ,东莞市世纪同诚速递有限公司,交通/运输,500-999人,www.cse888.com,4.0,￥5100
东莞,交通/贸易/物流 ,东莞彩桥印刷厂,交通/运输,1000-9999人,,5.0,￥5466
东莞,交通/贸易/物流 ,东莞骏伟塑胶五金有限公司,贸易/进出口,1000-9999人,,4.0,￥2772
东莞,交通/贸易/物流 ,东莞市光大经济贸易有限公司,贸易/进出口,,,暂无,￥4582
东莞,交通/贸易/物流 ,广东省邮政速递物流有限公司东莞市分公司,物流/仓储,500-999人,www.ems.com.cn,2.0,￥6888
东莞,交通/贸易/物流 ,嘉顿食品贸易（中国）有限公司,贸易/进出口,,,3.0,￥0
东莞,交通/贸易/物流 ,东莞麦斯鞋厂,贸易/进出口,1000-9999人,,3.0,￥2900
东莞,交通/贸易/物流 ,美利龙餐厨具（东莞）有限公司,贸易/进出口,,,2.0,￥3350
东莞,交通/贸易/物流 ,东莞市联臣电子科技有限公司,贸易/进出口,100-499人,www.ipearl-usa.com,5.0,￥3200
东莞,交通/贸易/物流 ,康乐宝,贸易/进出口,0-20人,,暂无,￥4485
东莞,交通/贸易/物流 ,东莞市东急捷运有限公司,交通/运输,www.djecn.com,,暂无,￥2100
东莞,交通/贸易/物流 ,东莞宝贝电器有限公司,贸易/进出口,100-499人,www.baby37du.com,暂无,￥2904
东莞,交通/贸易/物流 ,东莞市智顺贸易有限公司,贸易/进出口,100-499人,,暂无,￥3299
东莞,交通/贸易/物流 ,联昊通物流,物流/仓储,20-99人,www.lts.com.cn,5.0,￥3081
东莞,交通/贸易/物流 ,东莞市天润木业有限公司,贸易/进出口,100-499人,,5.0,￥2249
东莞,交通/贸易/物流 ,广东东莞丰海海运有限公司,交通/运输,20-99人,,4.0,￥4098
东莞,交通/贸易/物流 ,东莞向前国际货运代理有限公司,交通/运输,20-99人,www.dgxqwl.com,暂无,￥0
东莞,交通/贸易/物流 ,东莞市唯尔声视听设备有限公司,贸易/进出口,20-99人,,暂无,￥0
东莞,交通/贸易/物流 ,东莞嘉荣商贸有限公司,贸易/进出口,,,5.0,￥4870
东莞,交通/贸易/物流 ,东莞市佰腾塑胶五金制品有限公司,贸易/进出口,100-499人,www.pm-bestways.com,暂无,￥4325
东莞,交通/贸易/物流 ,广州市莎鸥凯电子科技有限公司,贸易/进出口,0-20人,,暂无,￥0
东莞,交通/贸易/物流 ,东莞市丝唯实业有限公司,贸易/进出口,500-999人,,暂无,￥0
东莞,交通/贸易/物流 ,东莞市晟通进出口有限公司,贸易/进出口,www.shengtone.com,,暂无,￥0
东莞,交通/贸易/物流 ,东莞市大朗众顺锅炉经营部,贸易/进出口,20-99人,www.zhongsun6362.com,5.0,￥9000
东莞,交通/贸易/物流 ,全晨快递公司,物流/仓储,100-499人,www.qckd.net,4.3,￥3744
东莞,交通/贸易/物流 ,东莞市发斯宁货运代理有限公司,交通/运输,100-499人,,暂无,￥6349
东莞,交通/贸易/物流 ,东莞市兄弟气球有限公司,贸易/进出口,100-499人,,暂无,￥2475
东莞,交通/贸易/物流 ,东莞市轨道交通有限公司,交通/运输,1000-9999人,www.dggdjt.com,暂无,￥3061
东莞,交通/贸易/物流 ,东莞寮步广德运动用品有限公司,贸易/进出口,1000-9999人,,1.0,￥1800
东莞,交通/贸易/物流 ,三正,贸易/进出口,20-99人,,3.0,￥3495
东莞,交通/贸易/物流 ,东莞市中彩印刷器材有限公司,贸易/进出口,20-99人,www.cn-print.com,暂无,￥2500
东莞,交通/贸易/物流 ,深圳速尔物流有限公司,物流/仓储,500-999人,www.sure56.com,1.0,￥2943
东莞,交通/贸易/物流 ,东莞市志安国际货运代理有限公司,贸易/进出口,20-99人,,5.0,￥3172
东莞,交通/贸易/物流 ,东莞沃伦家具贸易公司,贸易/进出口,100-499人,,3.0,￥6162
东莞,交通/贸易/物流 ,东莞市寮步光合反光织造加工厂,贸易/进出口,100-499人,,暂无,￥4300
东莞,交通/贸易/物流 ,东莞市凯盛中通快递有限公司,物流/仓储,,,暂无,￥3243
东莞,交通/贸易/物流 ,东莞市晋商贸易有限公司,贸易/进出口,www.gk8.com,,暂无,￥4196
东莞,交通/贸易/物流 ,东莞市虎门港集团有限公司,交通/运输,,,2.0,￥6192
东莞,交通/贸易/物流 ,东莞市振科实业有限公司,贸易/进出口,100-499人,,暂无,￥2500
东莞,交通/贸易/物流 ,东莞汇富控股集团有限公司,贸易/进出口,100-499人,,暂无,￥2650
东莞,交通/贸易/物流 ,东莞市耀丰户外用品有限公司,贸易/进出口,100-499人,,暂无,￥2425
东莞,交通/贸易/物流 ,东莞市鸿美塑胶制品有限公司,贸易/进出口,100-499人,www.homeiacrylic.com,暂无,￥2250
东莞,交通/贸易/物流 ,东莞市泓美运动用品有限公司,贸易/进出口,100-499人,,暂无,￥2174
东莞,交通/贸易/物流 ,东莞市耀扬商贸有限公司,贸易/进出口,,,暂无,￥4799
东莞,交通/贸易/物流 ,森鸿国际快递,物流/仓储,20-99人,,暂无,￥4740
东莞,交通/贸易/物流 ,一辉集团实业有限公司,交通/运输,100-499人,,暂无,￥5300
东莞,交通/贸易/物流 ,东莞孚宝联兴仓储有限公司,交通/运输,100-499人,,3.0,￥0
东莞,交通/贸易/物流 ,倍通检测认证中心,贸易/进出口,100-499人,,3.0,￥4718
东莞,交通/贸易/物流 ,东莞施格懋贸易有限公司,贸易/进出口,20-99人,,暂无,￥10000
东莞,交通/贸易/物流 ,东莞市宏川电子有限公司,贸易/进出口,20-99人,www.hongchuan8.com,暂无,￥6300
东莞,交通/贸易/物流 ,东莞市巡航国际货运代理有限公司,交通/运输,100-499人,,暂无,￥0
东莞,交通/贸易/物流 ,东莞市铭瑞盛业纺织品有限公司,贸易/进出口,20-99人,www.mingfortune.com.cn,暂无,￥2350
东莞,交通/贸易/物流 ,深圳市车夫网物流科技有限公司,物流/仓储,0-20人,,暂无,￥3500
东莞,交通/贸易/物流 ,东莞三江港口储罐有限公司,交通/运输,,,暂无,￥3478
东莞,交通/贸易/物流 ,东莞市子昀皮革有限公司,贸易/进出口,20-99人,,5.0,￥0
东莞,交通/贸易/物流 ,广东省南方传媒发行物流有限公司,物流/仓储,10000人以上,www.nfdaily.cn,暂无,￥3262
东莞,交通/贸易/物流 ,东莞市中玲实业有限公司,贸易/进出口,www.luxy.hk,,暂无,￥3675
东莞,交通/贸易/物流 ,东莞市天和商贸有限公司,贸易/进出口,1000-9999人,,3.0,￥2709
东莞,交通/贸易/物流 ,东莞市森鸿物流有限公司,交通/运输,100-499人,www.showl.net,1.0,￥2500
东莞,交通/贸易/物流 ,东莞华为南方工厂,交通/运输,,,3.3,￥9461
东莞,交通/贸易/物流 ,东莞市隆兴纸业有限公司,贸易/进出口,www.dgrxzy.com,,暂无,￥3399
东莞,交通/贸易/物流 ,东莞市公共汽车有限公司,交通/运输,500-999人,,暂无,￥5695
东莞,交通/贸易/物流 ,东莞华港国际贸易有限公司,贸易/进出口,www.wahlee.com,,3.7,￥4500
东莞,交通/贸易/物流 ,东莞宝鑫贸易有限公司,贸易/进出口,www.svigloballtd.com,,3.0,￥5495
东莞,交通/贸易/物流 ,东莞市晟翔电子科技有限公司,贸易/进出口,100-499人,,3.0,￥6655
东莞,交通/贸易/物流 ,东莞市安美贸易有限公司,贸易/进出口,20-99人,,暂无,￥0
东莞,交通/贸易/物流 ,东莞市联昊通速递有限公司,交通/运输,100-499人,www.lts.com.cn,5.0,￥3068
东莞,交通/贸易/物流 ,东莞保利树,贸易/进出口,1000-9999人,,3.0,￥2800
东莞,交通/贸易/物流 ,香港志途贸易有限公司,贸易/进出口,100-499人,,4.0,￥4681
东莞,交通/贸易/物流 ,东莞市港安电子贸易有限公司,贸易/进出口,,,暂无,￥4893
东莞,交通/贸易/物流 ,深圳新鹏物流有限公司,物流/仓储,20-99人,,暂无,￥3451
东莞,交通/贸易/物流 ,海裕船务有限公司,交通/运输,20-99人,,暂无,￥3718
东莞,交通/贸易/物流 ,东莞市图盈实业有限公司,贸易/进出口,500-999人,,暂无,￥4658
东莞,交通/贸易/物流 ,东莞市京驰塑胶科技有限公司,贸易/进出口,www.jingchi.cc,,暂无,￥3318
东莞,交通/贸易/物流 ,东莞市凯瑞电子商务有限公司,贸易/进出口,20-99人,,暂无,￥2437
东莞,交通/贸易/物流 ,美国立杰贸易有限公司东莞代表处,贸易/进出口,,,2.0,￥2112
东莞,交通/贸易/物流 ,广东时捷物流有限公司,交通/运输,1000-9999人,www.timeexpress.com.cn,2.0,￥2224
东莞,交通/贸易/物流 ,华昌达国际货运代理,交通/运输,20-99人,,暂无,￥7540
东莞,交通/贸易/物流 ,东莞市大岭山升桦礼品包装加工厂,贸易/进出口,20-99人,,暂无,￥3112
东莞,交通/贸易/物流 ,东莞市索立得模型科技有限公司,贸易/进出口,500-999人,www.fmsmodel.com,暂无,￥5143
东莞,交通/贸易/物流 ,东莞市基涛五金塑胶制品有限公司,贸易/进出口,0-20人,,暂无,￥3252
东莞,交通/贸易/物流 ,邦胜鞋厂,贸易/进出口,1000-9999人,,3.5,￥3094
东莞,交通/贸易/物流 ,广州惠杰体育用品有限公司,贸易/进出口,0-20人,,暂无,￥2412
东莞,交通/贸易/物流 ,东莞龙堡塑胶制品有限公司,贸易/进出口,100-499人,,暂无,￥2600
