地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
东莞,广告/传媒/文化,广东华视,影视/媒体,100-499人,www.hsyscm.com,3.4,￥5846
东莞,广告/传媒/文化,陆逊梯卡华宏眼镜,文化/艺术/出版,100-499人,www.luxottica.com,3.3,￥4500
东莞,广告/传媒/文化,东莞市龙文文化传播有限公司,影视/媒体,500-999人,www.longwenedu.com,暂无,￥4400
东莞,广告/传媒/文化,东莞笔克展览服务,广告/公关/会展,20-99人,www.pico.com,3.5,￥4740
东莞,广告/传媒/文化,东莞市行智互动跨界营销策划有限公司,广告/公关/会展,100-499人,www.zensir.com,4.0,￥0
东莞,广告/传媒/文化,惠州市和联实业有限公司,广告/公关/会展,100-499人,,4.3,￥3350
东莞,广告/传媒/文化,东莞市峰尚广告有限公司,广告/公关/会展,20-99人,www.ypp100.com,暂无,￥0
东莞,广告/传媒/文化,广州金燕达观广告有限公司,影视/媒体,20-99人,,3.3,￥4548
东莞,广告/传媒/文化,东莞市汉典策划设计有限公司,广告/公关/会展,20-99人,www.welddesign.cn,暂无,￥3225
东莞,广告/传媒/文化,东莞市蓝信动漫科技有限公司,影视/媒体,100-499人,www.lanxin0405.com/,3.0,￥0
东莞,广告/传媒/文化,东莞市开运堂文化传播有限公司,珠宝/首饰/工艺品,100-499人,www.laoyuanji.com,暂无,￥0
东莞,广告/传媒/文化,东莞市泽远文化传播有限公司,广告/公关/会展,20-99人,www.zowin.com.cn,暂无,￥0
东莞,广告/传媒/文化,东莞市天佑广告有限公司,广告/公关/会展,20-99人,www.tianyouchina.com,3.4,￥7986
东莞,广告/传媒/文化,东莞秦汉汽车模具技术有限公司,广告/公关/会展,20-99人,,4.0,￥0
东莞,广告/传媒/文化,东莞市漫彩文化传播有限公司,影视/媒体,www.zhuaimao.com,,1.0,￥3491
东莞,广告/传媒/文化,东莞市博士玩伴文化传播有限公司,影视/媒体,,,暂无,￥0
东莞,广告/传媒/文化,东莞日报,影视/媒体,100-499人,epaper.timedg.com,3.0,￥7920
东莞,广告/传媒/文化,新创数码,影视/媒体,100-499人,www.xchps.com,暂无,￥2700
东莞,广告/传媒/文化,东莞市环宇文化科技有限公司,影视/媒体,0-20人,www.lasereffect.com,暂无,￥2916
东莞,广告/传媒/文化,东莞市力本素形广告有限公司,广告/公关/会展,0-20人,,暂无,￥6450
东莞,广告/传媒/文化,东莞市美极创意形象设计有限公司,广告/公关/会展,100-499人,,暂无,￥0
东莞,广告/传媒/文化,东莞潇湘文化传播有限公司,影视/媒体,0-20人,www.dgxxwh.com/,暂无,￥4300
东莞,广告/传媒/文化,东莞市金榜广告有限公司,广告/公关/会展,100-499人,,5.0,￥5811
东莞,广告/传媒/文化,东莞金燕达观,影视/媒体,20-99人,,2.3,￥6170
东莞,广告/传媒/文化,东莞市玉圆文化传播有限公司,影视/媒体,20-99人,www.dgyuyuan.com.cn,暂无,￥0
东莞,广告/传媒/文化,东莞市品华文化传播有限公司,影视/媒体,0-20人,,暂无,￥3166
东莞,广告/传媒/文化,东莞市和信数码电子有限公司塘厦分公司,影视/媒体,,,暂无,￥0
东莞,广告/传媒/文化,东莞市谦涵广告有限公司,广告/公关/会展,100-499人,,暂无,￥0
东莞,广告/传媒/文化,东莞市金笛广告有限公司,广告/公关/会展,500-999人,,暂无,￥0
东莞,广告/传媒/文化,深圳市大美至高文化发展有限公司,影视/媒体,20-99人,,暂无,￥0
东莞,广告/传媒/文化,东莞市恒美广告有限公司,广告/公关/会展,20-99人,,暂无,￥4500
东莞,广告/传媒/文化,成道,广告/传媒/文化,100-499人,,暂无,￥2697
东莞,广告/传媒/文化,东莞方圆合壹品牌设计有限公司,广告/公关/会展,20-99人,www.fyhydesign.com,5.0,￥2500
东莞,广告/传媒/文化,阳华数码,影视/媒体,,,暂无,￥3300
东莞,广告/传媒/文化,东莞渊博文化传播有限公司,广告/公关/会展,0-20人,,暂无,￥0
东莞,广告/传媒/文化,东莞广播电视台,影视/媒体,500-999人,,3.5,￥6425
东莞,广告/传媒/文化,深圳市雅达环境艺术设计有限公司,影视/媒体,100-499人,www.yddesign.com,暂无,￥4400
东莞,广告/传媒/文化,东莞创造者文化传播有限公司,影视/媒体,0-20人,,3.0,￥3309
东莞,广告/传媒/文化,广州益考文化活动策划有限公司,影视/媒体,100-499人,www.yikaowh.com,暂无,￥4350
东莞,广告/传媒/文化,东莞市美致创瑞文化传播有限公司,影视/媒体,100-499人,,5.0,￥5314
东莞,广告/传媒/文化,东莞电视台,影视/媒体,,,暂无,￥5528
东莞,广告/传媒/文化,东莞市博世广告有限公司,广告/公关/会展,20-99人,,暂无,￥0
东莞,广告/传媒/文化,广东比而特动漫有限公司,广告/公关/会展,500-999人,www.bierte.com,暂无,￥4487
东莞,广告/传媒/文化,兴达营销策划有限公司,影视/媒体,20-99人,,暂无,￥4156
东莞,广告/传媒/文化,东莞市天娇广告有限公司,广告/公关/会展,20-99人,www.dgtianjiao.cn,暂无,￥0
东莞,广告/传媒/文化,东莞市鑫旺装饰设计工程有限公司,广告/公关/会展,1000-9999人,,暂无,￥5862
东莞,广告/传媒/文化,东莞塘厦金陵印刷厂,影视/媒体,100-499人,,5.0,￥4268
东莞,广告/传媒/文化,新文传媒,广告/公关/会展,20-99人,www.dgnmg.com,暂无,￥5874
东莞,广告/传媒/文化,东莞市和众营销策划有限公司,广告/公关/会展,100-499人,www.hz-one.com,暂无,￥3299
东莞,广告/传媒/文化,东莞市馨艺文化传播有限公司,影视/媒体,www.dgxywh.com,,暂无,￥2850
东莞,广告/传媒/文化,东莞市新文传媒集团有限公司,影视/媒体,500-999人,,暂无,￥2900
东莞,广告/传媒/文化,海尔电视,影视/媒体,,,暂无,￥3002
东莞,广告/传媒/文化,橙天嘉禾,影视/媒体,0-20人,,暂无,￥6170
东莞,广告/传媒/文化,台达电子电影（东莞）有限公司,影视/媒体,20-99人,,暂无,￥4150
东莞,广告/传媒/文化,东湖文化传播有限公司,影视/媒体,,,暂无,￥3000
