地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
东莞,房地产/建筑,中惠熙元房地产集团有限公司,房地产开发,500-999人,www.zovie.cn,3.7,￥7524
东莞,房地产/建筑,东莞厚街TTI 集团,装修装饰,www.ttigroup.com/en/home,,3.6,￥4900
东莞,房地产/建筑,中惠熙元,房地产开发,,,3.0,￥8090
东莞,房地产/建筑,岭南园林,园林景观,1000-9999人,www.lnlandscape.com,3.5,￥4356
东莞,房地产/建筑,沿海地产,房地产开发,100-499人,,4.0,￥12936
东莞,房地产/建筑,东莞市同业房地产经纪有限公司,地产经纪/中介,20-99人,微信：tongye0769,暂无,￥6500
东莞,房地产/建筑,东莞市晟利置业投资顾问有限公司,房地产开发,20-99人,,暂无,￥0
东莞,房地产/建筑,东莞富盈房地产,房地产开发,20-99人,,2.5,￥7580
东莞,房地产/建筑,东莞市德融实业投资有限公司,房地产开发,100-499人,www.dr0769.com,5.0,￥4125
东莞,房地产/建筑,东莞万达广场有限公司,房地产开发,,,3.8,￥18228
东莞,房地产/建筑,东莞市佳兆业房地产开发有限公司,房地产开发,,,4.0,￥11305
东莞,房地产/建筑,广州市优伟家居用品有限公司,装修装饰,1000-9999人,www.uwin-china.com,1.0,￥3250
东莞,房地产/建筑,广东现代国际展览中心有限公司,物业管理/商业中心,20-99人,,暂无,￥8541
东莞,房地产/建筑,广东金中汇建设有限公司,房地产开发,20-99人,,暂无,￥4300
东莞,房地产/建筑,东莞世联地产顾问有限公司,地产经纪/中介,,,3.5,￥2850
东莞,房地产/建筑,广东华坤建设集团有限公司,房地产开发,500-999人,,暂无,￥11824
东莞,房地产/建筑,广州人和新天地公共设施有限公司,房地产开发,0-20人,,暂无,￥3387
东莞,房地产/建筑,顾家家居,家具/家居,20-99人,,2.8,￥4000
东莞,房地产/建筑,广东恒亿集团有限公司,房地产开发,1000-9999人,www.gdhengyi.com,3.0,￥4037
东莞,房地产/建筑,广东鸿高建设集团有限公司,房地产开发,500-999人,,2.0,￥4825
东莞,房地产/建筑,东莞市远征房地产经纪有限公司,地产经纪/中介,20-99人,,5.0,￥3162
东莞,房地产/建筑,东莞市田禾房地产投资有限公司,房地产开发,,,暂无,￥7365
东莞,房地产/建筑,广东天霸设计装饰工程有限公司,工程施工,100-499人,www.tb888.net,5.0,￥5750
东莞,房地产/建筑,东莞万科房地产有限公司,房地产开发,1000-9999人,,4.3,￥2722
东莞,房地产/建筑,东莞市大岭山镇明辉家私厂,装修装饰,,,2.7,￥4805
东莞,房地产/建筑,东莞天麟房地产开发有限公司,房地产开发,0-20人,,暂无,￥3500
东莞,房地产/建筑,应城乐华厨卫有限公司,装修装饰,100-499人,www.yingcheng.net,暂无,￥5000
东莞,房地产/建筑,东莞市虎门国际购物中心有限公司,房地产开发,100-499人,,暂无,￥2300
