地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
东莞,教育/培训,星火教育公司,院校,1000-9999人,www.xinghuo100.com/,4.1,￥3450
东莞,教育/培训,广东东阳光药业研究院,学术/科研,20-99人,,3.9,￥6000
东莞,教育/培训,东莞理工学院城市学院,院校,100-499人,csxy.dgut.edu.cn,4.7,￥5393
东莞,教育/培训,深圳清华大学研究院,学术/科研,100-499人,www.tsinghua-sz.org,3.8,￥5814
东莞,教育/培训,东莞理想家教,院校,100-499人,www.dgqjj.com,5.0,￥0
东莞,教育/培训,慧众教育投资有限公司,院校,20-99人,,3.3,￥4000
东莞,教育/培训,广东科技学院,院校,500-999人,www.gdst.cc,3.6,￥5000
东莞,教育/培训,东莞市亚商企业管理咨询服务有限公司,院校,100-499人,,暂无,￥0
东莞,教育/培训,东莞市宏达职业技术学校,院校,500-999人,www.gdhdzx.com,暂无,￥2300
东莞,教育/培训,东莞市粤华学校,院校,,,暂无,￥4916
东莞,教育/培训,东莞理工学院,院校,100-499人,www.dgut.edu.cn,3.5,￥4620
东莞,教育/培训,瑞思学科英语东莞培训中心,院校,20-99人,www.risecenter.com,暂无,￥4300
东莞,教育/培训,东莞市南城尚城幼儿园,学前教育,,,暂无,￥0
东莞,教育/培训,东莞市缘舞者舞蹈培训连锁机构,其他技能培训,0-20人,www.ywz8.com,暂无,￥0
东莞,教育/培训,东莞市今典教育信息咨询有限公司,院校,0-20人,,暂无,￥0
东莞,教育/培训,东莞鼎立教育咨询有限公司,院校,100-499人,,暂无,￥0
东莞,教育/培训,东莞市优恩商务信息咨询有限公司,院校,20-99人,www.happyun.net/about-1.html,暂无,￥0
东莞,教育/培训,朗沃教育科技有限公司,院校,500-999人,www.cacin.org,暂无,￥0
东莞,教育/培训,东莞莞美学校,院校,,,暂无,￥6240
东莞,教育/培训,东莞南博职业技术学院,院校,100-499人,www.gdnanbo.com,3.0,￥4621
东莞,教育/培训,学众教育,院校,100-499人,,4.0,￥3960
东莞,教育/培训,广东创新科技职业学院,院校,100-499人,www.gdcxxy.net,3.0,￥4700
东莞,教育/培训,广东中科遥感技术有限公司,学术/科研,0-20人,,2.3,￥4000
东莞,教育/培训,东莞市慧众培训中心,其他技能培训,www.p-edu.com,,暂无,￥4518
东莞,教育/培训,东莞虎门外国语学校,院校,500-999人,,暂无,￥2900
东莞,教育/培训,东莞光明中学,院校,100-499人,,3.0,￥4690
东莞,教育/培训,龙纹教育公司,院校,20-99人,,暂无,￥2305
东莞,教育/培训,东莞市莞城华泰教育培训中心,院校,100-499人,www.huataiedu.com/index.html,2.0,￥6399
东莞,教育/培训,东莞华中科技大学制造研究院,院校,,,暂无,￥5627
东莞,教育/培训,东莞市星火教育科技有限公司佛山分公司,院校,20-99人,fs.xinghuojiaoyu.net,3.7,￥4000
东莞,教育/培训,东莞市五星职业技术学校,院校,,,暂无,￥2650
东莞,教育/培训,广州市越秀区易普培训中心,院校,100-499人,,暂无,￥2350
东莞,教育/培训,东莞市东城好明天幼儿园,学前教育,,,暂无,￥0
东莞,教育/培训,环球博雅少儿英语,外语培训,0-20人,,暂无,￥3085
东莞,教育/培训,东莞市常平莱恩学校,院校,www.st-lorraine95.com.cn,,暂无,￥2500
东莞,教育/培训,广东宏远外国语学校,院校,500-999人,www.wfls.cn/xxjs.asp,2.0,￥6950
东莞,教育/培训,松山湖南方外国语学校,院校,1000-9999人,,暂无,￥5090
东莞,教育/培训,北京师范大学东莞石竹附属学校,院校,20-99人,www.bsdsz.cn,1.7,￥5000
东莞,教育/培训,小星星幼儿园,学前教育,0-20人,,4.0,￥3546
东莞,教育/培训,水霖学校,院校,0-20人,,暂无,￥2457
东莞,教育/培训,东莞市长安新阳电脑职业培训学校,学术/科研,20-99人,www.xinyang-edu.com,暂无,￥3337
东莞,教育/培训,东莞市管氏教育科技有限公司,院校,20-99人,,暂无,￥5558
东莞,教育/培训,东莞大易文化传播有限公司,院校,0-20人,,4.0,￥3009
东莞,教育/培训,黄冈立传教育,院校,0-20人,,3.7,￥0
东莞,教育/培训,广东英卫培训中心,院校,www.inwayedu.com,,暂无,￥3200
东莞,教育/培训,御花苑外国语学校,院校,20-99人,,暂无,￥4829
东莞,教育/培训,东莞市思扬文化艺术有限公司,院校,20-99人,,暂无,￥3252
东莞,教育/培训,东莞东城上桥益民学校,院校,1000-9999人,,3.0,￥2750
东莞,教育/培训,广东省东莞市东京光学科技有限公司,院校,0-20人,,3.0,￥2849
东莞,教育/培训,东莞虎门大宁幼儿园,学前教育,20-99人,,暂无,￥16800
东莞,教育/培训,东莞市光正实验学校,院校,,,暂无,￥5546
东莞,教育/培训,东莞市多维教育,院校,20-99人,,4.0,￥5980
东莞,教育/培训,东莞市石龙龙联小学,院校,100-499人,,暂无,￥2389
东莞,教育/培训,东莞市茶山镇桃李春学校,院校,100-499人,,暂无,￥2174
东莞,教育/培训,东莞联合技工学校,其他技能培训,,,暂无,￥5123
东莞,教育/培训,东莞光明小学,院校,,,暂无,￥9132
东莞,教育/培训,道明外国语学校,院校,100-499人,,4.0,￥5228
东莞,教育/培训,东莞市万江智新小学,院校,,,暂无,￥2270
东莞,教育/培训,广东震威武道教育培训机构,院校,20-99人,,3.0,￥3432
东莞,教育/培训,光明中学,院校,,,4.0,￥5393
东莞,教育/培训,大朗洋洋学校,院校,,,暂无,￥2619
东莞,教育/培训,东莞市横沥镇汇星学校,院校,100-499人,,暂无,￥3406
东莞,教育/培训,虎门外语学校,外语培训,100-499人,,3.0,￥14137
东莞,教育/培训,东莞凤岗新世纪英才幼儿园,学前教育,100-499人,,暂无,￥2706
东莞,教育/培训,东莞市敏学教育发展有限公司,院校,20-99人,www.minxuejy.com,暂无,￥4711
东莞,教育/培训,东莞市中视影视投资有限公司常平分公司,院校,0-20人,,暂无,￥3233
东莞,教育/培训,东莞市大朗都市领航职业培训学校,院校,100-499人,,暂无,￥3799
东莞,教育/培训,东莞福能新能源有限公司,院校,500-999人,,暂无,￥3549
东莞,教育/培训,东莞东城朝天实验小学,院校,,,5.0,￥5846
东莞,教育/培训,东莞市长颈鹿文化发展有限公司,院校,1000-9999人,www.giraffe.com.cn,暂无,￥8891
东莞,教育/培训,东莞东华小学,院校,100-499人,,4.3,￥8300
东莞,教育/培训,优恩英语,外语培训,500-999人,,暂无,￥3211
东莞,教育/培训,东莞市莞城海德英语培训中心,外语培训,20-99人,www.dgtoefl.com/,暂无,￥5208
东莞,教育/培训,东莞市常平镇创业学校,院校,,,暂无,￥2341
东莞,教育/培训,樟木头百顺小学,院校,0-20人,,暂无,￥3917
东莞,教育/培训,东莞华科制造工程研究院,院校,,,3.0,￥5000
东莞,教育/培训,东莞高级技工学校,院校,,,暂无,￥8106
东莞,教育/培训,东莞市塘厦华正学校,院校,,,暂无,￥3295
东莞,教育/培训,东莞台商子弟学校,院校,www.td-school.org.cn,,暂无,￥4068
东莞,教育/培训,东莞市易学堂幼儿园,学前教育,20-99人,,暂无,￥5590
东莞,教育/培训,广东光正教育集团有限公司,学前教育,100-499人,,3.0,￥4607
东莞,教育/培训,金色未来幼儿园,学前教育,20-99人,,暂无,￥8802
东莞,教育/培训,东华初级中学,院校,20-99人,www.dhcz.com,4.0,￥6320
东莞,教育/培训,东莞市水霖学校,院校,20-99人,,暂无,￥11495
东莞,教育/培训,东莞市塘厦中学,院校,100-499人,www.txms.cn,暂无,￥4439
东莞,教育/培训,东莞寮步明珠小学,院校,500-999人,,2.0,￥2610
东莞,教育/培训,东莞科技学院,院校,1000-9999人,,暂无,￥7975
东莞,教育/培训,东莞市乐贝尔幼儿园,学前教育,,,暂无,￥0
东莞,教育/培训,北京兰格威致教育集团,院校,0-20人,www.0757peixun.com/jigou/index.asp?jg_username=zhongguokoucai,暂无,￥5000
东莞,教育/培训,广东教育国际交流服务中心东莞分中心,外语培训,100-499人,www.dggesie.org,暂无,￥14278
东莞,教育/培训,东莞高级中学,院校,100-499人,,暂无,￥7865
东莞,教育/培训,红星学校,院校,20-99人,,暂无,￥1806
东莞,教育/培训,东莞实验中学,院校,1000-9999人,www.dgsyzx.com,暂无,￥4812
东莞,教育/培训,东莞市东坑丽晶小学,院校,,,暂无,￥3062
东莞,教育/培训,广仁驾校,院校,100-499人,,3.0,￥2239
东莞,教育/培训,东莞智升学校,院校,1000-9999人,,暂无,￥3335
东莞,教育/培训,东莞茶山爱弥儿幼儿园,学前教育,100-499人,,暂无,￥3335
东莞,教育/培训,康桥集团,院校,100-499人,,2.0,￥1650
东莞,教育/培训,东莞学校,院校,100-499人,,暂无,￥7975
东莞,教育/培训,新征途电子商务培训中心,院校,100-499人,,暂无,￥3275
