地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
东莞,机械/制造,玖龙纸业,印刷/包装/造纸,1000-9999人,www.ndpaper.com,2.9,￥4785
东莞,机械/制造,坚朗五金,原材料及加工/模具,10000人以上,www.kinlong.com,3.3,￥3500
东莞,机械/制造,三星电机,仪器/仪表/工业自动化,1000-9999人,www.semdg.com,4.1,￥5000
东莞,机械/制造,技研新阳有限公司,原材料及加工/模具,500-999人,www.shintechcn.com,3.7,￥3160
东莞,机械/制造,Delta,航空/航天,10000人以上,zh.delta.com,3.8,￥5800
东莞,机械/制造,莫仕连接器,仪器/仪表/工业自动化,500-999人,,4.3,￥4205
东莞,机械/制造,信义玻璃,机械制造/机电/重工,1000-9999人,www.xinyiglass.com,2.9,￥3971
东莞,机械/制造,虎彩集团,印刷/包装/造纸,1000-9999人,www.hucais.com,3.6,￥4582
东莞,机械/制造,东莞劲胜精密组件股份有限公司,原材料及加工/模具,100-499人,,2.6,￥4498
东莞,机械/制造,理文造纸,印刷/包装/造纸,500-999人,www.leemanpaper.com,3.8,￥5280
东莞,机械/制造,东莞捷荣模具有限公司,仪器/仪表/工业自动化,100-499人,,3.6,￥3555
东莞,机械/制造,东莞三星电机,仪器/仪表/工业自动化,1000-9999人,,3.6,￥6400
东莞,机械/制造,楚天龙智能卡,印刷/包装/造纸,100-499人,www.ctdcn.com,3.3,￥3562
东莞,机械/制造,优利德科技（中国）有限公司,仪器/仪表/工业自动化,500-999人,www.uni-trend.com.cn,4.3,￥4518
东莞,机械/制造,东莞南玻工程,原材料及加工/模具,1000-9999人,,4.0,￥4108
东莞,机械/制造,钱大五金制品厂,机械制造/机电/重工,1000-9999人,,2.6,￥4500
东莞,机械/制造,马士基集装箱工业,原材料及加工/模具,1000-9999人,,4.3,￥4350
东莞,机械/制造,广东正业科技股份有限公司,仪器/仪表/工业自动化,500-999人,www.zhengyee.com,3.1,￥5101
东莞,机械/制造,京木木制品(东莞)有限公司,原材料及加工/模具,100-499人,,4.0,￥6000
东莞,机械/制造,东莞市众瑞机械有限公司,机械制造/机电/重工,100-499人,www.dgzhongrui.com,4.5,￥2755
东莞,机械/制造,隽思集团,印刷/包装/造纸,100-499人,www.qpp.com,4.0,￥3625
东莞,机械/制造,米亚科技,仪器/仪表/工业自动化,10000人以上,www.luenfungwatch.com.hk/cn/main.php,3.5,￥4200
东莞,机械/制造,东莞宏威,仪器/仪表/工业自动化,100-499人,www.anwell.com,4.5,￥5626
东莞,机械/制造,中兴昆腾,原材料及加工/模具,1000-9999人,,5.0,￥8743
东莞,机械/制造,创科集团,原材料及加工/模具,500-999人,www.ttigroup.com,3.9,￥5625
东莞,机械/制造,精成科技集团,原材料及加工/模具,1000-9999人,,3.0,￥3480
东莞,机械/制造,环球石材（东莞）有限公司,原材料及加工/模具,500-999人,,3.7,￥3712
东莞,机械/制造,东莞松山湖新能源,电子/半导体/集成电路,1000-9999人,,3.3,￥3360
东莞,机械/制造,东莞虎彩印刷有限公司,印刷/包装/造纸,100-499人,www.hucais.com,2.0,￥4279
东莞,机械/制造,东莞长安华南电子厂,电子/半导体/集成电路,,,4.3,￥3533
东莞,机械/制造,东莞市仁尔自动化科技有限公司,仪器/仪表/工业自动化,0-20人,www.dgrener.com,5.0,￥15025
东莞,机械/制造,东莞米亚精密金属科技有限公司,原材料及加工/模具,1000-9999人,,3.4,￥3675
东莞,机械/制造,东莞胜美达（太平）电机有限公司,仪器/仪表/工业自动化,100-499人,www.sumida.com,暂无,￥3372
东莞,机械/制造,东莞市奥普特自动化科技有限公司,仪器/仪表/工业自动化,100-499人,www.optmv.com,3.6,￥4750
东莞,机械/制造,TTI创科集团,仪器/仪表/工业自动化,20-99人,www.ttigroup.com,5.0,￥3960
东莞,机械/制造,东莞市金田纸业有限公司,印刷/包装/造纸,100-499人,www.jintianpaper.com,2.3,￥4350
东莞,机械/制造,明安运动器材有限公司,原材料及加工/模具,1000-9999人,,2.0,￥3085
东莞,机械/制造,广东省东莞市大岭山镇兴雄鞋厂,原材料及加工/模具,1000-9999人,,1.0,￥3335
东莞,机械/制造,东莞航天电子有限公司,电子/半导体/集成电路,500-999人,,3.9,￥3600
东莞,机械/制造,广东国邦清洁设备有限公司,机械制造/机电/重工,0-20人,www.icecompanies.com,暂无,￥7836
东莞,机械/制造,东莞TTI,仪器/仪表/工业自动化,20-99人,,4.5,￥4964
东莞,机械/制造,东莞市银通机械科技有限公司,机械制造/机电/重工,20-99人,www.dgyintong.cn,暂无,￥0
东莞,机械/制造,东莞宇宙电路板设备有限公司,电子/半导体/集成电路,100-499人,,3.1,￥4356
东莞,机械/制造,东莞大泰光电科技有限公司,原材料及加工/模具,1000-9999人,,2.0,￥2884
东莞,机械/制造,全天自动化能源科技(东莞)有限公司,仪器/仪表/工业自动化,100-499人,www.apmtech.cn,2.6,￥6804
东莞,机械/制造,东莞沃德精密机械有限公司,原材料及加工/模具,100-499人,,4.0,￥4000
东莞,机械/制造,东莞市虎门鹏泰工艺品,原材料及加工/模具,100-499人,www.pt-gift.cn,5.0,￥4795
东莞,机械/制造,汇川,仪器/仪表/工业自动化,,,5.0,￥6700
东莞,机械/制造,东莞市快意电梯有限公司,仪器/仪表/工业自动化,20-99人,www.ifelift.com,2.8,￥3500
东莞,机械/制造,东莞晖速天线技术有限公司,原材料及加工/模具,100-499人,,暂无,￥3950
东莞,机械/制造,东莞华强三洋马达有限公司,仪器/仪表/工业自动化,,,暂无,￥4350
东莞,机械/制造,东莞鸿图精密压铸,仪器/仪表/工业自动化,100-499人,,4.0,￥4740
东莞,机械/制造,东莞宜安科技股份有限公司,原材料及加工/模具,1000-9999人,www.e-ande.com,4.0,￥3890
东莞,机械/制造,东莞市晟起精密模具配件有限公司,原材料及加工/模具,www.dgshengqi.com,,暂无,￥4874
东莞,机械/制造,东莞市虎门威镇五金厂,原材料及加工/模具,500-999人,www.modelcar9.com,暂无,￥0
东莞,机械/制造,东莞立信杰精密模具有限公司,仪器/仪表/工业自动化,20-99人,,3.0,￥3765
东莞,机械/制造,东莞进力机械科技有限公司,机械制造/机电/重工,100-499人,www.dgjinli.com,暂无,￥10547
东莞,机械/制造,东莞中泰模具有限公司,原材料及加工/模具,500-999人,,3.3,￥4750
