地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
东莞,汽车,东莞信浓马达有限公司,汽车生产,1000-9999人,www.shinanomotor.com,3.2,￥3000
东莞,汽车,东莞市霍斯克企业管理策划有限公司,汽车生产,500-999人,www.fskhr.com,暂无,￥10625
东莞,汽车,东莞友华汽配有限公司,汽车生产,,,4.5,￥3660
东莞,汽车,东莞市三方企业管理咨询有限公司,汽车生产,,,暂无,￥6400
东莞,汽车,东莞正扬电子机械,电子/半导体/集成电路,1000-9999人,www.wemachina.com,2.9,￥3614
东莞,汽车,东莞市东之捷汽车销售服务有限公司,汽车生产,100-499人,,暂无,￥2500
东莞,汽车,东莞恩斯克转向器有限公司,汽车生产,100-499人,www.nsk.com,3.5,￥8000
东莞,汽车,永强汽车制造,汽车生产,100-499人,www.yqqc.com,4.0,￥4548
东莞,汽车,东莞市龙都模具塑胶制品有限公司,汽车生产,20-99人,,暂无,￥3750
东莞,汽车,东莞市威捷斯自动化机械科技有限公司,汽车生产,20-99人,,暂无,￥2350
东莞,汽车,东莞泛亚金属制造有限公司,汽车生产,www.hkppm.com,,暂无,￥11000
东莞,汽车,美尔顿车业东莞有限公司,汽车生产,100-499人,,3.5,￥3062
东莞,汽车,东莞富特普电子有限公司,汽车生产,20-99人,,3.8,￥4517
东莞,汽车,汽修,汽车生产,,,3.0,￥3095
东莞,汽车,东莞捷运行汽车销售服务有限公司,汽车销售,100-499人,www.porsche-dongguan.com/zh/about-company,暂无,￥9250
东莞,汽车,东莞裕森精密模具制品有限公司,汽车生产,500-999人,,暂无,￥4425
东莞,汽车,东莞市深铃电动车科技有限公司,汽车生产,,,暂无,￥0
东莞,汽车,东莞井上建上汽车部件有限公司,汽车生产,100-499人,,4.5,￥0
东莞,汽车,东莞市宏毅碳纤维制品科技有限公司,汽车生产,500-999人,www.flinkcarbon.com,暂无,￥0
东莞,汽车,东莞市骏龙汽车有限公司,汽车生产,20-99人,www.103.pw,5.0,￥0
东莞,汽车,格尔翰汽车配件(东莞)有限公司,汽车生产,,,4.0,￥6340
东莞,汽车,东莞广泽汽车饰件有限公司,汽车生产,1000-9999人,,2.5,￥3998
东莞,汽车,东莞东风南方东合汽车销售服务有限公司,汽车生产,,,暂无,￥3375
东莞,汽车,东风南方汽车销售服务,汽车销售,500-999人,www.sz-nissan.com,2.0,￥5184
东莞,汽车,汽车服务有限公司,汽车生产,500-999人,,5.0,￥3287
东莞,汽车,东莞奈那卡斯精密汽车配件有限公司,汽车生产,100-499人,www.dynacast.com,2.5,￥3850
东莞,汽车,东莞御马脚垫有限公司,汽车生产,100-499人,,5.0,￥0
东莞,汽车,东莞寮步中汽南方汽车销售服务有限公司,汽车销售,100-499人,,暂无,￥3224
东莞,汽车,东莞华熙汽车,汽车生产,100-499人,,3.0,￥5171
东莞,汽车,广泽汽车饰件,汽车生产,20-99人,,暂无,￥3770
东莞,汽车,香港保捷汽车工业集团,汽车生产,100-499人,,2.0,￥3860
东莞,汽车,东莞市车路顺汽车服务有限公司,汽车生产,,,暂无,￥0
东莞,汽车,格尔翰汽车配件,汽车生产,20-99人,,暂无,￥10571
东莞,汽车,东莞市同鸿汽车贸易有限公司,汽车生产,500-999人,,暂无,￥2199
东莞,汽车,小仓离合机有限公司,汽车生产,100-499人,,1.8,￥2500
东莞,汽车,东莞永佳丰田,汽车生产,1000-9999人,www.dgtoyota.com,4.0,￥4785
东莞,汽车,江苏日盈电子股份有限公司,汽车生产,500-999人,,3.0,￥4000
东莞,汽车,东莞东风南方汽车销售服务有限公司塘厦分公司,汽车销售,1000-9999人,,3.3,￥4433
东莞,汽车,东莞志诚车行,汽车生产,100-499人,,4.0,￥4000
东莞,汽车,东莞市樟木头镇公共汽车有限公司,汽车生产,,,暂无,￥4037
东莞,汽车,东莞易步机器人有限公司,汽车生产,500-999人,www.robstep.com,暂无,￥6300
东莞,汽车,东莞市永强汽车销售服务有限公司,汽车销售,100-499人,www.yqjd0769.com,暂无,￥12103
东莞,汽车,广东景荣模具有限公司,汽车生产,500-999人,,5.0,￥3533
东莞,汽车,深圳市台铃电动车有限公司,汽车生产,10000人以上,,暂无,￥3290
东莞,汽车,戈兰玛汽车系统有限公司,汽车生产,100-499人,,暂无,￥6525
东莞,汽车,东莞市华熙汽车销售有限公司,汽车销售,20-99人,www.huaxivw.com,暂无,￥4000
东莞,汽车,东莞中升之星汽车销售服务有限公司,汽车销售,100-499人,www.bjpolystar.mercedes-benz.com.cn,暂无,￥8580
东莞,汽车,东莞清溪联合橡胶制品有限公司,汽车生产,100-499人,,暂无,￥2247
东莞,汽车,三樱（东莞）汽车部件有限公司,汽车生产,,,3.0,￥6342
东莞,汽车,东莞祥鑫汽车制品有限公司,汽车生产,500-999人,,4.0,￥2522
东莞,汽车,东莞市赛歌汽车零配件有限公司,汽车生产,,,3.0,￥4225
东莞,汽车,伍幸化成汽车配件有限公司,汽车生产,100-499人,,暂无,￥2834
东莞,汽车,东莞市至尚车影汽车科技有限公司,汽车生产,100-499人,,暂无,￥3041
东莞,汽车,俊伟塑胶五金厂,汽车生产,100-499人,,暂无,￥2900
东莞,汽车,东莞百乐仕汽车精密配件有限公司,汽车生产,,,4.0,￥3299
东莞,汽车,东莞茂森金属冲压有限公司,汽车生产,100-499人,,暂无,￥8576
东莞,汽车,东莞市大朗金盛泰齿轮厂,汽车生产,www.dgjst.com,,暂无,￥2095
东莞,汽车,东莞市广发汽车贸易有限公司,汽车生产,100-499人,,暂无,￥8053
东莞,汽车,东莞市富滤盛滤清器有限公司,汽车生产,,,暂无,￥2549
东莞,汽车,东莞市和旺电器有限公司,汽车生产,100-499人,,3.5,￥4412
东莞,汽车,聚成汽车技术服务,汽车生产,20-99人,,暂无,￥5737
东莞,汽车,东莞桥头永泰压铸厂,汽车生产,100-499人,,暂无,￥5560
东莞,汽车,东莞汇成汽车美容连锁有限公司,汽车维修/美容,100-499人,,暂无,￥3338
东莞,汽车,东莞市汇天源汽车销售有限公司,汽车销售,,,暂无,￥3436
东莞,汽车,华胜奔驰专修连锁,汽车生产,20-99人,,暂无,￥5091
东莞,汽车,东莞安通林华翔汽车零部件有限公司,汽车零部件,100-499人,www.nbahx.com.cn,暂无,￥4475
东莞,汽车,中泰模具,汽车生产,500-999人,,暂无,￥4862
东莞,汽车,东莞世技电子有限公司,汽车生产,100-499人,,暂无,￥5819
东莞,汽车,东莞仁孚,汽车生产,100-499人,,暂无,￥6162
