地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
东莞,生活服务,东莞青旅,酒店,500-999人,,4.0,￥3432
东莞,生活服务,铂尔曼酒店,酒店,,,3.0,￥2500
东莞,生活服务,毛家饭店,餐饮,100-499人,www.maojiahotel.com,5.0,￥2652
东莞,生活服务,踏板石餐饮（棒子桂林米粉),餐饮,100-499人,www.dgbangzi.com,5.0,￥4666
东莞,生活服务,东莞景鸿有限公司,酒店,100-499人,,4.7,￥4100
东莞,生活服务,东莞市樟木头保洁恒清洁服务部,家政服务,20-99人,www.bjh888.com,5.0,￥0
东莞,生活服务,东莞市莞汇投资咨询有限公司,中介服务,20-99人,,暂无,￥0
东莞,生活服务,东莞市域顺投资管理有限公司,酒店,100-499人,www.cysddm.com,暂无,￥6325
东莞,生活服务,东莞市汇都酒店有限公司,娱乐/休闲/体育,0-20人,www.gc-hotel.com,暂无,￥1150
东莞,生活服务,东莞广德运动用品有限公司,娱乐/休闲/体育,100-499人,,3.7,￥3725
东莞,生活服务,东莞市万众财富酒店管理有限公司,酒店,,,暂无,￥2608
东莞,生活服务,蒙自源,餐饮,1000-9999人,,暂无,￥2625
东莞,生活服务,东莞联欣运动器材有限公司,娱乐/休闲/体育,20-99人,,3.5,￥2656
东莞,生活服务,东莞皇朝国际酒店,餐饮,20-99人,www.dgkuaishuangsn.com,5.0,￥3118
东莞,生活服务,东莞市广聚情缘婚姻介绍服务有限公司,中介服务,100-499人,www.love169.com,暂无,￥4500
东莞,生活服务,帝豪花园酒店,酒店,,,暂无,￥2772
东莞,生活服务,虎门豪门大饭店,餐饮,,,5.0,￥3000
东莞,生活服务,东莞市大岭山众人职业介绍服务部,中介服务,20-99人,www.zrjob.net,暂无,￥0
东莞,生活服务,广东智通人才连锁股份有限公司,中介服务,500-999人,www.job5156.com,4.2,￥4500
东莞,生活服务,东莞市鼎博劳务派遣有限公司,中介服务,100-499人,,暂无,￥4411
东莞,生活服务,五月花大酒店,酒店,20-99人,,暂无,￥3625
东莞,生活服务,东莞众佳膳食管理有限公司,餐饮,100-499人,hppt://www.zhongjia0769.com,4.5,￥10096
东莞,生活服务,东莞裕丰膳食管理服务有限公司,餐饮,100-499人,www.yufeng2014.com,暂无,￥0
东莞,生活服务,东莞踏板石餐椅管理有限公司（棒子桂林米粉连锁）,餐饮,100-499人,www.dgbangzi.com,暂无,￥6000
东莞,生活服务,Queen Nails Spa皇后美甲馆,丽人/美容/美发,20-99人,www.thmg.cn,暂无,￥0
东莞,生活服务,东莞市共好膳食管理有限公司,餐饮,100-499人,www.gonho.com.cn,暂无,￥2125
东莞,生活服务,东莞木之美实业有限公司,丽人/美容/美发,20-99人,www.mumeistory.com,5.0,￥0
东莞,生活服务,东莞市虎门斯波阿斯体育机械用品厂,娱乐/休闲/体育,100-499人,www.whqss.com,暂无,￥4400
东莞,生活服务,东莞康帝国际酒店,酒店,500-999人,www.kandehotel.com,暂无,￥0
东莞,生活服务,诗薇梵化妆品有限公司,丽人/美容/美发,100-499人,,5.0,￥6500
东莞,生活服务,广州南方人才市场,中介服务,100-499人,,3.0,￥2448
东莞,生活服务,东莞常平广之旅营业部,酒店,0-20人,www.dggzl.net,暂无,￥3696
东莞,生活服务,塘厦三正半山酒店,酒店,,,3.0,￥3000
东莞,生活服务,东莞青年国际旅行社,旅游,100-499人,,3.5,￥6162
东莞,生活服务,天阔劳务派遣有限公司,中介服务,20-99人,,5.0,￥6776
东莞,生活服务,东莞蒙自源餐饮有限公司,餐饮,100-499人,,3.0,￥2305
东莞,生活服务,嘉华大酒店,酒店,,,暂无,￥2590
东莞,生活服务,东莞嘉华酒店,餐饮,500-999人,,3.7,￥2897
东莞,生活服务,东莞天母蓝鸟餐饮管理有限公司,餐饮,500-999人,,暂无,￥2475
东莞,生活服务,钜丰运动器材有限公司,娱乐/休闲/体育,1000-9999人,,5.0,￥4086
东莞,生活服务,印象宝贝专业儿童摄影机构,婚庆/摄影,500-999人,,暂无,￥4250
东莞,生活服务,东莞市金利怡卫浴有限公司,家政服务,100-499人,www.jinliyi.com,暂无,￥5774
东莞,生活服务,东莞东海海都饮食有限公司,餐饮,,,暂无,￥2199
东莞,生活服务,九号公馆,娱乐/休闲/体育,,,5.0,￥2697
东莞,生活服务,东莞旗峰山铂尔曼酒店,酒店,500-999人,,3.0,￥2530
东莞,生活服务,东莞韬略运动器材厂,娱乐/休闲/体育,,,4.3,￥3904
东莞,生活服务,东莞立顿洗涤用品实业有限公司,丽人/美容/美发,,,3.3,￥4689
东莞,生活服务,东莞富国劳务派遣有限公司,中介服务,100-499人,www.fuguo888.com,4.0,￥0
东莞,生活服务,东莞明安国际运动器材有限公司,娱乐/休闲/体育,,,暂无,￥3311
东莞,生活服务,香顺农家餐饮管理公司,餐饮,500-999人,,暂无,￥3262
东莞,生活服务,东莞市忠实清洁服务有限公司,中介服务,100-499人,www.4000381388.com,5.0,￥0
东莞,生活服务,东莞和诚运动休闲用品有限公司,娱乐/休闲/体育,100-499人,,暂无,￥3106
东莞,生活服务,东莞市全盛膳食管理服务有限公司,餐饮,,,5.0,￥0
东莞,生活服务,东莞市好伯乐世家企业管理顾问有限公司,中介服务,20-99人,www.haobl.cn/,暂无,￥15750
东莞,生活服务,东莞源泰运动器材有限公司,娱乐/休闲/体育,,,3.0,￥4779
东莞,生活服务,千色店,丽人/美容/美发,1000-9999人,,暂无,￥5000
东莞,生活服务,东莞中信常平高尔夫,娱乐/休闲/体育,,,暂无,￥3400
东莞,生活服务,富国运动器材,娱乐/休闲/体育,100-499人,,1.0,￥4517
东莞,生活服务,东莞市中心人才市场,中介服务,100-499人,WWW.jobdg.com,暂无,￥0
东莞,生活服务,OPPO 广西总代理,中介服务,100-499人,www.oppo.com,4.0,￥3300
东莞,生活服务,东莞市虎门镇广源酒店,酒店,100-499人,,5.0,￥0
东莞,生活服务,威保运动器材有限公司,娱乐/休闲/体育,,,暂无,￥2376
东莞,生活服务,东莞番茄商务酒店,酒店,20-99人,,暂无,￥7975
东莞,生活服务,东莞豪门大饭店,餐饮,www.gnhotel.com,,2.0,￥2802
东莞,生活服务,欧亚国际酒店,酒店,,,暂无,￥3407
东莞,生活服务,东莞康贝童车有限公司,娱乐/休闲/体育,100-499人,,2.0,￥4884
东莞,生活服务,东莞嘉华大酒店,酒店,1000-9999人,,4.5,￥2904
东莞,生活服务,东莞市思味膳食管理有限公司,餐饮,500-999人,,暂无,￥2450
东莞,生活服务,格上租赁有限公司东莞分公司,汽车租赁,100-499人,,暂无,￥4743
东莞,生活服务,广东省东莞市塘厦镇三正半酒店有限公司,酒店,1000-9999人,,4.0,￥7920
东莞,生活服务,东莞海悦酒店,酒店,0-20人,,5.0,￥2774
东莞,生活服务,鹤留山餐饮企业,餐饮,,,暂无,￥2918
东莞,生活服务,香港yamatoo控股有限公司,丽人/美容/美发,100-499人,,1.0,￥10663
东莞,生活服务,东莞东坑达亿瓦体育用品厂,娱乐/休闲/体育,,,暂无,￥13844
东莞,生活服务,东莞市宏远酒店,酒店,100-499人,www.winnerway-hotel.com,暂无,￥5886
东莞,生活服务,广东乐方实业投资有限公司,餐饮,500-999人,,暂无,￥2775
东莞,生活服务,东莞市尚佳膳食管理服务有限公司,餐饮,www.dgmwl.com,,暂无,￥2186
东莞,生活服务,金吉列出国留学咨询服务有限公司东莞分公司,中介服务,1000-9999人,,3.0,￥3100
东莞,生活服务,佳裕饮食服务,餐饮,100-499人,www.gdjiayu.cn,暂无,￥0
东莞,生活服务,东莞市威林摄影有限公司,婚庆/摄影,20-99人,,暂无,￥2655
东莞,生活服务,东莞市合东劳务派遣有限公司,中介服务,20-99人,www.dghedong.com,3.0,￥3109
东莞,生活服务,东城国际酒店,酒店,,,3.0,￥2403
东莞,生活服务,东莞索菲特酒店,酒店,,,4.0,￥4577
东莞,生活服务,君逸酒店,酒店,20-99人,www.junyihtl.com,暂无,￥3762
东莞,生活服务,东莞市长安星河清洗剂厂,家政服务,20-99人,,暂无,￥0
东莞,生活服务,东莞市东田厨具设备有限公司,家政服务,www.dongtiankitchen.cn,,暂无,￥0
东莞,生活服务,信天游餐饮,餐饮,1000-9999人,,暂无,￥4176
东莞,生活服务,深圳市合纵联盟投资发展有限公司,餐饮,0-20人,,暂无,￥3006
东莞,生活服务,东莞市爱若林饮食文化传播有限公司,餐饮,100-499人,,暂无,￥3399
东莞,生活服务,华艺电子厂,餐饮,0-20人,,暂无,￥3190
东莞,生活服务,东方锦河大饭店,餐饮,,,4.0,￥3720
东莞,生活服务,东莞市汇际出入境服务有限公司,中介服务,100-499人,,暂无,￥2716
