地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
东莞,能源/化工/环保,东莞新能源科技有限公司,电子/半导体/集成电路,10000人以上,www.atlbattery.com,3.7,￥4187
东莞,能源/化工/环保,新科磁电厂,电力/水利,100-499人,,3.0,￥5018
东莞,能源/化工/环保,东莞南玻太阳能玻璃有限公司,石油/石化/化工,500-999人,www.csgglass.com,1.0,￥4554
东莞,能源/化工/环保,东莞市金兆龙智能科技有限公司,新能源(太阳能/风能),20-99人,"www.jinzhaolong,cn",5.0,￥0
东莞,能源/化工/环保,AcBel 康舒科技,电力/水利,500-999人,www.acbel.com,3.3,￥4000
东莞,能源/化工/环保,东莞太阳诱电有限公司,石油/石化/化工,100-499人,www.yuden.co.jp/cs/,3.0,￥4127
东莞,能源/化工/环保,广东宏远集团,石油/石化/化工,1000-9999人,www.winnerway.com,暂无,￥5214
东莞,能源/化工/环保,东莞市鸿德电池有限公司,石油/石化/化工,,,3.7,￥3985
东莞,能源/化工/环保,东莞市三化实业有限公司,石油/石化/化工,100-499人,www.37hg.com,暂无,￥0
东莞,能源/化工/环保,东莞市百安石化仓储有限公司,石油/石化/化工,20-99人,www.topsafe.cn,1.0,￥4029
东莞,能源/化工/环保,叶子环保,环保,0-20人,www.gdyezi.com,4.0,￥4500
东莞,能源/化工/环保,东长集团,石油/石化/化工,100-499人,,1.7,￥8165
东莞,能源/化工/环保,迈科科技,矿产/地质/采掘/冶炼,100-499人,www.mcnair-tech.com,3.7,￥4060
东莞,能源/化工/环保,东莞市智高化学原料有限公司,石油/石化/化工,0-20人,,暂无,￥3337
东莞,能源/化工/环保,东莞市绿巨人环境科技有限公司,环保,100-499人,www.ljret.com,4.0,￥3311
东莞,能源/化工/环保,东莞市大洋化工有限公司,石油/石化/化工,20-99人,www.dyqwj.com,暂无,￥0
东莞,能源/化工/环保,东莞市浩凯环保科技有限公司,环保,100-499人,www.airtree.com.cn/,暂无,￥2500
东莞,能源/化工/环保,东莞市万福莱通风设备有限公司,环保,100-499人,www.wanfulai.com,5.0,￥5280
东莞,能源/化工/环保,广东众工电气工程有限公司,电力/水利,100-499人,,3.0,￥4837
东莞,能源/化工/环保,东莞豪丰环保有限公司,环保,1000-9999人,,暂无,￥6525
东莞,能源/化工/环保,东莞市龙昌达光电有限公司,电力/水利,,,暂无,￥5120
东莞,能源/化工/环保,东莞市霖辉金属表面处理材料有限公司,环保,www.cnlinway.com,,暂无,￥5325
东莞,能源/化工/环保,东莞拓比照明有限公司,环保,,,暂无,￥3000
东莞,能源/化工/环保,东莞长安联基电业制品厂,电力/水利,,,2.0,￥5250
