地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
厦门,IT/互联网,4399游戏,互联网,1000-9999人,www.4399.com,3.7,￥6380
厦门,IT/互联网,厦门三五互联科技股份,计算机软件,1000-9999人,www.35.com,4.0,￥4000
厦门,IT/互联网,安费诺,电子/半导体/集成电路,1000-9999人,www.amphenol.com.cn,3.3,￥5393
厦门,IT/互联网,美图网,计算机软件,100-499人,www.meitu.com,4.1,￥7260
厦门,IT/互联网,厦门吉联科技有限公司,计算机软件,100-499人,www.gillion.com.cn,3.3,￥4620
厦门,IT/互联网,厦门中资源网络服务有限公司,运营商/增值服务,20-99人,www.zzy.cn,3.6,￥4477
厦门,IT/互联网,厦门市吉比特网络信息技术有限公司,网游/手游,100-499人,www.g-bits.com,3.8,￥6800
厦门,IT/互联网,朗新科技（中国）有限公司,计算机软件,1000-9999人,www.longshine.com,3.5,￥5390
厦门,IT/互联网,中软海晟,计算机软件,100-499人,www.hsit.com.cn,3.6,￥5000
厦门,IT/互联网,厦门市美亚柏科信息股份有限公司,IT服务/系统集成,500-999人,www.300188.cn,4.1,￥6732
厦门,IT/互联网,厦门亿力吉奥,IT服务/系统集成,100-499人,www.epgis.com,3.2,￥6300
厦门,IT/互联网,厦门海实科技有限公司,计算机软件,20-99人,www.hyrus.com.cn,3.5,￥4000
厦门,IT/互联网,厦门网宿科技,互联网,www.chinanetcenter.com,,3.9,￥6000
厦门,IT/互联网,厦门正航软件,计算机软件,0-20人,www.chixm.com.cn,3.7,￥4696
厦门,IT/互联网,厦门锐特信息技术有限公司,计算机软件,100-499人,www.sinoservices.com/,3.2,￥4350
厦门,IT/互联网,厦门智业软件有限公司,计算机软件,20-99人,www.zysoft.com.cn,3.1,￥4000
厦门,IT/互联网,冠捷显示科技（厦门）有限公司,计算机软件,10000人以上,www.tpvaoc.com,3.5,￥4100
厦门,IT/互联网,厦门纵横集团科技有限公司,计算机软件,20-99人,www.ptnetwork.com.cn,3.0,￥3696
厦门,IT/互联网,极致游戏,网游/手游,20-99人,,3.0,￥5000
厦门,IT/互联网,同步推,互联网,100-499人,www.tongbu.com,4.0,￥4750
厦门,IT/互联网,厦门网游网络科技开发有限公司,互联网,20-99人,www.onlineyou.com.cn,1.8,￥5940
厦门,IT/互联网,亚尔迪,计算机软件,100-499人,www.kooboo.com,4.5,￥5075
厦门,IT/互联网,伟景科技,互联网,0-20人,www.weoking.com,暂无,￥4500
厦门,IT/互联网,厦门舜亚科技有限公司,计算机软件,100-499人,www.suryani.cn,3.0,￥4350
厦门,IT/互联网,云朵,互联网,100-499人,www.yunduo.co,暂无,￥5225
厦门,IT/互联网,又一城,计算机软件,100-499人,www.u1city.net,3.2,￥5216
厦门,IT/互联网,厦门精图信息,计算机软件,100-499人,www.kingtopinfo.com,3.3,￥5600
厦门,IT/互联网,厦门市巨龙软件工程有限公司,计算机软件,100-499人,www.dragonsoft.com.cn,3.7,￥7700
厦门,IT/互联网,厦门微商在线网络科技有限公司,计算机软件,20-99人,www.weishangzaixian.com,3.0,￥5212
厦门,IT/互联网,厦门御风行科技数码有限公司,网游/手游,100-499人,www.onwind.cn,1.0,￥7250
厦门,IT/互联网,厦门海迈科技股份有限公司,计算机软件,100-499人,www.hymake.com,5.0,￥4028
厦门,IT/互联网,名鞋库,互联网,100-499人,www.s.cn,4.1,￥2974
厦门,IT/互联网,巨龙软件,计算机软件,100-499人,www.dragonsoft.com.cn,3.3,￥5393
厦门,IT/互联网,厦门精深联合科技有限公司,网游/手游,20-99人,www.yy8844.cn,2.0,￥4000
厦门,IT/互联网,鑫唐盛世,电子商务,20-99人,www.xtss.com.cn,暂无,￥6300
厦门,IT/互联网,厦门敏讯信息技术有限公司,IT服务/系统集成,20-99人,www.stelcom.com.cn,3.0,￥5365
厦门,IT/互联网,厦门小鱼网,互联网,500-999人,www.xmfish.com,3.5,￥4916
厦门,IT/互联网,厦门极致游戏公司,网游/手游,,,3.0,￥5416
厦门,IT/互联网,厦门浩广网络科技有限公司,IT服务/系统集成,100-499人,www.diyi1688.com,1.0,￥3675
厦门,IT/互联网,纳网科技,互联网,20-99人,www.nawang.cn,3.0,￥5250
厦门,IT/互联网,搜家居,互联网,20-99人,www.sojiaju.com,4.0,￥2250
厦门,IT/互联网,厦门梦加,网游/手游,20-99人,www.mechanist.co/cn/,2.8,￥4582
厦门,IT/互联网,优保网,互联网,20-99人,www.ubao.com,暂无,￥6320
厦门,IT/互联网,厦门赞扬丰硕软件技术有限公司,计算机软件,100-499人,,4.0,￥7260
厦门,IT/互联网,美柚,互联网,100-499人,www.xixiaoyou.com,3.7,￥8000
厦门,IT/互联网,厦门市聚娱堂网络科技有限公司,互联网,20-99人,,暂无,￥4450
厦门,IT/互联网,两只老虎,电子商务,,,暂无,￥8300
厦门,IT/互联网,厦门闪通网络技术有限公司,移动互联网,0-20人,www.heysky.cn,5.0,￥0
厦门,IT/互联网,好望角,互联网,20-99人,www.haowangjiao.com,5.0,￥3677
厦门,IT/互联网,厦门乾成网络科技有限公司,互联网,20-99人,,5.0,￥3175
厦门,IT/互联网,厦门乐顽,网游/手游,20-99人,www.letwon.com/,5.0,￥6400
厦门,IT/互联网,厦门智顶网络营销策划有限公司,互联网,20-99人,www.ideazd.com,3.5,￥6000
厦门,IT/互联网,厦门中软百科信息技术有限公司,计算机软件,100-499人,www.cnsoft100.com,4.5,￥3386
厦门,IT/互联网,厦门托付科技有限公司,互联网,20-99人,www.paytos.com,3.5,￥6475
厦门,IT/互联网,厦门捷通达网络技术有限公司,互联网,20-99人,www.jietongda.com,4.0,￥2640
厦门,IT/互联网,飞博共创,互联网,100-499人,www.feibo.cn,3.8,￥5250
厦门,IT/互联网,厦门瑞璞软件科技有限公司,互联网,20-99人,www.baixiaobang.com,暂无,￥6450
厦门,IT/互联网,厦门海豹信息技术有限公司,互联网,20-99人,ushengsheng.com,3.3,￥3500
厦门,IT/互联网,厦门杰赢网络科技有限公司,互联网,20-99人,www.jeawin.com,暂无,￥4500
厦门,IT/互联网,厦门市微果网络技术有限公司,互联网,20-99人,,3.5,￥2500
厦门,IT/互联网,厦门青瓷数码技术有限公司,网游/手游,100-499人,www.qcplay.com,3.5,￥3500
厦门,IT/互联网,恒隆兴,计算机软件,20-99人,www.hylandtec.com,3.8,￥4120
厦门,IT/互联网,厦门市梭雅网络科技有限公司,互联网,20-99人,www.xmsoya.com,暂无,￥4200
厦门,IT/互联网,厦门网中网软件有限公司,计算机软件,100-499人,www.netinnet.cn,4.6,￥3689
厦门,IT/互联网,墨仕,互联网,100-499人,www.moshigroup.com,暂无,￥10000
厦门,IT/互联网,厦门鼎弘晟通信科技有限公司,计算机软件,20-99人,www.xm-dhs.com,暂无,￥4237
厦门,IT/互联网,厦门中宏网络科技有限公司,互联网,0-20人,,暂无,￥4275
厦门,IT/互联网,中控科技(厦门)软件基地,计算机软件,1000-9999人,www.coobysoft.com,3.0,￥4500
厦门,IT/互联网,厦门泡果网络有限公司,互联网,0-20人,,3.0,￥3037
厦门,IT/互联网,厦门国傲商业服务股份有限公司,电子商务,100-499人,www.xmgasy.com/,5.0,￥0
厦门,IT/互联网,果核科技,互联网,20-99人,www.imcore.cn,暂无,￥8050
厦门,IT/互联网,厦门蓓蕾初华网络科技有限公司,互联网,100-499人,beibeiyi.tmall.com/,暂无,￥3218
厦门,IT/互联网,厦门翼华科技有限公司,计算机软件,,,3.6,￥7860
厦门,IT/互联网,厦门安妮股份有限公司,IT服务/系统集成,1000-9999人,www.anne.com,3.0,￥3402
厦门,IT/互联网,厦门点睛石网络科技有限公司,互联网,20-99人,,暂无,￥3156
厦门,IT/互联网,厦门富兰克林软件有限公司,计算机软件,0-20人,,4.0,￥4000
厦门,IT/互联网,厦门易兰网络科技有限公司,互联网,100-499人,www.365Gift.com,暂无,￥2450
厦门,IT/互联网,厦门奇为信息技术有限公司,计算机软件,0-20人,,暂无,￥3150
厦门,IT/互联网,厦门杰富绅电子商务有限公司,电子商务,0-20人,,暂无,￥3712
厦门,IT/互联网,厦门天策聚能信息科技有限公司,计算机软件,100-499人,www.tcjn.cn,4.5,￥6625
