地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
厦门,专业服务,天健正信会计师事务所,财务/审计/税务,20-99人,www.ascendacpa.com,2.7,￥4740
厦门,专业服务,合诚工程咨询股份有限公司,咨询,100-499人,,3.4,￥3200
厦门,专业服务,易法通,法律,20-99人,,3.5,￥4250
厦门,专业服务,厦门澳诚因私出入境服务有限公司,财务/审计/税务,20-99人,aochengvisa.com,5.0,￥4655
厦门,专业服务,厦门莲桥企业管理咨询有限公司,咨询,20-99人,www.lotus-bridge.cn,4.0,￥5000
厦门,专业服务,厦门易帆人力资源咨询服务有限公司,人才服务,20-99人,www.yifanhr.com,暂无,￥3200
厦门,专业服务,厦门昌满顺金融技术服务有限公司,外包服务,,,1.0,￥4350
厦门,专业服务,新加坡印咨询集团,咨询,100-499人,www.epfuture.com,暂无,￥8621
厦门,专业服务,厦门维尔斯人力资源管理有限公司,人才服务,100-499人,www.weshr.cn/about1.asp?id=1,4.0,￥10625
厦门,专业服务,厦门创道企业管理咨询有限公司,咨询,20-99人,www.0592cd.com,暂无,￥0
厦门,专业服务,泛亚人力,人才服务,100-499人,www.fanyuanwang.cn,3.0,￥4224
厦门,专业服务,厦门市达人企业管理咨询有限公司,财务/审计/税务,100-499人,www.xmdr.cn,5.0,￥4450
厦门,专业服务,厦门外服人力资源服务有限公司,人才服务,www.xiamenzp.com,,暂无,￥0
厦门,专业服务,银石猎头,咨询,20-99人,www.silverstonehr.com,暂无,￥0
厦门,专业服务,开锐咨询,咨询,,,4.1,￥4000
厦门,专业服务,厦门赢在仁才人力资源服务有限公司,人才服务,100-499人,www.winrc.cn,暂无,￥15687
厦门,专业服务,厦门加捷股份有限公司,财务/审计/税务,100-499人,,3.5,￥2500
厦门,专业服务,厦门好未来教育咨询有限公司,咨询,20-99人,www.hwljy.com,暂无,￥3960
厦门,专业服务,厦门英斯捷企业管理顾问有限公司,咨询,100-499人,www.insgems.com,3.0,￥2880
厦门,专业服务,厦门酷启人才服务有限公司,人才服务,20-99人,www.kq36.com,暂无,￥7000
厦门,专业服务,厦门兰盾商标事务所有限公司,咨询,0-20人,,暂无,￥0
厦门,专业服务,厦门义华信会计师事务所,财务/审计/税务,100-499人,www.yhxcpa.com,暂无,￥0
厦门,专业服务,厦门市博格管理咨询有限公司,财务/审计/税务,20-99人,www.bossway.com.cn,3.0,￥0
厦门,专业服务,厦门枫华加威投资咨询有限公司,咨询,100-499人,,暂无,￥3160
厦门,专业服务,厦门澳家华因私出入境咨询服务有限公司,咨询,20-99人,,1.0,￥3993
厦门,专业服务,北京外企人力资源服务厦门分公司,人才服务,20-99人,www.fesco.com.cn/,5.0,￥3100
厦门,专业服务,盛世德才,咨询,20-99人,,4.5,￥14000
厦门,专业服务,科大慧明企业管理咨询机构,咨询,20-99人,,3.0,￥0
厦门,专业服务,厦门嘉维世纪会展服务有限公司,咨询,20-99人,,5.0,￥2268
厦门,专业服务,厦门译语翻译服务有限公司,翻译,20-99人,www.language-trans.com,3.0,￥3125
