地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
厦门,交通/贸易/物流 ,厦门航空有限公司,交通/运输,1000-9999人,www.xiamenair.com.cn,4.1,￥6732
厦门,交通/贸易/物流 ,厦门国贸集团,贸易/进出口,1000-9999人,www.itg.com.cn,3.9,￥5410
厦门,交通/贸易/物流 ,厦门航空港集团,交通/运输,1000-9999人,www.xiagc.com.cn,2.0,￥4350
厦门,交通/贸易/物流 ,厦门机场,交通/运输,,,2.7,￥3748
厦门,交通/贸易/物流 ,厦门赢捷贸易有限公司,贸易/进出口,100-499人,xmyj.vip.icoc.cn,4.2,￥3960
厦门,交通/贸易/物流 ,厦门迈卓贸易有限公司,贸易/进出口,100-499人,master800.com,3.0,￥4075
厦门,交通/贸易/物流 ,厦门象屿股份有限公司,贸易/进出口,500-999人,www.xiangyu.cn,4.7,￥5784
厦门,交通/贸易/物流 ,厦门今茗贸易有限公司,贸易/进出口,0-20人,,4.0,￥1580
厦门,交通/贸易/物流 ,厦门全程德邦物流有限公司,物流/仓储,100-499人,www.deppon.com,2.8,￥3000
厦门,交通/贸易/物流 ,厦门富德胜创业投资有限公司,贸易/进出口,100-499人,,暂无,￥6233
厦门,交通/贸易/物流 ,厦门联合物流有限公司,物流/仓储,100-499人,www.unilogistics.com.cn,2.8,￥4000
厦门,交通/贸易/物流 ,厦门速传物流发展股份有限公司,物流/仓储,20-99人,www.super-chain.com,4.0,￥4155
厦门,交通/贸易/物流 ,翔业集团,交通/运输,10000人以上,www.iport.com.cn,3.0,￥5000
厦门,交通/贸易/物流 ,厦门市顺丰速运有限公司,交通/运输,hr.sf-express.com,,4.3,￥3000
厦门,交通/贸易/物流 ,厦门国际航空港集团,交通/运输,1000-9999人,www.xiagc.com.cn,暂无,￥4026
厦门,交通/贸易/物流 ,南美轮船（中国）船务有限公司,交通/运输,www.csavagency-cn.com,,4.0,￥4525
厦门,交通/贸易/物流 ,厦门市承佑嘉茶业,贸易/进出口,0-20人,,暂无,￥0
厦门,交通/贸易/物流 ,厦门宝龙信息产业发展有限公司,贸易/进出口,100-499人,www.oa01.com,暂无,￥2112
厦门,交通/贸易/物流 ,厦门博司达工贸有限公司,贸易/进出口,,,暂无,￥3225
厦门,交通/贸易/物流 ,厦门欣维发进出口有限公司,贸易/进出口,100-499人,,暂无,￥3353
厦门,交通/贸易/物流 ,厦门华易国际货运代理有限公司,交通/运输,100-499人,www.ceilg.com,暂无,￥2500
厦门,交通/贸易/物流 ,厦门旭盈国际货运代理有限公司,交通/运输,,,暂无,￥2512
厦门,交通/贸易/物流 ,厦门礼诚进出口有限公司,贸易/进出口,,,4.0,￥4250
厦门,交通/贸易/物流 ,厦门中物投进出口有有限公司,贸易/进出口,20-99人,,1.5,￥4000
厦门,交通/贸易/物流 ,厦门纵跃贸易有限公司,贸易/进出口,100-499人,,5.0,￥2513
厦门,交通/贸易/物流 ,中商商贸有限公司,贸易/进出口,20-99人,,暂无,￥3969
厦门,交通/贸易/物流 ,建益达,贸易/进出口,www.xmcandour.com,,暂无,￥0
厦门,交通/贸易/物流 ,厦门建发轻工有限公司,贸易/进出口,100-499人,,暂无,￥8101
厦门,交通/贸易/物流 ,厦门中物投进出口有限公司,贸易/进出口,www.cmdic.cn,,2.7,￥4600
厦门,交通/贸易/物流 ,厦门亚美皮件有限公司,贸易/进出口,1000-9999人,,3.5,￥5098
