地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
厦门,广告/传媒/文化,西基动画,影视/媒体,100-499人,,4.3,￥5075
厦门,广告/传媒/文化,厦门曼迪文化传播有限公司,影视/媒体,20-99人,mdch.xm98.com,5.0,￥0
厦门,广告/传媒/文化,厦门九零星吧文化传播有限公司,影视/媒体,100-499人,xiamenbar.51sole.com,暂无,￥0
厦门,广告/传媒/文化,厦门大界营销策划有限公司,广告/公关/会展,0-20人,www.dj-brand.com,5.0,￥4205
厦门,广告/传媒/文化,厦门跨界品牌策划有限公司,广告/公关/会展,500-999人,www.crossovers.cn,2.0,￥4450
厦门,广告/传媒/文化,厦门市边界品牌顾问有限公司,广告/公关/会展,100-499人,,5.0,￥4212
厦门,广告/传媒/文化,厦门广电集团,影视/媒体,100-499人,www.xmgd.com,4.0,￥5654
厦门,广告/传媒/文化,厦门圣美营销策划有限公司,广告/公关/会展,20-99人,www.solome.com.cn,暂无,￥3212
厦门,广告/传媒/文化,厦门迅瑞文化传播有限公司,广告/公关/会展,100-499人,xunrui.com/qixiawz/,暂无,￥2375
厦门,广告/传媒/文化,厦门市盈拓商务有限公司,广告/公关/会展,100-499人,www.showguide.cn,2.8,￥3500
厦门,广告/传媒/文化,厦门百视文化传媒有限公司,影视/媒体,100-499人,,暂无,￥3375
厦门,广告/传媒/文化,福建九龙宝典传媒有限公司,广告/公关/会展,20-99人,www.kowloonchina.com.cn,暂无,￥4086
厦门,广告/传媒/文化,厦门利根思动漫有限公司,影视/媒体,100-499人,,暂无,￥3237
厦门,广告/传媒/文化,厦门市聚英文化传播有限公司,影视/媒体,100-499人,www.joineast.com,3.5,￥2708
厦门,广告/传媒/文化,厦门沃天下文化传媒有限公司,影视/媒体,www.votianxia.com,,1.0,￥2475
厦门,广告/传媒/文化,厦门易天公关,广告/公关/会展,20-99人,www.ytpr.cn,5.0,￥2524
厦门,广告/传媒/文化,厦门灿焱广告策划有限公司,广告/公关/会展,500-999人,,暂无,￥2400
厦门,广告/传媒/文化,厦门素派信息科技有限公司,广告/公关/会展,20-99人,,暂无,￥4175
厦门,广告/传媒/文化,思八达（厦门）有限公司,影视/媒体,20-99人,www.tq0024.cn,暂无,￥2550
厦门,广告/传媒/文化,厦门多米诺教育,影视/媒体,,,3.0,￥4425
厦门,广告/传媒/文化,厦门快乐巴特文化创意有限公司,影视/媒体,0-20人,,暂无,￥2475
厦门,广告/传媒/文化,厦门美姬儿文化传媒有限公司,影视/媒体,20-99人,,1.0,￥7325
厦门,广告/传媒/文化,厦门景尚天文化传播有限公司,影视/媒体,500-999人,www.yum.com.cn,暂无,￥2400
厦门,广告/传媒/文化,厦门沙漠舟动漫有限公司,影视/媒体,0-20人,www.shamozhou.com,暂无,￥3175
