地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
厦门,房地产/建筑,厦门建发集团,房地产开发,1000-9999人,www.chinacdc.com,4.2,￥5643
厦门,房地产/建筑,厦门象屿集团,房地产开发,1000-9999人,www.xiangyu-group.com,3.6,￥5000
厦门,房地产/建筑,宝龙地产控股有限公司,房地产开发,100-499人,www.powerlong.com/,2.8,￥7953
厦门,房地产/建筑,厦门新凯复材科技有限公司,工程施工,1000-9999人,,2.9,￥2972
厦门,房地产/建筑,建发股份,房地产开发,1000-9999人,www.chinacnd.com,3.9,￥6000
厦门,房地产/建筑,厦门松霖科技股份有限公司,家具/家居,1000-9999人,www.solex.com.cn/,3.1,￥3744
厦门,房地产/建筑,福建正荣集团有限公司,房地产开发,100-499人,www.zhenro.com/,2.5,￥5925
厦门,房地产/建筑,中骏置业,房地产开发,www.sce-re.com/zh-CN/Index.html,,3.6,￥8000
厦门,房地产/建筑,厦门万安智能股份有限公司,房地产开发,100-499人,www.vann.com.cn,3.5,￥4232
厦门,房地产/建筑,厦门市万科物业服务有限公司,房地产开发,20-99人,www.vanke.com,4.0,￥3237
厦门,房地产/建筑,厦门合道设计院,房地产开发,100-499人,,3.5,￥6235
厦门,房地产/建筑,中铁十七局六公司,房地产开发,100-499人,,3.9,￥4640
厦门,房地产/建筑,厦门日上车轮集团股份有限公司,工程施工,500-999人,www.rswheels.com,2.5,￥4104
厦门,房地产/建筑,厦门世纪同合房地产咨询有限公司,房地产开发,0-20人,www.c21xiamen.com.cn/region/region.asp,暂无,￥4175
厦门,房地产/建筑,中骏集团,房地产开发,1000-9999人,www.sce-cn.com,3.3,￥8500
厦门,房地产/建筑,禹洲地产,房地产开发,1000-9999人,www.xmyuzhou.com.cn,3.3,￥8690
厦门,房地产/建筑,厦门搏源房产营销顾问有限公司,物业管理/商业中心,100-499人,,暂无,￥3374
厦门,房地产/建筑,建安集团,房地产开发,500-999人,www.jianan-xm.com,4.8,￥4205
厦门,房地产/建筑,厦门新景祥策划代理有限公司,房地产开发,20-99人,,3.2,￥3625
厦门,房地产/建筑,厦门昌宏集团有限公司,房地产开发,100-499人,www.zgchjt.com,暂无,￥4400
厦门,房地产/建筑,宏泰集团（厦门）有限公司,房地产开发,20-99人,www.kingtronics.com.cn,4.0,￥5919
厦门,房地产/建筑,九牧集团有限公司,装修装饰,10000人以上,www.jomoo.com.cn,3.3,￥4740
厦门,房地产/建筑,厦门路桥建设集团有限公司,房地产开发,100-499人,www.xmlq.com.cn,暂无,￥6800
厦门,房地产/建筑,厦门悦凯房地产代理有限公司,房地产开发,20-99人,www.xmyuekai.com,5.0,￥0
厦门,房地产/建筑,厦门SM商业城有限公司,房地产开发,,,5.0,￥4447
厦门,房地产/建筑,孟氏房产,房地产开发,100-499人,www.mshouse.cn,暂无,￥2790
厦门,房地产/建筑,厦门中振置业代理有限公司,房地产开发,20-99人,,暂无,￥3812
厦门,房地产/建筑,新华都地产,房地产开发,0-20人,,5.0,￥9796
厦门,房地产/建筑,厦门东百购物中心有限公司,物业管理/商业中心,0-20人,,暂无,￥3712
