地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
厦门,教育/培训,厦门大学,院校,10000人以上,www.xmu.edu.cn,4.2,￥5530
厦门,教育/培训,厦门快乐学习,其他技能培训,500-999人,gxh.klxuexi.com/xiamen,3.9,￥4000
厦门,教育/培训,佳音英语,外语培训,500-999人,www.joy.com.tw,3.9,￥2746
厦门,教育/培训,华侨大学,院校,10000人以上,www.hqu.edu.cn,5.0,￥4977
厦门,教育/培训,集美大学,院校,1000-9999人,www.jmu.edu.cn,3.8,￥5484
厦门,教育/培训,厦门金老师家教,院校,100-499人,www.0592jj.com/,4.5,￥3762
厦门,教育/培训,厦门大学嘉庚学院,院校,100-499人,www.jgxy.xmu.edu.cn,3.6,￥5000
厦门,教育/培训,厦门理工学院,院校,1000-9999人,www.xmut.edu.cn,4.0,￥5665
厦门,教育/培训,华侨大学厦门工学院,院校,1000-9999人,www.xit.edu.cn,3.8,￥5544
厦门,教育/培训,瑞士达（厦门）光学科技有限公司,院校,100-499人,,3.2,￥2464
厦门,教育/培训,厦门爬数高手培训学校,其他技能培训,,,4.0,￥3960
厦门,教育/培训,金宝贝早教中心厦门分公司,院校,20-99人,,5.0,￥2450
厦门,教育/培训,金老师家教,院校,1000-9999人,www.0592jj.com,5.0,￥5200
厦门,教育/培训,厦门阳光彼岸教育科技有限责任公司,院校,100-499人,www.ygbaOK.com,4.0,￥3825
厦门,教育/培训,厦门金老师家教中心,院校,100-499人,www.0592jj.com,5.0,￥3468
厦门,教育/培训,厦门韦博英语培训学校,外语培训,20-99人,,4.0,￥3300
厦门,教育/培训,TPK宝辰光学科技有限公司,院校,1000-9999人,,1.5,￥2488
厦门,教育/培训,厦门市泉优教育科技有限公司,院校,100-499人,www.quanyouedu.com,暂无,￥3200
厦门,教育/培训,厦门聚英启航考研教育公司,学前教育,20-99人,,4.0,￥2702
厦门,教育/培训,厦门航向教育咨询有限公司,院校,20-99人,,4.0,￥3891
厦门,教育/培训,国家海洋局第三海洋研究所,学术/科研,100-499人,www.tio.org.cn,暂无,￥5280
厦门,教育/培训,厦门琅琅教育,院校,20-99人,,3.0,￥3000
厦门,教育/培训,厦门建科院,学术/科研,1000-9999人,,5.0,￥4428
厦门,教育/培训,厦门新东方学校,外语培训,xm.xdf.cn,,2.7,￥4000
厦门,教育/培训,厦门市建筑科学研究院,学术/科研,20-99人,www.xmabr.com,5.0,￥5020
厦门,教育/培训,藤才教育咨询(福建)有限公司,院校,20-99人,www.ivy-talent.cn/,暂无,￥5125
厦门,教育/培训,英华教育机构,院校,20-99人,,暂无,￥3160
厦门,教育/培训,厦门新航道学校,院校,,,1.0,￥4200
厦门,教育/培训,厦门艺乐泓电脑培训中心,其他技能培训,0-20人,user.qzone.qq.com/170894445/main,暂无,￥0
厦门,教育/培训,厦门市思明区早稻田外语培训中心,院校,100-499人,www.chinawaseda.com,暂无,￥5175
厦门,教育/培训,奥优(厦门)教育咨询,学术/科研,0-20人,www.aouedu.cn,暂无,￥0
厦门,教育/培训,厦门市海沧区四大名补教育咨询服务部,院校,100-499人,,3.8,￥4350
厦门,教育/培训,厦门王吉山教育科技有限公司,院校,0-20人,,暂无,￥4400
厦门,教育/培训,未名教育,院校,0-20人,,暂无,￥3550
厦门,教育/培训,世纪蓝海,院校,20-99人,,3.0,￥4000
厦门,教育/培训,厦门市思明区世纪蓝海教育培训学校,院校,500-999人,www.21lanhai.com,暂无,￥3125
厦门,教育/培训,中科院城市环境研究所,学术/科研,100-499人,www.iue.cas.cn,5.0,￥5562
厦门,教育/培训,厦门萌育教育咨询有限公司,院校,20-99人,,暂无,￥2300
厦门,教育/培训,京师未名国际教育科技(北京)有限公司厦门分公司,院校,0-20人,,暂无,￥4200
厦门,教育/培训,中央音乐学院鼓浪屿钢琴学校,院校,100-499人,,5.0,￥6633
厦门,教育/培训,思而学教育集团,学前教育,500-999人,www.88edu.com.cn,3.3,￥5360
厦门,教育/培训,厦门大学国家传染病诊断试剂与疫苗研究中心,院校,500-999人,www.xmu.edu.cn,4.5,￥3740
厦门,教育/培训,南洋学院,院校,100-499人,www.xnanyang.com,暂无,￥4582
厦门,教育/培训,厦门市蒙妮坦职业培训学校,院校,100-499人,www.xmmonita.com,暂无,￥3375
厦门,教育/培训,厦门市湖里区温迪爱贝教育咨询服务部,院校,0-20人,,暂无,￥2500
厦门,教育/培训,厦门创意嘟嘟教育咨询有限公司,院校,20-99人,www.kidzart.com.cn,暂无,￥4250
厦门,教育/培训,厦门市爱育教育科技有限公司,院校,20-99人,www.ayytong.com,暂无,￥2350
厦门,教育/培训,厦门市思明区哈德教育培训中心,院校,100-499人,www.hade.cn,3.0,￥4200
厦门,教育/培训,厦门一中,院校,,,5.0,￥10512
厦门,教育/培训,厦门集美大学,院校,1000-9999人,,4.5,￥8104
厦门,教育/培训,厦门竣成管理顾问有限公司,院校,0-20人,,暂无,￥5125
厦门,教育/培训,厦门BAB英文培训中心,院校,20-99人,,暂无,￥1075
厦门,教育/培训,厦门聚学智堂教育咨询有限公司,院校,100-499人,www.jztedu.com,暂无,￥4450
厦门,教育/培训,厦门市湖里区新概念培训中心,院校,20-99人,,暂无,￥3200
厦门,教育/培训,厦门美联英语,外语培训,100-499人,,3.0,￥4000
厦门,教育/培训,厦门大地幼儿园,院校,0-20人,,1.0,￥2900
厦门,教育/培训,福建白金汉英语学校,外语培训,,,5.0,￥525
厦门,教育/培训,程天教育咨询有限公司,院校,20-99人,,暂无,￥2465
厦门,教育/培训,厦门市思明区奇艺教育培训学校,院校,20-99人,,暂无,￥4225
厦门,教育/培训,BAB英语培训中心,外语培训,20-99人,,暂无,￥5016
