地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
厦门,机械/制造,厦门航空有限公司,交通/运输,1000-9999人,www.xiamenair.com.cn,4.1,￥6732
厦门,机械/制造,林德叉车,机械制造/机电/重工,1000-9999人,www.linde-china.com,3.7,￥4782
厦门,机械/制造,厦门 ABB低压电器设备有限公司,原材料及加工/模具,500-999人,,4.4,￥5945
厦门,机械/制造,厦门太古飞机公司,航空/航天,100-499人,,3.1,￥5306
厦门,机械/制造,路达(厦门)工业有限公司,机械制造/机电/重工,100-499人,,3.9,￥3856
厦门,机械/制造,厦航,航空/航天,,,4.2,￥5650
厦门,机械/制造,明达实业(厦门)有限公司,原材料及加工/模具,500-999人,www.intexcorp.com,3.2,￥3602
厦门,机械/制造,厦门建霖工业有限公司,原材料及加工/模具,500-999人,www.runner-corp.com.cn,3.5,￥3594
厦门,机械/制造,厦门通士达照明有限公司,原材料及加工/模具,20-99人,www.topstar.com.cn,3.1,￥3526
厦门,机械/制造,厦门金鹭特种合金有限公司,原材料及加工/模具,20-99人,www.gesac.com.cn,3.5,￥3960
厦门,机械/制造,厦门盈众控股集团有限公司,原材料及加工/模具,100-499人,,3.8,￥5041
厦门,机械/制造,厦门厦工集团有限公司,机械制造/机电/重工,www.xmxgzg.com,,3.0,￥3950
厦门,机械/制造,厦门机场,交通/运输,,,2.7,￥3748
厦门,机械/制造,厦门松霖卫浴,原材料及加工/模具,500-999人,,3.4,￥3770
厦门,机械/制造,厦门正新实业有限公司,原材料及加工/模具,100-499人,,暂无,￥3673
厦门,机械/制造,朗美（厦门）健身器材有限公司,原材料及加工/模具,0-20人,www.laxiamen.com,1.5,￥4224
厦门,机械/制造,厦门达运精密有限公司,原材料及加工/模具,1000-9999人,,3.5,￥3203
厦门,机械/制造,建发纸业,印刷/包装/造纸,20-99人,www.cndpaper.com,3.3,￥5870
厦门,机械/制造,沙迪克（厦门）有限公司,机械制造/机电/重工,100-499人,,3.2,￥3800
厦门,机械/制造,蒙发利,机械制造/机电/重工,,,3.4,￥3000
厦门,机械/制造,厦门厦顺铝箔有限公司,原材料及加工/模具,www.xiashun.com,,3.8,￥5280
厦门,机械/制造,厦门船舶重工,船舶,1000-9999人,www.xsi.com.cn,3.3,￥4537
