地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
厦门,汽车,厦门金龙客车,汽车生产,100-499人,www.king-long.com.cn,3.9,￥4495
厦门,汽车,厦门金龙联合汽车工业有限公司,汽车生产,1000-9999人,www.king-long.com.cn,3.8,￥5372
厦门,汽车,雅马哈发动机,汽车生产,100-499人,www.yamaha-motor.com.cn,2.9,￥5280
厦门,汽车,厦门宏发汽车电子有限公司,电子/半导体/集成电路,100-499人,,2.3,￥3642
厦门,汽车,厦门金龙旅行车,汽车生产,1000-9999人,www.xmjl.com,3.9,￥5125
厦门,汽车,厦门正新海燕轮胎有限公司,汽车生产,1000-9999人,,3.2,￥3500
厦门,汽车,厦门盈众汽车集团股份有限公司,汽车生产,20-99人,www.enjoyauto.com,1.0,￥8250
厦门,汽车,plexus,汽车生产,500-999人,www.plexuschina.com.cn,暂无,￥8695
厦门,汽车,厦门塞尔福汽车有限公司,汽车生产,100-499人,,暂无,￥4125
厦门,汽车,厦门金龙汽车车身有限公司,汽车生产,1000-9999人,www.xmgdab.com,2.1,￥3500
厦门,汽车,欧德力(厦门)汽车环保科技有限公司,汽车生产,20-99人,www.yanchebao.com,暂无,￥2425
厦门,汽车,厦门兴荣辉洋汽车销售服务有限公司,汽车生产,,,暂无,￥3225
厦门,汽车,厦门市车一族汽车服务有限公司,汽车生产,100-499人,,暂无,￥4162
厦门,汽车,厦门美捷特航空传感器有限公司,汽车生产,,,暂无,￥7524
厦门,汽车,厦门红岩车行,汽车销售,20-99人,,暂无,￥0
厦门,汽车,厦门阿乔汽车用品有限公司,汽车用品,shop59125918.taobao.com/,,暂无,￥2893
厦门,汽车,厦门金龙汽车座椅有限公司,汽车生产,100-499人,www.xmklm.com.cn,2.0,￥3485
厦门,汽车,福州三象贸易有限公司,汽车生产,20-99人,,暂无,￥0
厦门,汽车,厦门宝瑞丰汽车销售有限公司,汽车销售,100-499人,,暂无,￥0
厦门,汽车,厦门美驰汽车配件有限公司,汽车生产,100-499人,,暂无,￥2755
厦门,汽车,厦门理研工业有限公司,汽车生产,1000-9999人,www.riken.com.cn,2.7,￥5375
厦门,汽车,厦门新正兴汽车销售服务有限公司,汽车销售,20-99人,,暂无,￥3400
厦门,汽车,厦门富饶汽车有限公司,汽车生产,20-99人,,暂无,￥6205
厦门,汽车,大金龙电机有限公司,汽车生产,1000-9999人,www.fjdjl.com,暂无,￥7250
厦门,汽车,厦门丰泰国际新能源汽车,汽车生产,100-499人,,4.0,￥2733
厦门,汽车,厦门捷太格特,汽车生产,0-20人,,3.0,￥2900
厦门,汽车,福建省厦门市正新海燕轮胎厂,汽车生产,1000-9999人,,5.0,￥3842
厦门,汽车,世纪鸿进(厦门)电子科技有限公司,汽车生产,0-20人,,2.0,￥4125
厦门,汽车,厦门格瑞恩科技有限公司,汽车生产,0-20人,,暂无,￥3160
厦门,汽车,厦门捷讯汽车零部件有限公司,汽车零部件,100-499人,,暂无,￥3150
厦门,汽车,厦门汉纳森汽车电子有限公司,汽车生产,20-99人,www.xmhns.com/,3.7,￥4536
厦门,汽车,厦门瑞鹰狮汽车销售服务有限公司,汽车销售,,,暂无,￥0
厦门,汽车,同致电子科技(厦门)有限公司,汽车生产,0-20人,www.tungthih.com,2.5,￥3000
厦门,汽车,厦门华骏观宏汽车销售服务有限公司,汽车销售,20-99人,,暂无,￥3175
厦门,汽车,厦门日日建安汽车服务有限公司,汽车生产,,,暂无,￥2464
厦门,汽车,厦门中宝汽车有限公司,汽车生产,www.ga.bmw.com.cn,,3.5,￥4575
厦门,汽车,厦门国戎汽车销售服务有限公司,汽车销售,100-499人,,暂无,￥2825
厦门,汽车,厦门盛元集团,汽车销售,500-999人,,暂无,￥4500
厦门,汽车,厦门中端电器有限公司,汽车生产,500-999人,,暂无,￥4290
厦门,汽车,厦门亨东制动系统有限公司,汽车生产,100-499人,,暂无,￥4185
厦门,汽车,赛夫华兰德车辆部件（厦门）有限公司,汽车生产,100-499人,www.safholland.com,暂无,￥5238
厦门,汽车,三立（厦门）汽车配件有限公司,汽车生产,100-499人,www.sankaku.com.cn,暂无,￥3612
厦门,汽车,厦门市金汤橡塑有限公司,汽车生产,100-499人,www.kingtom.com.cn,暂无,￥2445
厦门,汽车,厦门轮胎,汽车生产,100-499人,,暂无,￥3400
厦门,汽车,厦门君达汽车有限公司,汽车生产,100-499人,xmjd.enjoyauto.com,暂无,￥5000
厦门,汽车,安思通(厦门)制动系统有限公司,汽车生产,0-20人,,暂无,￥3183
厦门,汽车,厦门玉柴发动机有限公司,汽车生产,1000-9999人,,暂无,￥4653
厦门,汽车,华鹏车友,汽车生产,100-499人,,4.0,￥3570
厦门,汽车,天使翼汽车服务有限公司,汽车生产,0-20人,,暂无,￥4010
厦门,汽车,厦门厦工重工有限公司,汽车生产,,,暂无,￥3960
厦门,汽车,日上集团,汽车生产,1000-9999人,,暂无,￥9967
厦门,汽车,厦门瀚盛游艇有限公司,汽车生产,20-99人,www.hanshengyacht.com,暂无,￥3002
厦门,汽车,厦门炫驰汽车服务有限公司,汽车生产,20-99人,,暂无,￥0
厦门,汽车,厦门嘉裕德汽车电子科技有限公司,汽车生产,0-20人,,暂无,￥3733
厦门,汽车,日日建安,汽车生产,100-499人,,暂无,￥2274
厦门,汽车,厦门远达雷克萨斯汽车销售服务有限公司,汽车销售,500-999人,,暂无,￥2162
厦门,汽车,厦门佳松工贸有限公司,汽车生产,100-499人,,暂无,￥2450
厦门,汽车,厦门建发汽车有限公司,汽车生产,20-99人,www.autocnd.com,暂无,￥11783
厦门,汽车,信达福特,汽车生产,500-999人,,暂无,￥5427
厦门,汽车,厦门多灵汽车厂,汽车生产,20-99人,,暂无,￥9847
厦门,汽车,厦门中达汽车服务有限公司,汽车生产,,,暂无,￥2625
厦门,汽车,厦门奥迪,汽车生产,0-20人,,暂无,￥6032
厦门,汽车,新海汽车修理厂,汽车生产,20-99人,,暂无,￥21091
厦门,汽车,厦门茵德液压有限公司,汽车生产,20-99人,,暂无,￥2392
厦门,汽车,厦门威迪斯汽车设计与服务有限公司,汽车生产,20-99人,,5.0,￥1997
厦门,汽车,厦门市宾联轿车服务有限公司,汽车生产,100-499人,,1.0,￥5300
厦门,汽车,厦门海合达汽车电器有限公司,汽车生产,100-499人,www.highdart.com,暂无,￥3960
厦门,汽车,厦门市迅速汽车服务有限公司,汽车生产,20-99人,,暂无,￥5016
厦门,汽车,深圳欣晖汽车贸易有限公司厦门营运中心,汽车生产,0-20人,,暂无,￥2500
厦门,汽车,厦门市皓久汽车服务有限公司,汽车生产,20-99人,,暂无,￥2325
厦门,汽车,福建省福工动力技术有限公司,汽车生产,100-499人,www.fghev.com,3.0,￥3854
厦门,汽车,厦门中升沃茂汽车销售服务有限公司,汽车生产,,,暂无,￥4187
厦门,汽车,厦门峰裕汽车配件有限公司,汽车生产,20-99人,,4.0,￥3300
厦门,汽车,星虹汽修有限公司,汽车生产,0-20人,,暂无,￥5354
厦门,汽车,厦门金龙汽车集团股份有限公司,汽车生产,500-999人,,暂无,￥3400
厦门,汽车,厦门信达通宝,汽车生产,20-99人,,暂无,￥0
厦门,汽车,厦门松芝汽车空调有限公司,汽车生产,100-499人,,暂无,￥2400
厦门,汽车,厦门金龙汽车空调有限公司,汽车生产,500-999人,,2.3,￥2891
厦门,汽车,厦门凯征汽车维修服务有限公司,汽车维修/美容,100-499人,,暂无,￥2212
厦门,汽车,厦门威迪思汽车公司,汽车生产,20-99人,,暂无,￥0
厦门,汽车,厦门国贸东本4S,汽车生产,0-20人,,暂无,￥3564
厦门,汽车,厦门兴恒昌轴承有限公司,汽车生产,,,暂无,￥1580
厦门,汽车,厦门胜华元,汽车生产,100-499人,,5.0,￥4752
厦门,汽车,厦门喷漆,汽车生产,100-499人,,暂无,￥7250
厦门,汽车,美丽屋（厦门）汽车服务有限公司,汽车生产,20-99人,,暂无,￥3335
厦门,汽车,厦门海沧沧宏汽修,汽车生产,20-99人,,暂无,￥2175
厦门,汽车,高斯高(厦门)汽车零部件有限公司,汽车零部件,20-99人,,暂无,￥4350
厦门,汽车,美国汽车零部件工厂,汽车零部件,0-20人,,暂无,￥13124
厦门,汽车,厦门宏明,汽车生产,100-499人,,暂无,￥5075
厦门,汽车,厦门安思通制动,汽车生产,20-99人,,暂无,￥2262
厦门,汽车,厦门民兴有限公司,汽车生产,1000-9999人,,4.0,￥4620
厦门,汽车,厦门金龙公司,汽车生产,1000-9999人,,暂无,￥9317
厦门,汽车,厦杏三阳,汽车生产,100-499人,,暂无,￥6469
厦门,汽车,厦门瑞荣嘉诚汽车销售服务有限公司,汽车销售,100-499人,,暂无,￥0
厦门,汽车,厦门市宏富利贸易有限公司,汽车生产,20-99人,,暂无,￥2755
