地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
厦门,生活服务,喜来登酒店,酒店,100-499人,sheraton.com.cn,3.8,￥3085
厦门,生活服务,豪客来,餐饮,10000人以上,www.houcaller.com/hklhome/index.jspx,3.3,￥2500
厦门,生活服务,豪享来餐饮娱乐有限公司,餐饮,500-999人,www.haoxianglai.net,4.5,￥2465
厦门,生活服务,华莱士餐饮管理服务,餐饮,100-499人,,3.0,￥2291
厦门,生活服务,厦门鱼旨餐饮管理有限公司,餐饮,1000-9999人,,暂无,￥2812
厦门,生活服务,厦门豪客来餐饮管理有限公司,餐饮,20-99人,,3.0,￥3350
厦门,生活服务,厦门金达威维生素有限公司,丽人/美容/美发,20-99人,,暂无,￥4008
厦门,生活服务,厦门肯德基有限公司,餐饮,,,4.0,￥2772
厦门,生活服务,厦门手佳休闲保健有限公司,丽人/美容/美发,20-99人,,暂无,￥4225
厦门,生活服务,厦门建发旅游集团有限公司,旅游,500-999人,www.cndtour.com,4.0,￥3025
厦门,生活服务,厦门海悦山庄酒店,酒店,www.xmseaview.com/,,2.8,￥3133
厦门,生活服务,厦门安然飞马电子科技有限公司,娱乐/休闲/体育,0-20人,www.arfm.com.cn,暂无,￥0
厦门,生活服务,厦门博爱金彩童星摄影有限公司,婚庆/摄影,100-499人,,暂无,￥3193
厦门,生活服务,厦门京闽中心酒店,酒店,,,3.5,￥2209
厦门,生活服务,婚纱,婚庆/摄影,0-20人,mp.weixin.qq.com/cgi-bin/settingpage?t=setting/index&action=index&token=753110346&lang=zh_CN,5.0,￥0
厦门,生活服务,厦门巨鹏飞旅游开发有限公司,旅游,100-499人,www.xmmhha.com/,暂无,￥15780
厦门,生活服务,厦门伍叁贰娱乐有限公司,娱乐/休闲/体育,500-999人,www.wusaner.icoc.cc,暂无,￥4719
厦门,生活服务,厦门市思明区领点酒吧,娱乐/休闲/体育,100-499人,986766191.qzone.qq.com,1.0,￥2928
厦门,生活服务,厦门海隆劳务有限公司,中介服务,20-99人,www.manning-hl.com,4.0,￥9702
厦门,生活服务,翔鹭国际大酒店,酒店,100-499人,www.xianglugrand.com,4.0,￥2697
厦门,生活服务,泛亚人力,人才服务,100-499人,www.fanyuanwang.cn,3.0,￥4224
厦门,生活服务,厦门日月谷温泉渡假村有限公司,餐饮,www.riyuegu.com,,4.0,￥1818
厦门,生活服务,厦门源昌凯宾斯基大酒店,酒店,500-999人,,4.0,￥2800
厦门,生活服务,厦门益力康贸易有限公司,丽人/美容/美发,100-499人,www.2682171.com,暂无,￥4175
厦门,生活服务,厦门艾美酒店,酒店,,,3.5,￥3000
厦门,生活服务,厦门鹭江宾馆,酒店,www.lujiang-hotel.com,,暂无,￥2237
厦门,生活服务,厦门市林氏府酒店有限公司,酒店,100-499人,www.hotelin1895.com,暂无,￥2300
厦门,生活服务,厦航国旅,旅游,100-499人,,4.0,￥3815
厦门,生活服务,厦门高新人才开发有限公司,中介服务,100-499人,www.xmrc.com.cn,暂无,￥3430
厦门,生活服务,厦门华侨酒店,酒店,,,5.0,￥2112
厦门,生活服务,厦门万里行国际旅行社有限公司,旅游,100-499人,www.wlx365.com/,暂无,￥2500
厦门,生活服务,厦门市健体无极体育产业投资有限公司,娱乐/休闲/体育,100-499人,,暂无,￥4400
厦门,生活服务,厦门国际会展酒店,酒店,,,3.0,￥2638
厦门,生活服务,厦门都市精品酒店管理有限公司,酒店,20-99人,,暂无,￥2450
厦门,生活服务,厦门市欧野实业有限公司,娱乐/休闲/体育,100-499人,www.oyea.com.cn,暂无,￥4300
