地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
厦门,能源/化工/环保,厦门钨业股份有限公司,矿产/地质/采掘/冶炼,10000人以上,www.cxtc.com,3.1,￥4350
厦门,能源/化工/环保,厦门FDK化学有限公司,石油/石化/化工,20-99人,,4.0,￥3922
厦门,能源/化工/环保,祥达光学,石油/石化/化工,1000-9999人,,2.2,￥2928
厦门,能源/化工/环保,盛屯矿业集团股份有限公司,矿产/地质/采掘/冶炼,500-999人,www.600711.com,暂无,￥3045
厦门,能源/化工/环保,厦门阳光恩耐照明,环保,1000-9999人,www.yankon-xm.com,3.2,￥4500
厦门,能源/化工/环保,厦门长塑实业有限公司,石油/石化/化工,1000-9999人,chang-su.com.cn,3.2,￥4200
厦门,能源/化工/环保,厦门金泰集团有限公司,石油/石化/化工,0-20人,,4.0,￥2400
厦门,能源/化工/环保,TPK宝辰光学科技有限公司,院校,1000-9999人,,1.5,￥2488
厦门,能源/化工/环保,厦门坤健工贸有限公司,矿产/地质/采掘/冶炼,100-499人,www.xmkjny.com,暂无,￥4387
厦门,能源/化工/环保,佳化化学股份有限公司,石油/石化/化工,www.jiahua-china.com,,3.0,￥11000
厦门,能源/化工/环保,厦门恒兴集团有限公司,矿产/地质/采掘/冶炼,0-20人,,暂无,￥6400
厦门,能源/化工/环保,厦门众达钢铁有限公司,矿产/地质/采掘/冶炼,100-499人,,4.0,￥4350
厦门,能源/化工/环保,厦门阳光照明,环保,,,2.8,￥3700
厦门,能源/化工/环保,三达膜环境技术股份有限公司,环保,500-999人,www.suntar.com,1.0,￥0
厦门,能源/化工/环保,厦门恒耀金属有限公司,石油/石化/化工,100-499人,,3.0,￥2528
厦门,能源/化工/环保,艾普偏光科技（厦门）有限公司,新能源(太阳能/风能),,,5.0,￥4200
厦门,能源/化工/环保,福建凯西钢铁集团有限公司,矿产/地质/采掘/冶炼,1000-9999人,www.casey-steel.com,3.0,￥3269
厦门,能源/化工/环保,厦门金鹭合金有限公司,矿产/地质/采掘/冶炼,100-499人,,4.0,￥2073
厦门,能源/化工/环保,麦克奥迪（厦门）电气股份有限公司,电力/水利,500-999人,www.motic-electric.com,1.0,￥3135
厦门,能源/化工/环保,厦门诺瑞特实业有限公司,石油/石化/化工,www.san-dao.com.cn,,暂无,￥2655
厦门,能源/化工/环保,华胤钢结构,矿产/地质/采掘/冶炼,100-499人,www.far-east-eng.com,暂无,￥5880
厦门,能源/化工/环保,瑞科际再生能源股份有限公司,矿产/地质/采掘/冶炼,100-499人,www.reculture.cn,暂无,￥4237
厦门,能源/化工/环保,厦门中骏电气有限公司,电力/水利,100-499人,,2.5,￥3022
厦门,能源/化工/环保,厦门象屿康惠科技有限公司,新能源(太阳能/风能),,,1.0,￥2225
