地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
厦门,金融,厦门国际银行,银行,100-499人,www.xib.com.cn,3.4,￥7321
厦门,金融,国泰人寿,保险,1000-9999人,www.cathaylife.cn,3.5,￥5302
厦门,金融,厦门银行,银行,500-999人,www.xmccb.com,3.7,￥6478
厦门,金融,瑞达期货,期货,100-499人,www.xmrd.net,3.0,￥2900
厦门,金融,福建金润大通大宗商品经营有限公司,基金,20-99人,,4.0,￥3137
厦门,金融,厦门证券,证券,1000-9999人,www.xmzq.cn,4.0,￥3432
厦门,金融,拾财贷,银行,20-99人,www.shicaidai.com,4.0,￥4350
厦门,金融,中泰信托有限公司,信托,500-999人,www.zhongtaitrust.com,3.0,￥7711
厦门,金融,翔腾,投资/融资,100-499人,,暂无,￥0
厦门,金融,长江证券研究所,证券,1000-9999人,www.95579.com,3.9,￥1850
厦门,金融,福建农村信用社,银行,20-99人,,5.0,￥2460
厦门,金融,浦发银行厦门分行,银行,500-999人,www.spdb.com.cn,4.5,￥0
厦门,金融,福建瑞晟联盟商务有限公司,银行,100-499人,www.fjrssc.cn,暂无,￥2450
厦门,金融,厦门星立方文化传播有限公司,基金,100-499人,xmxlf.zhugesou.com,暂无,￥3831
厦门,金融,厦门尊驰商贸有限公司,银行,0-20人,www.xmzc1688.com,暂无,￥3200
厦门,金融,耀荣汉财富,信托,20-99人,www.yaoronghan.com,暂无,￥0
厦门,金融,厦门财成投资有限公司,基金,0-20人,,暂无,￥2875
厦门,金融,厦门市毅宏集团投资有限公司,投资/融资,www.yihonggroup.com,,暂无,￥0
厦门,金融,厦门九龙发房地产投资顾问有限公司,银行,,,暂无,￥3397
厦门,金融,农业银行厦门分行,银行,www.95599.cn,,暂无,￥19000
厦门,金融,招商银行厦门分行,银行,10000人以上,www.cmbchina.com,4.0,￥15000
厦门,金融,华夏银行厦门分行,银行,20-99人,www.hxb.com.cn,暂无,￥8500
厦门,金融,厦门银信达资产管理有限公司,银行,100-499人,,暂无,￥4450
厦门,金融,厦门旸升信息服务有限公司,银行,100-499人,www.youngsuncn.com,3.0,￥4000
厦门,金融,厦门金圆投资集团有限公司,基金,100-499人,www.xmjyjt.com,3.0,￥0
厦门,金融,厦门沃瑞德投资管理有限公司,投资/融资,100-499人,,暂无,￥4250
厦门,金融,聪贷网,投资/融资,0-20人,www.congdai.cn,5.0,￥0
厦门,金融,中国建设银行厦门分行,银行,www.ccb.com,,5.0,￥5000
厦门,金融,厦门金投投资管理有限公司,投资/融资,,,暂无,￥2900
厦门,金融,厦门利施融资租赁有限公司,投资/融资,20-99人,www.leasexm.com,暂无,￥6350
厦门,金融,厦门卓诺投资管理有限公司,投资/融资,0-20人,,暂无,￥8325
厦门,金融,中信银行信用卡中心厦门营销服务中心,银行,20-99人,bank.ecitic.com,暂无,￥0
厦门,金融,厦门银河证券,证券,20-99人,www.chinastock.com.cn,2.0,￥5700
厦门,金融,汇丰银行（中国）有限公司厦门分行,银行,www.hsbc.com.cn,,暂无,￥0
厦门,金融,集友银行,银行,100-499人,www.chiyubank.com,3.0,￥4810
厦门,金融,厦门国际银行股份有限公司龙岩分行,银行,www.xib.com.cn,,暂无,￥10000
厦门,金融,东亚银行（中国）有限公司厦门分行,银行,100-499人,www.hkbea.com.cn,暂无,￥0
厦门,金融,厦门广福元投资管理咨询有限公司,基金,20-99人,,暂无,￥2500
厦门,金融,厦门子宁资产管理有限公司,银行,20-99人,,暂无,￥4200
厦门,金融,有信投资管理咨询有限公司,投资/融资,20-99人,www.youxinia.com,暂无,￥0
厦门,金融,兴业银行股份有限公司厦门分行,银行,20-99人,www.cib.com.cn,暂无,￥0
厦门,金融,恒生银行(中国)有限公司厦门分行,银行,1000-9999人,www.hangseng.com,暂无,￥0
厦门,金融,铂锦投资咨询有限公司,银行,20-99人,,暂无,￥0
厦门,金融,厦门达汇信息科技有限公司,基金,0-20人,www.fx086.com,暂无,￥0
厦门,金融,厦门融天投资有限公司,基金,20-99人,www.rtcap.cn,暂无,￥4212
厦门,金融,厦门百应融资租赁,投资/融资,20-99人,www.byleasing.com,暂无,￥0
厦门,金融,君龙人寿保险,保险,20-99人,www.kdinsurance.com.cn,3.0,￥5000
厦门,金融,厦门辰亿鑫信息科技有限公司,银行,0-20人,www.xiamenpos.com,暂无,￥2350
厦门,金融,厦门市昊鼎投资管理有限公司,银行,20-99人,,暂无,￥6450
厦门,金融,厦门中今投资集团有限公司,基金,100-499人,,暂无,￥8500
厦门,金融,富邦保险经纪,保险,0-20人,,3.0,￥6504
厦门,金融,厦门典润资产管理有限公司,银行,100-499人,,暂无,￥5737
厦门,金融,香港众业投资有限公司,银行,20-99人,,暂无,￥1595
厦门,金融,厦门熠辉集团有限公司,基金,100-499人,,暂无,￥3725
厦门,金融,厦门水晶之约投资管理有限公司,投资/融资,,,暂无,￥2370
厦门,金融,平安银行股份有限公司厦门分行,银行,,,暂无,￥6400
厦门,金融,海南誉展信实业有限公司福建分公司,银行,100-499人,,暂无,￥4250
厦门,金融,汇腾东方投资公司,银行,20-99人,,暂无,￥1980
厦门,金融,福建银领投资有限公司,银行,20-99人,,5.0,￥2298
厦门,金融,厦门铂锦投资咨询有限公司,银行,100-499人,,暂无,￥4450
