地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
广州,IT/互联网,网易,电子商务,1000-9999人,www.163.com/,4.3,￥8090
广州,IT/互联网,网易游戏,网游/手游,10000人以上,game.163.com/,4.2,￥8000
广州,IT/互联网,唯品会,电子商务,500-999人,www.vip.com,3.8,￥5250
广州,IT/互联网,优视科技,计算机软件,1000-9999人,www.uc.cn,4.1,￥7075
广州,IT/互联网,环球市场集团,电子商务,500-999人,www.globalmarket.com,3.5,￥3960
广州,IT/互联网,从兴,计算机软件,1000-9999人,www.congxing.com,3.6,￥7986
广州,IT/互联网,多益网络,互联网,1000-9999人,www.duoyi.com,3.1,￥6004
广州,IT/互联网,久邦数码,移动互联网,500-999人,www.gomo.com,3.5,￥5265
广州,IT/互联网,汇丰软件开发,计算机软件,1000-9999人,www.hsbcservicedelivery.com,3.8,￥10000
广州,IT/互联网,欢聚时代,SNS/社交网络,1000-9999人,huanju.cn,4.1,￥9000
广州,IT/互联网,太平洋网络,门户网站/搜索引擎,1000-9999人,www.pconline.cn,3.4,￥5000
广州,IT/互联网,广州华南咨询科技有限公司,IT服务/系统集成,500-999人,www.hnisi.com.cn,3.5,￥5723
广州,IT/互联网,纬创软件,计算机软件,1000-9999人,www.wistronits.com,3.7,￥6004
广州,IT/互联网,广州市品高软件股份有限公司,计算机软件,1000-9999人,www.bingosoft.net,3.9,￥7107
广州,IT/互联网,酷狗,计算机硬件/网络设备,500-999人,www.kugou.com,3.7,￥7000
广州,IT/互联网,新太科技,计算机软件,100-499人,www.suntektech.com,3.8,￥5775
广州,IT/互联网,百度广州分公司,互联网,1000-9999人,www.baidu.com/,3.9,￥5000
广州,IT/互联网,汇丰银行HSBC广州开发中心GLTC,计算机软件,100-499人,www.hsbc.com.cn,3.5,￥11600
广州,IT/互联网,广东省电信规划设计院,IT服务/系统集成,1000-9999人,www.gpdi.com,3.3,￥6000
广州,IT/互联网,广州菲音信息,网游/手游,500-999人,www.feiyin.com,3.3,￥6150
广州,IT/互联网,要出发,互联网,1000-9999人,www.yaochufa.com,3.5,￥4000
广州,IT/互联网,百田,IT服务/系统集成,100-499人,www.baitianinfo.com,4.0,￥7371
广州,IT/互联网,39健康网,医疗服务,100-499人,www.39.net/,3.3,￥5075
广州,IT/互联网,华智科技,IT服务/系统集成,100-499人,www.whizen.com,3.0,￥5056
广州,IT/互联网,中望软件,计算机软件,100-499人,www.zwcad.com,3.7,￥6320
广州,IT/互联网,灵机文化,互联网,100-499人,www.linghit.com,4.4,￥6000
广州,IT/互联网,广州南天电脑系统有限公司,计算机硬件/网络设备,20-99人,www.nantian.com.cn,3.0,￥5293
广州,IT/互联网,华通,计算机软件,100-499人,www.huatongame.com,3.6,￥3495
