地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
广州,专业服务,华通明略,咨询,100-499人,www.mb-acsr.com,3.7,￥5075
广州,专业服务,中大咨询,咨询,100-499人,www.mpgroup.cn/,3.3,￥5125
广州,专业服务,广东正中珠江会计师事务所,财务/审计/税务,100-499人,www.gpcpa.cn/,4.2,￥2175
广州,专业服务,广州市拓优咨询有限公司,咨询,100-499人,,3.0,￥3700
广州,专业服务,Ipsos China,咨询,500-999人,isurvey.ipsos.com.cn,3.0,￥6269
广州,专业服务,广州西美信息科技有限公司,咨询,100-499人,azsxmx1.cn.zhongsou.net,3.0,￥3990
广州,专业服务,广东方胜人力资源服务有限公司,人才服务,100-499人,,3.7,￥2500
广州,专业服务,尼尔森（广州）,咨询,20-99人,www.nielsen.com,4.0,￥3800
广州,专业服务,广州广电计量检测股份有限公司,检测/认证,1000-9999人,www.grgtest.com,2.9,￥4000
广州,专业服务,中大管理咨询有限公司,财务/审计/税务,100-499人,www.mpgroup.cn,3.0,￥6000
广州,专业服务,广东凯捷商业数据处理服务有限公司,外包服务,500-999人,cgbpo.cnstaff.com,3.5,￥4000
广州,专业服务,盖洛普咨询公司,咨询,100-499人,,5.0,￥3625
广州,专业服务,责卓医药咨询,咨询,500-999人,www.rype.cn,3.6,￥8000
广州,专业服务,倍智,咨询,100-499人,,3.4,￥4910
广州,专业服务,广东倍智人才管理咨询有限公司,财务/审计/税务,20-99人,www.cepin.com,3.4,￥5075
广州,专业服务,广东邮电人才服务有限公司,财务/审计/税务,20-99人,www.iter.cn,3.4,￥4000
广州,专业服务,广州市沃溇商贸有限公司,人才服务,20-99人,,暂无,￥8500
广州,专业服务,广东敬海律师事务所,法律,500-999人,www.wjnco.com,3.9,￥6125
广州,专业服务,广州索迪斯管理服务有限公司,外包服务,10000人以上,www.sodexo.cn,2.7,￥4740
广州,专业服务,广州华进联合专利商标代理有限公司,专利/知识产权/商标,20-99人,www.acip.cn,3.7,￥4330
广州,专业服务,Talentview泰能人力,人才服务,20-99人,www.talentviewprc.com,4.2,￥5000
广州,专业服务,立信羊城会计师事务所有限公司,财务/审计/税务,100-499人,www.ycpa.com,3.3,￥3634
广州,专业服务,广州盛华信息有限公司,外包服务,1000-9999人,www.cn-elite.com,3.1,￥3781
广州,专业服务,沃邦国际教育,财务/审计/税务,100-499人,,3.6,￥3300
广州,专业服务,中国南方人才市场,人才服务,500-999人,www.job168.com,3.7,￥3300
广州,专业服务,海华税务师事务所有限公司,咨询,100-499人,www.ccitc.net.cn/ccitc/,4.2,￥4000
广州,专业服务,会计师事务所,财务/审计/税务,100-499人,,3.0,￥3721
广州,专业服务,IDP教育集团,学前教育,www.idp.cn,,2.6,￥5154
