地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
广州,交通/贸易/物流 ,南航,交通/运输,1000-9999人,www.cs-air.com,3.6,￥5800
广州,交通/贸易/物流 ,广州地铁,交通/运输,1000-9999人,www.gzmtr.com,4.1,￥5000
广州,交通/贸易/物流 ,新邦物流,物流/仓储,1000-9999人,www.xbwl.cn,2.9,￥3279
广州,交通/贸易/物流 ,广州铁路局,交通/运输,10000人以上,www.gzrailway.com.cn/,3.4,￥4424
广州,交通/贸易/物流 ,广州风神物流,物流/仓储,100-499人,www.fslgz.com,3.7,￥4000
广州,交通/贸易/物流 ,广州白云国际机场,交通/运输,1000-9999人,www.gbiac.net,3.8,￥3871
广州,交通/贸易/物流 ,广交会,贸易/进出口,10000人以上,www.china-gjh.com,3.9,￥2378
广州,交通/贸易/物流 ,广州港集团有限公司,物流/仓储,10000人以上,www.gzport.com,3.1,￥5000
广州,交通/贸易/物流 ,富田-日捆储运(广州)有限公司,物流/仓储,1000-9999人,www.fnl56.com,3.9,￥3625
广州,交通/贸易/物流 ,广州点诚贸易有限公司,贸易/进出口,100-499人,www.gzdiancheng.com,4.3,￥3058
广州,交通/贸易/物流 ,中远航运,交通/运输,1000-9999人,www.coscol.com.cn,3.4,￥13310
广州,交通/贸易/物流 ,恒大销售物流集团,物流/仓储,1000-9999人,www.evergrande.com/hr.aspx?uc=campus,2.8,￥4000
广州,交通/贸易/物流 ,广东省纺织品进出口股份有限公司,贸易/进出口,20-99人,www.gdtex.com,3.5,￥3724
广州,交通/贸易/物流 ,中国对外贸易广州展览总公司,贸易/进出口,100-499人,www.fairwindow.com,3.9,￥3363
广州,交通/贸易/物流 ,广汽丰田物流有限公司,物流/仓储,500-999人,,3.6,￥4642
广州,交通/贸易/物流 ,广州仟程贸易有限公司,贸易/进出口,100-499人,www.excellentjt.com,2.9,￥2800
广州,交通/贸易/物流 ,广州市信赢贸易有限公司,贸易/进出口,100-499人,t5830471862210821.5858.com/,2.8,￥2662
广州,交通/贸易/物流 ,广州盛世长运商贸连锁有限公司,贸易/进出口,20-99人,www.sanse.com.cn,2.1,￥3200
广州,交通/贸易/物流 ,中外运广东公司,交通/运输,1000-9999人,www.transgd.com.cn/www/v.py?oid=home,3.7,￥4463
广州,交通/贸易/物流 ,广州城市之星运输有限公司,交通/运输,100-499人,www.socl.net,2.5,￥2500
广州,交通/贸易/物流 ,广州今冠贸易有限公司,贸易/进出口,500-999人,,5.0,￥7800
广州,交通/贸易/物流 ,广州华南日通国际物流有限公司,物流/仓储,20-99人,,3.1,￥6336
广州,交通/贸易/物流 ,德讯物流,物流/仓储,100-499人,,3.5,￥4187
广州,交通/贸易/物流 ,新易泰物流,物流/仓储,20-99人,,4.0,￥3018
广州,交通/贸易/物流 ,广州广日物流,物流/仓储,100-499人,www.grwl.com.cn/,3.3,￥3993
广州,交通/贸易/物流 ,中国对外贸易中心,贸易/进出口,1000-9999人,,3.8,￥2900
广州,交通/贸易/物流 ,威时沛运货运（广州）有限公司,交通/运输,,,3.5,￥3450
广州,交通/贸易/物流 ,广州海运（集团）有限公司,交通/运输,1000-9999人,www.gzmaritime.com,暂无,￥8410
广州,交通/贸易/物流 ,广东怀远物流公司,交通/运输,100-499人,,2.8,￥2915
广州,交通/贸易/物流 ,广州倍乐生商贸有限公司,贸易/进出口,500-999人,www.qiaohu.com,4.0,￥3000
广州,交通/贸易/物流 ,奇域纬诚,贸易/进出口,daodanguodu.tmall.com,,暂无,￥3007
广州,交通/贸易/物流 ,广东南方物流集团有限公司,交通/运输,1000-9999人,www.nf56.com,3.7,￥3168
广州,交通/贸易/物流 ,广州白云机场空港快线运输股份有限公司,交通/运输,,,4.5,￥3366
广州,交通/贸易/物流 ,广州卓志物流集团有限公司,交通/运输,1000-9999人,www.topideal.com.cn/,3.3,￥4725
广州,交通/贸易/物流 ,广州打捞局,交通/运输,100-499人,www.gz-salvage.com.cn,1.0,￥6288
广州,交通/贸易/物流 ,广州远洋运输公司,交通/运输,100-499人,www.coscogz.com.cn,暂无,￥12750
广州,交通/贸易/物流 ,怀远物流,物流/仓储,1000-9999人,www.hyc-logistics.com,暂无,￥3000
广州,交通/贸易/物流 ,广州德里高科电子技术开发有限公司,电子/半导体/集成电路,www.rfid-in-china.com,,2.9,￥2697
