地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
广州,广告/传媒/文化,南方都市报,文化/艺术/出版,1000-9999人,epaper.nandu.com,4.1,￥5500
广州,广告/传媒/文化,南方报业传媒集团,文化/艺术/出版,1000-9999人,www.nanfangdaily.com.cn,3.9,￥5451
广州,广告/传媒/文化,盛世长城国际广告有限公司,广告/公关/会展,100-499人,www.shilixiongdi.com,3.9,￥3960
广州,广告/传媒/文化,广东电视台,影视/媒体,1000-9999人,www.gdtv.com.cn,3.7,￥6000
广州,广告/传媒/文化,广州达生,广告/公关/会展,100-499人,www.dawson.com.cn,3.2,￥3002
广州,广告/传媒/文化,广州市旭日因赛广告有限公司,广告/公关/会展,100-499人,www.adnewsun.com/,3.4,￥4350
广州,广告/传媒/文化,广州大剧院,影视/媒体,100-499人,,3.8,￥1302
广州,广告/传媒/文化,广州日报社,文化/艺术/出版,100-499人,gzdaily.dayoo.com,3.4,￥6000
广州,广告/传媒/文化,广州天诺营销策划有限公司,广告/公关/会展,100-499人,www.inno-vision.cn,2.9,￥3500
广州,广告/传媒/文化,南方日报,影视/媒体,1000-9999人,www.southcn.com,3.9,￥6735
广州,广告/传媒/文化,广东羊城晚报集团,影视/媒体,500-999人,www.ycwb.com,3.6,￥4907
广州,广告/传媒/文化,天诺营销,广告/公关/会展,1000-9999人,,3.1,￥4642
广州,广告/传媒/文化,广州天博广告有限公司,广告/公关/会展,20-99人,,3.7,￥4424
广州,广告/传媒/文化,中国对外贸易广州展览总公司,贸易/进出口,100-499人,www.fairwindow.com,3.9,￥3363
广州,广告/传媒/文化,广州金依和广告有限公司,广告/公关/会展,1000-9999人,www.newyiho.com,1.3,￥3337
广州,广告/传媒/文化,中视在线国际传媒,影视/媒体,20-99人,www.ctvonline.cn,3.8,￥4308
广州,广告/传媒/文化,广州哥弟真的好贸易有限公司,电子商务,100-499人,www.girdear.cn/,2.0,￥6957
广州,广告/传媒/文化,广州旗进品牌顾问有限公司,广告/公关/会展,20-99人,www.keyjun.com,5.0,￥6000
广州,广告/传媒/文化,电通东派广告公司,广告/公关/会展,100-499人,,3.2,￥3975
广州,广告/传媒/文化,励丰文化,文化/艺术/出版,100-499人,www.leafun.com,3.4,￥4112
广州,广告/传媒/文化,广东原创动力文化传播有限公司,影视/媒体,20-99人,www.cpecartoon.com,3.5,￥3136
广州,广告/传媒/文化,广州注意力公关顾问机构,广告/公关/会展,20-99人,,3.8,￥7842
广州,广告/传媒/文化,广州市凡拓数码科技有限公司,广告/公关/会展,100-499人,www.frontop.cn,2.9,￥4000
广州,广告/传媒/文化,滚石移动,影视/媒体,500-999人,www.rockmobile.com.cn,3.3,￥6120
广州,广告/传媒/文化,二十一世纪传媒,影视/媒体,100-499人,www.21cbr.com,5.0,￥5800
广州,广告/传媒/文化,广州藏信文化活动策划有限公司,广告/公关/会展,100-499人,www.7cang.com,暂无,￥4375
广州,广告/传媒/文化,广州魔杰仕文化活动策划有限公司,广告/公关/会展,100-499人,www.magicshow.com.cn,5.0,￥12230
广州,广告/传媒/文化,南方电视台,影视/媒体,100-499人,www.tvscn.com,3.5,￥5400
广州,广告/传媒/文化,广州电视台,影视/媒体,1000-9999人,www.gztv.com,3.2,￥5497
广州,广告/传媒/文化,广东奥飞文化传播有限公司,影视/媒体,1000-9999人,,2.8,￥5215
广州,广告/传媒/文化,广州加与减广告公司,广告/公关/会展,20-99人,www.jiayujian.com,5.0,￥0
广州,广告/传媒/文化,广州现代传播资讯有限公司,广告/公关/会展,20-99人,www.modernmedia.com.cn,4.0,￥4706
广州,广告/传媒/文化,喜马拉雅广告,广告/公关/会展,100-499人,www.himalayas.net.cn,3.7,￥4350
广州,广告/传媒/文化,广州广电集团,影视/媒体,100-499人,,3.2,￥6525
广州,广告/传媒/文化,奥飞动漫,影视/媒体,1000-9999人,,4.5,￥5218
广州,广告/传媒/文化,广州红蚁意志文化传播有限公司,广告/公关/会展,20-99人,www.gzraad.com,3.5,￥6425
广州,广告/传媒/文化,广州富众展览有限公司,广告/公关/会展,20-99人,www.foro.cn,5.0,￥2566
广州,广告/传媒/文化,旗智传播机构(广州),影视/媒体,20-99人,,3.6,￥5000
广州,广告/传媒/文化,南方报社,影视/媒体,100-499人,www.nanfangdaily.com.cn,3.0,￥4450
