地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
广州,房地产/建筑,恒大地产,房地产开发,10000人以上,www.evergrande.com,3.7,￥8265
广州,房地产/建筑,保利地产,房地产开发,10000人以上,www.gzpoly.com,4.0,￥6229
广州,房地产/建筑,富力地产,房地产开发,1000-9999人,www.rfbeijing.com.cn,3.6,￥8000
广州,房地产/建筑,中建四局,工程施工,10000人以上,4bur.cscec.com,3.6,￥4640
广州,房地产/建筑,雅居乐地产控股,房地产开发,1000-9999人,www.agile.com.cn,3.5,￥7144
广州,房地产/建筑,合景泰富,房地产开发,1000-9999人,www.kwgproperty.com,3.6,￥7000
广州,房地产/建筑,合富辉煌房地产,地产经纪/中介,100-499人,www.hopefluent.com.cn,3.6,￥4500
广州,房地产/建筑,广州普邦园林有限公司,园林景观,1000-9999人,www.pblandscape.com,3.3,￥4950
广州,房地产/建筑,满堂红,房地产开发,1000-9999人,,2.9,￥3495
广州,房地产/建筑,时代地产,房地产开发,1000-9999人,www.timesgroup.cn,3.7,￥7685
广州,房地产/建筑,敏捷地产,房地产开发,500-999人,www.nimble.cn,2.4,￥5280
广州,房地产/建筑,中交四航局,房地产开发,1000-9999人,www.gzpcc.com,3.7,￥6038
广州,房地产/建筑,恒大集团金碧物业,房地产开发,10000人以上,,3.0,￥3915
广州,房地产/建筑,广东棕榈园林股份有限公司,园林景观,100-499人,www.palm-la.com,4.1,￥5800
广州,房地产/建筑,恒大园林集团,园林景观,500-999人,www.evergrande.com/,3.5,￥6670
广州,房地产/建筑,怡和科技有限公司,房地产开发,100-499人,www.jos.com,3.5,￥6600
广州,房地产/建筑,广东海印集团股份有限公司,房地产开发,500-999人,www.000861.com,3.6,￥3957
广州,房地产/建筑,中铁二十五局集团有限公司,房地产开发,10000人以上,www.zt25j.com,3.1,￥4092
广州,房地产/建筑,香江集团,房地产开发,1000-9999人,www.heungkong.com,2.7,￥5280
广州,房地产/建筑,广州天力建筑工程有限公司,,1000-9999人,,3.1,￥5975
广州,房地产/建筑,中铁四局五公司,房地产开发,1000-9999人,www.ctcefive.com,3.8,￥4350
广州,房地产/建筑,广东海伦堡地产集团,房地产开发,1000-9999人,,3.1,￥7380
广州,房地产/建筑,侨鑫集团,房地产开发,1000-9999人,www.kingold.com,3.9,￥5008
广州,房地产/建筑,广州敏捷集团,房地产开发,10000人以上,www.nimble.cn,2.8,￥6350
广州,房地产/建筑,广州高力国际物业服务有限公司,物业管理/商业中心,20-99人,www.colliers.com/china,4.5,￥4000
广州,房地产/建筑,广物地产,房地产开发,,,3.2,￥5558
广州,房地产/建筑,广州满堂红置业有限公司,房地产开发,100-499人,mytophome.com,3.1,￥3000
广州,房地产/建筑,利海集团,房地产开发,500-999人,www.lsea.com.cn,2.0,￥6864
广州,房地产/建筑,星河湾地产控股有限公司,房地产开发,100-499人,www.star-river.com,3.2,￥5856
广州,房地产/建筑,方圆集团,房地产开发,500-999人,www.fineland.com.cn,4.0,￥3960
广州,房地产/建筑,悉地国际设计顾问有限公司,房地产开发,20-99人,www.ccdi.com.cn,3.0,￥6077
广州,房地产/建筑,新世界地产,房地产开发,,,1.7,￥6090
广州,房地产/建筑,广州市建筑集团有限公司,工程施工,1000-9999人,www.gzmcg.com,3.0,￥6000
广州,房地产/建筑,高德置地控股,房地产开发,500-999人,,3.4,￥5800
广州,房地产/建筑,新城市地产,房地产开发,20-99人,,2.3,￥7150
广州,房地产/建筑,广州市设计院,工程施工,100-499人,www.gzdi.com.cn,3.8,￥5250
广州,房地产/建筑,广东省建筑科学研究院,学术/科研,100-499人,www.gdjky.com,3.6,￥7197
广州,房地产/建筑,广东浩致集团,房地产开发,500-999人,www.hotongroup.com,暂无,￥3250
广州,房地产/建筑,广州山水比德景观设计有限公司,园林景观,100-499人,www.spigroup.cn,3.8,￥5000
广州,房地产/建筑,祈福集团,房地产开发,500-999人,www.cliffordgroup.com.cn/,2.6,￥6004
广州,房地产/建筑,广州中地行房产代理有限公司,房地产开发,0-20人,www.cnland.com,2.8,￥4240
广州,房地产/建筑,广州天力物业发展有限公司,物业管理/商业中心,20-99人,www.rfchina.com,3.1,￥3464
广州,房地产/建筑,广东浩和建筑有限公司,房地产开发,500-999人,www.hecan.com.cn,4.0,￥7884
广州,房地产/建筑,名匠装饰,装修装饰,100-499人,,3.5,￥2900
广州,房地产/建筑,中房集团,房地产开发,100-499人,www.cred.com,暂无,￥6170
广州,房地产/建筑,广州王府井百货,物业管理/商业中心,100-499人,www.wangfujing.com,3.1,￥3799
广州,房地产/建筑,越秀集团,房地产开发,100-499人,,3.7,￥8000
广州,房地产/建筑,太古汇（广州）发展有限公司,房地产开发,20-99人,www.taikoohui.com,3.2,￥4200
广州,房地产/建筑,广州哲品家居用品有限公司,建筑设计,20-99人,www.zens.asia,3.7,￥6000
广州,房地产/建筑,马可波罗,房地产开发,100-499人,,1.0,￥5280
广州,房地产/建筑,中交四航局第二工程有限公司,工程施工,1000-9999人,www.fhebsc.com/,4.1,￥9020
广州,房地产/建筑,广东省城乡规划设计研究院,学术/科研,100-499人,www.gdupi.com,4.0,￥6525
广州,房地产/建筑,广州宜居房地产代理有限公司,地产经纪/中介,100-499人,,3.7,￥4765
广州,房地产/建筑,广州市万科房地产有限公司,房地产开发,1000-9999人,,4.4,￥11175
广州,房地产/建筑,广州市宁骏物业,物业管理/商业中心,500-999人,www.kwgproperty.com/cn/Pm_Intro.asp?ItemCode=006001,2.9,￥3335
广州,房地产/建筑,广州宏牛建筑防水材料有限公司,建材,20-99人,www.gz-hn.com,3.5,￥0
