地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
广州,教育/培训,中山大学,院校,1000-9999人,www.sysu.edu.cn,4.2,￥5018
广州,教育/培训,卓越教育公司,学前教育,100-499人,www.beststudy.net,3.8,￥4000
广州,教育/培训,华南理工大学,院校,20-99人,www.scut.edu.cn,4.4,￥5028
广州,教育/培训,新东方广州,外语培训,1000-9999人,gz.xdf.cn,3.7,￥4000
广州,教育/培训,启德留学,中介服务,1000-9999人,www.eic.org.cn/,3.7,￥4000
广州,教育/培训,广汽研究院,学术/科研,100-499人,www.gaei.cn,4.3,￥8540
广州,教育/培训,广东工业大学,院校,1000-9999人,www.gdut.edu.cn,4.6,￥5995
广州,教育/培训,暨南大学,院校,1000-9999人,www.jnu.edu.cn,4.5,￥5800
广州,教育/培训,华南师范大学,院校,20-99人,www.scnu.edu.cn,4.2,￥5795
广州,教育/培训,樱花国际日语,外语培训,100-499人,www.sakurajp.com.cn,3.2,￥3500
广州,教育/培训,广州大学,院校,1000-9999人,www.gzhu.edu.cn,3.9,￥4898
广州,教育/培训,华南农业大学,院校,1000-9999人,www.scau.edu.cn,4.3,￥4640
广州,教育/培训,广东外语外贸大学,院校,500-999人,www.gdufs.edu.cn,4.1,￥6336
广州,教育/培训,明师教育,学前教育,20-99人,www.mingshiedu.com,3.2,￥4500
广州,教育/培训,韦伯国际英语培训中心,外语培训,20-99人,,3.6,￥3335
广州,教育/培训,南方医科大学,院校,500-999人,www.fimmu.com,4.0,￥5234
广州,教育/培训,凯洛格,院校,20-99人,www.keylogic.com.cn,3.4,￥6800
广州,教育/培训,中山大学达安基因股份有限公司,院校,1000-9999人,www.daangene.com,3.6,￥3323
广州,教育/培训,龙文环球教育,外语培训,100-499人,nanjing.gedu.org,3.3,￥2904
广州,教育/培训,广州张博氏,其他技能培训,500-999人,www.zbsjy88.com,5.0,￥3000
广州,教育/培训,卡尔蔡司光学科技（广州）有限公司,院校,20-99人,,2.5,￥4000
广州,教育/培训,蓝天幼儿园,学前教育,,,3.3,￥2900
广州,教育/培训,中国电器科学研究院,学术/科研,500-999人,www.geari.com,3.0,￥4620
广州,教育/培训,华尔街英语培训中心（广东）有限公司,外语培训,www.wsi.com.cn,,3.7,￥5000
广州,教育/培训,北京东方司乐国际教育科技发展中心,学术/科研,100-499人,www.siyuejy.cn,5.0,￥4500
广州,教育/培训,广东药学院,院校,500-999人,www.gdpu.edu.cn,4.4,￥6952
广州,教育/培训,广州城市信息研究所,学术/科研,20-99人,,3.2,￥6800
广州,教育/培训,中国电信广东研究院,学术/科研,1000-9999人,www.gsta.com,3.7,￥8058
广州,教育/培训,广东技术师范学院,院校,500-999人,www.gdin.edu.cn,4.4,￥3875
广州,教育/培训,碧桂园学校,院校,500-999人,bgy.gd.cn,3.0,￥5000
广州,教育/培训,广州三星通信研究院,学术/科研,500-999人,www.samsung.com,3.7,￥8800
广州,教育/培训,广州机械科学研究院,学术/科研,100-499人,www.gmeri.com,2.8,￥4699
广州,教育/培训,广东岭南职业技术学院,院校,1000-9999人,www.lnedugroup.org,3.0,￥4350
广州,教育/培训,广东金融学院,院校,100-499人,,4.2,￥4712
广州,教育/培训,广州尚德机构,其他技能培训,1000-9999人,,3.2,￥3234
广州,教育/培训,广东白云学院,院校,100-499人,www.bvtc.edu.cn,3.6,￥4820
广州,教育/培训,中科院广州生物医药与健康研究院,学术/科研,1000-9999人,www.gibh.cas.cn,3.3,￥6636
广州,教育/培训,广州学而思,其他技能培训,100-499人,,4.0,￥7656
广州,教育/培训,广州中医药大学,院校,20-99人,,4.0,￥4485
广州,教育/培训,广东省建筑科学研究院,学术/科研,100-499人,www.gdjky.com,3.6,￥7197
广州,教育/培训,IDP教育集团,学前教育,www.idp.cn,,2.6,￥5154
广州,教育/培训,广东省电力设计研究院,学术/科研,1000-9999人,gedi.eyongdian.com/company/homepage/index.php,4.2,￥10648
广州,教育/培训,仲恺农业工程学院,院校,500-999人,www.zhku.edu.cn,4.0,￥4350
广州,教育/培训,广州市香港科大霍英东研究院,学术/科研,100-499人,fyt.hkust.edu.cn/cn/index-cn.jsp,3.7,￥6555
广州,教育/培训,广州莘学教育咨询有限公司,其他技能培训,100-499人,user.qzone.qq.com/1556099669/main,5.0,￥6500
广州,教育/培训,广东轻工职业技术学院,院校,20-99人,,3.7,￥3777
广州,教育/培训,广州城信所,学术/科研,100-499人,www.chinadci.com/,2.8,￥6525
广州,教育/培训,湖南张博氏教育,学前教育,100-499人,,5.0,￥10000
广州,教育/培训,中科院广州化学有限公司,学术/科研,1000-9999人,www.gic.ac.cn,2.5,￥4205
广州,教育/培训,广东省城乡规划设计研究院,学术/科研,100-499人,www.gdupi.com,4.0,￥6525
广州,教育/培训,全优加芬兰探索式早教,院校,100-499人,www.bbugo.com,4.3,￥2500
广州,教育/培训,广州大学华软软件学院,院校,100-499人,www.sise.com.cn,暂无,￥5625
广州,教育/培训,易说堂,外语培训,100-499人,,3.4,￥3500
广州,教育/培训,中科院广州能源研究所,学术/科研,100-499人,www.giec.cas.cn,3.4,￥6380
广州,教育/培训,广州地铁设计研究院有限公司,学术/科研,1000-9999人,www.dtsjy.com,3.9,￥9465
广州,教育/培训,广东工业大学华立学院,院校,100-499人,www.hltz.net,2.3,￥6320
广州,教育/培训,广州工商职业技术学院,院校,100-499人,www.gzgs.org.cn,3.3,￥4240
广州,教育/培训,广东商学院,院校,20-99人,www.gdcc.edu.cn,3.0,￥5744
广州,教育/培训,广东电子工业研究院,学术/科研,500-999人,www.gdeii.com.cn,3.4,￥5800
广州,教育/培训,广东商学院华商学院,院校,20-99人,www.huashangcollege.com,3.3,￥5280
广州,教育/培训,广州市汇学教育信息咨询有限公司,IT培训,20-99人,www.soxue.org,暂无,￥3437
广州,教育/培训,新东方迈格森国际教育,院校,0-20人,www.maxen.com.cn,3.2,￥4598
广州,教育/培训,广州市培贤教育培训中心,院校,100-499人,www.crownstudy.com,2.6,￥4659
广州,教育/培训,广州市越秀区李阳外语培训中心,院校,www.liyangedu.com,,暂无,￥4724
广州,教育/培训,广州城建职业学院,院校,20-99人,www.gzccc.edu.cn,3.3,￥5782
广州,教育/培训,广州时事创新文化发展有限公司,学术/科研,20-99人,,暂无,￥5561
广州,教育/培训,广州日医正祥和,学前教育,100-499人,,2.2,￥6000
广州,教育/培训,广州市妇女儿童医疗中心,学前教育,,,3.3,￥6000
广州,教育/培训,广州博协教育科技有限公司,院校,20-99人,www.17xuexi.com,3.1,￥2625
广州,教育/培训,广东迈科医学科技有限公司,院校,20-99人,www.gdmk.cn,暂无,￥4159
广州,教育/培训,广州市白云区珠江中学,院校,20-99人,,暂无,￥4208
广州,教育/培训,广州真才教育信息咨询有限公司,院校,0-20人,,暂无,￥4125
