地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
广州,汽车,东风日产,汽车生产,1000-9999人,www.dongfeng-nissan.com.cn,3.8,￥5393
广州,汽车,广汽丰田,汽车生产,1000-9999人,www.gac-toyota.com.cn,4.0,￥5572
广州,汽车,广汽本田,汽车生产,10000人以上,www.ghac.cn/,3.9,￥7000
广州,汽车,广汽研究院,学术/科研,100-499人,www.gaei.cn,4.3,￥8540
广州,汽车,广州本田4S店,汽车生产,20-99人,,4.2,￥3500
广州,汽车,广州本田,汽车生产,10000人以上,,4.0,￥7294
广州,汽车,广本,汽车生产,1000-9999人,www.ghac.cn,3.8,￥5800
广州,汽车,广汽乘用车有限公司,汽车生产,100-499人,,3.4,￥5000
广州,汽车,本田汽车,汽车生产,1000-9999人,www.honda.com.cn,3.4,￥6105
广州,汽车,广汽丰田4S店,汽车维修/美容,100-499人,www.toyota.com.cn/,3.5,￥3564
广州,汽车,广州樱泰汽车饰件有限公司,汽车零部件,500-999人,,3.5,￥5010
广州,汽车,东风日产 花都工厂,汽车生产,10000人以上,www.dongfeng-nissan.com.cn,4.0,￥4497
广州,汽车,广汽丰田发动机有限公司,汽车生产,20-99人,,4.0,￥6320
广州,汽车,东风本田发动机有限公司,汽车生产,500-999人,www.wdhac.com.cn/,4.1,￥7517
广州,汽车,广汽集团,汽车生产,1000-9999人,www.gagc.com.cn/,4.4,￥7900
广州,汽车,广州优尼冲压有限公司,汽车生产,20-99人,www.unipres.com.cn,3.4,￥4184
广州,汽车,广州电装有限公司,汽车生产,500-999人,www.denso.com.cn,3.7,￥5075
广州,汽车,加特可（广州）自动变速箱有限公司,汽车生产,20-99人,www.jatcochina.com,4.0,￥4416
广州,汽车,康奈可汽车科技,汽车生产,100-499人,,2.0,￥5324
广州,汽车,广州昭和汽车零部件有限公司,汽车零部件,100-499人,,3.8,￥4407
广州,汽车,广汽菲亚特汽车有限公司,汽车生产,1000-9999人,www.gacfiatauto.com,3.9,￥5049
广州,汽车,四维尔丸井,汽车零部件,100-499人,www.swellmarui.com,3.8,￥5900
广州,汽车,广汽乘用车,汽车生产,100-499人,www.gacmotor.com,4.3,￥5808
广州,汽车,广州艾帕克汽车配件有限公司,汽车生产,1000-9999人,www.apac.com.cn,2.3,￥3960
广州,汽车,华南橡胶轮胎有限公司,汽车生产,,,暂无,￥4567
广州,汽车,东风日产4s销售,汽车生产,,,暂无,￥3780
广州,汽车,电通东派广告公司,广告/公关/会展,100-499人,,3.2,￥3975
广州,汽车,毅昌科技,汽车生产,100-499人,www.echom.com,2.4,￥4686
广州,汽车,广州阿雷斯提汽车配件有限公司,汽车生产,,,4.0,￥5000
广州,汽车,广物汽贸,汽车生产,500-999人,www.gdqc.com.cn,3.4,￥3564
广州,汽车,东海橡塑（广州）有限公司,汽车生产,0-20人,,3.8,￥3116
广州,汽车,广州爱机汽车配件有限公司,汽车生产,1000-9999人,www.ghapii.com.cn,4.0,￥4119
广州,汽车,广州汽车集团股份有限公司,汽车生产,1000-9999人,www.gagc.com.cn,3.7,￥5075
广州,汽车,广州力赢电子科技有限公司,汽车生产,100-499人,www.liwin-china.com,暂无,￥1250
广州,汽车,泰极（广州）汽车内饰有限公司,汽车生产,100-499人,,3.4,￥3150
广州,汽车,风神汽车,汽车生产,100-499人,,暂无,￥3194
广州,汽车,阿尔发（广州）汽车配件有限公司,汽车生产,100-499人,,3.0,￥4640
广州,汽车,马瑞利汽车电子公司,汽车生产,20-99人,,4.3,￥6600
广州,汽车,广汽传祺,汽车生产,1000-9999人,trumpchi.tmall.com/,3.0,￥3360
广州,汽车,广州三五汽车配件公司,汽车生产,500-999人,,4.0,￥3432
广州,汽车,广州丰铁汽车部件有限公司,汽车零部件,,,2.8,￥5056
广州,汽车,运通四方,汽车生产,0-20人,www.ytsf.com.cn,暂无,￥8475
广州,汽车,广州市千里发汽车服务有限公司,汽车生产,www.qianlifa.com,,暂无,￥4300
广州,汽车,广汽三菱汽车有限公司,汽车生产,1000-9999人,www.gmmc.com.cn,3.6,￥4000
广州,汽车,广州东昇机械有限公司,汽车生产,1000-9999人,公司不设网站，专注做东风日产车辆制造,3.8,￥3743
广州,汽车,马瑞利汽车电子(广州)有限公司,电子/半导体/集成电路,500-999人,www.magnetimarelli.com,3.3,￥4500
广州,汽车,马瑞利,汽车零部件,,,3.0,￥7986
广州,汽车,广汽汇理,汽车用品,,,2.9,￥5022
广州,汽车,广州市中新塑料有限公司,汽车生产,1000-9999人,www.zhongxinplastic.com.cn,3.6,￥5544
广州,汽车,大昌行集团,汽车生产,0-20人,www.dch.com.hk/sim-chinese/index.php,2.8,￥4525
广州,汽车,本田技研科技（中国）有限公司,汽车生产,500-999人,www.honda.com.cn,3.9,￥5500
广州,汽车,瑞卡租车,汽车生产,100-499人,www.reocar.com,2.8,￥4712
广州,汽车,广州云良汽配商城贸易有限公司,汽车生产,20-99人,www.qipeibuy.com,5.0,￥0
广州,汽车,广州市来兴汽车配件有限公司,汽车生产,1000-9999人,www.violin-gsk.com.cn,暂无,￥2636
广州,汽车,康奈可（广州）汽车电子有限公司,汽车生产,1000-9999人,,3.3,￥4500
广州,汽车,欧姆龙(广州)汽车电子有限公司,汽车生产,100-499人,,3.1,￥5646
广州,汽车,广州仁孚汽车销售服务有限公司,汽车销售,1000-9999人,www.gzzf.mercedes-benz.com.cn,3.8,￥4600
广州,汽车,广东鸿粤汽车销售集团有限公司,汽车销售,1000-9999人,www.hongyuecn.net,4.0,￥4500
广州,汽车,广州宏原汽车配件有限公司,汽车生产,500-999人,www.violin-gsk.com.cn/,暂无,￥3225
广州,汽车,广州小糸车灯有限公司,汽车生产,1000-9999人,www.koito.co.jp,3.3,￥4000
广州,汽车,广东物资集团,贸易/进出口,1000-9999人,www.gdwz.com.cn,2.6,￥4327
广州,汽车,广州日立优喜雅汽车配件有限公司,汽车生产,100-499人,www.hitachi-automotive.cn,3.0,￥4065
广州,汽车,广州威尔森企业管理咨询有限公司,汽车生产,,,3.8,￥5000
广州,汽车,广州奥图弹簧有限公司,汽车生产,20-99人,www.autospring.cn,3.0,￥3989
广州,汽车,广州日正弹簧有限公司,汽车生产,100-499人,www.nus.com.cn,4.0,￥4097
广州,汽车,广州豪进集团有限公司,汽车生产,www.haojin.com.cn,,2.7,￥3960
广州,汽车,广州广汽荻原模具冲压有限公司,汽车生产,,,3.2,￥3713
广州,汽车,广州华德汽车弹簧有限公司,汽车生产,500-999人,www.huadespring.com/newebiz1/ebizportalfg/portal/html/index.html,3.0,￥4422
广州,汽车,南菱汽车集团,汽车生产,20-99人,www.nanling.com.cn,3.7,￥5115
广州,汽车,广东骏汇汽车科技股份有限公司,汽车生产,500-999人,www.gdjhat.com,2.7,￥3337
广州,汽车,国睿电子,电子/半导体/集成电路,100-499人,www.4e-s.com,2.3,￥5750
广州,汽车,广州市华南橡胶轮胎有限公司,汽车生产,500-999人,www.wanlitire.com,2.7,￥5849
广州,汽车,丰铁汽车部件,汽车零部件,100-499人,,5.0,￥3555
广州,汽车,广州市三锦照明电器有限公司,汽车生产,100-499人,,暂无,￥4450
广州,汽车,广州赛鼎汽车配件有限公司,汽车生产,100-499人,www.b2bautopart.com,暂无,￥4100
广州,汽车,广州双叶汽车部件有限公司,汽车零部件,500-999人,,3.0,￥4202
广州,汽车,广州电力机车有限公司,汽车生产,20-99人,,2.8,￥3058
广州,汽车,好快省,汽车生产,www.hks360.com,,4.0,￥4500
广州,汽车,广州市车婆品道汽车用品有限公司,汽车用品,0-20人,www.chepo.com.cn,暂无,￥3899
