地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
广州,生活服务,7天连锁酒店,酒店,10000人以上,www.7daysinn.cn,3.6,￥3335
广州,生活服务,广州市三元麦当劳食品有限公司,餐饮,100-499人,www.mcdonalds.com.cn,3.9,￥2808
广州,生活服务,真功夫餐饮,餐饮,10000人以上,www.zkungfu.com,3.3,￥3350
广州,生活服务,百胜餐饮（广东）有限公司,餐饮,1000-9999人,www.yum.com.cn,3.8,￥4060
广州,生活服务,启德留学,中介服务,1000-9999人,www.eic.org.cn/,3.7,￥4000
广州,生活服务,广之旅海外咨询服务,酒店,20-99人,www.gzl.com.cn,3.4,￥3500
广州,生活服务,百胜餐饮集团必胜客,餐饮,,,3.8,￥3000
广州,生活服务,广州霸王公司,食品/饮料/烟酒/日化,500-999人,www.bawang.com.cn,2.5,￥5510
广州,生活服务,南湖国旅,旅游,1000-9999人,www.nanhutravel.com,2.9,￥3085
广州,生活服务,娇兰佳人化妆品,丽人/美容/美发,100-499人,www.gialen.com,3.4,￥3000
广州,生活服务,喜达屋客户服务中心,娱乐/休闲/体育,,,3.3,￥4000
广州,生活服务,喜达屋集团,娱乐/休闲/体育,,,3.9,￥4500
广州,生活服务,金夫人婚纱摄影,婚庆/摄影,1000-9999人,www.121314.com,3.2,￥4492
广州,生活服务,广州广之旅国际旅行社股份有限公司,旅游,100-499人,www.gzl.com.cn,3.9,￥4000
广州,生活服务,广州香格里拉大酒店,酒店,1000-9999人,www.shangri-la.com,3.9,￥3335
广州,生活服务,广州富力丽思卡尔顿酒店,酒店,20-99人,www.ritzcarlton.com,4.0,￥3045
广州,生活服务,广州富力君悦大酒店,酒店,500-999人,,3.9,￥2244
广州,生活服务,广州必胜客,餐饮,1000-9999人,www.pizzahut.com.cn,3.2,￥2504
广州,生活服务,铂涛酒店集团,酒店,500-999人,www.plateno.cc,3.5,￥3150
广州,生活服务,广州白云国际会议中心,酒店,100-499人,www.gzbicc.com,2.6,￥3278
广州,生活服务,广州花园酒店,酒店,1000-9999人,www.thegardenhotel.com.cn/cn/home.php,3.3,￥3000
广州,生活服务,广州长隆酒店,酒店,500-999人,www.chimelonghotel.com,3.8,￥2576
广州,生活服务,恒大酒店管理集团,酒店,,,3.1,￥5000
广州,生活服务,都城快餐,餐饮,500-999人,www.dcyz.com,4.0,￥3019
广州,生活服务,哎呀呀饰品连锁,丽人/美容/美发,100-499人,www.aiyaya.com,3.3,￥3450
广州,生活服务,广州九龙玖餐饮管理有限公司,餐饮,www.jiuwo.hk,,暂无,￥5000
广州,生活服务,九毛九,餐饮,1000-9999人,www.jiumaojiu.com,2.7,￥2904
广州,生活服务,广州长隆水上乐园,娱乐/休闲/体育,www.chimelong.com,,3.9,￥3300
广州,生活服务,AVON,丽人/美容/美发,,,3.0,￥8734
广州,生活服务,长隆欢乐世界,娱乐/休闲/体育,,,3.8,￥2373
广州,生活服务,铂涛酒店管理(深圳)有限公司,酒店,0-20人,www.plateno.com,暂无,￥9374
广州,生活服务,广州爱奇实业有限公司,娱乐/休闲/体育,100-499人,www.actcorp.cn,3.0,￥3625
广州,生活服务,赛威斯,外包服务,20-99人,www.gzsws.com,5.0,￥3262
广州,生活服务,美心西饼,餐饮,1000-9999人,www.meixincakes.com.cn/,3.5,￥2450
广州,生活服务,广州星巴克股份有限公司,餐饮,1000-9999人,www.starbucks.cn,4.2,￥2700
广州,生活服务,丹姿化妆品国际集团,丽人/美容/美发,20-99人,,3.0,￥4353
广州,生活服务,广州长隆集团,娱乐/休闲/体育,500-999人,,3.2,￥3500
广州,生活服务,广州酒家,酒店,,,3.3,￥2922
广州,生活服务,广东中旅移民,中介服务,100-499人,www.gdctsvisa.com,2.9,￥4000
广州,生活服务,辛巴达旅行网,酒店,1000-9999人,www.sinbad.com.cn,3.2,￥4987
广州,生活服务,温雅化妆品,丽人/美容/美发,100-499人,,2.5,￥4419
