地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
广州,能源/化工/环保,南方电网,电力/水利,1000-9999人,www.csg.cn,3.7,￥5075
广州,能源/化工/环保,粤电集团,电力/水利,1000-9999人,www.gdyd.com,3.6,￥5510
广州,能源/化工/环保,广东北电,电力/水利,500-999人,www.gdnt.com.cn,4.1,￥13600
广州,能源/化工/环保,广东火电工程总公司,石油/石化/化工,100-499人,www.gpec.cn,3.1,￥5445
广州,能源/化工/环保,广州智光电气股份有限公司,电力/水利,1000-9999人,www.gzzg.com.cn,3.6,￥4770
广州,能源/化工/环保,广东水电二局,电力/水利,100-499人,www.gdsdej.com,2.8,￥4350
广州,能源/化工/环保,广东电网,电力/水利,1000-9999人,www.gd.csg.cn,4.0,￥4561
广州,能源/化工/环保,汉能光伏,电力/水利,20-99人,,3.4,￥5332
广州,能源/化工/环保,广州慧谷化学有限公司,石油/石化/化工,100-499人,www.humanchem.com,3.3,￥4200
广州,能源/化工/环保,亨斯迈先进化工材料(广东)有限公司,石油/石化/化工,500-999人,,3.8,￥5676
广州,能源/化工/环保,广东银禧科技有限公司,石油/石化/化工,20-99人,,4.0,￥5000
广州,能源/化工/环保,广州立邦涂料有限公司,石油/石化/化工,,,3.6,￥5220
广州,能源/化工/环保,广州供电局,电力/水利,100-499人,www.guangzhou.csg.cn,3.8,￥6546
广州,能源/化工/环保,广州诺拜因化工有限公司,石油/石化/化工,100-499人,www.nobein.cn,3.3,￥7200
广州,能源/化工/环保,四川鑫达企业集团,石油/石化/化工,0-20人,,3.3,￥4350
广州,能源/化工/环保,广州天赐高新材料股份有限公司,石油/石化/化工,100-499人,www.tinci.com,3.6,￥4680
广州,能源/化工/环保,广州泓宇电气有限公司,新能源(太阳能/风能),100-499人,www.winiversal.com,4.0,￥2350
广州,能源/化工/环保,广日电气,电力/水利,500-999人,,3.3,￥4620
广州,能源/化工/环保,广东省电力设计研究院,学术/科研,1000-9999人,gedi.eyongdian.com/company/homepage/index.php,4.2,￥10648
广州,能源/化工/环保,喜威（中国）投资有限公司,石油/石化/化工,1000-9999人,www.xiweigas.com,4.1,￥5500
