地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
广州,金融,汇丰环球客户服务（广东）有限公司,银行,10000人以上,www.hsbcglobalresourcing.com,3.6,￥4000
广州,金融,广发银行,银行,1000-9999人,www.cgbchina.com.cn,3.5,￥5220
广州,金融,广发证券,证券,1000-9999人,www.gf.com.cn,4.1,￥3150
广州,金融,广发银行信用卡,银行,1000-9999人,card.cgbchina.com.cn,3.3,￥4497
广州,金融,广发信用卡中心,银行,10000人以上,www.cgbchina.com.cn,3.4,￥4200
广州,金融,广电运通/GRGBanking,,1000-9999人,www.grgbanking.com,3.3,￥6666
广州,金融,信诚人寿保险北京分公司,保险,1000-9999人,,3.4,￥5227
广州,金融,广州农商银行,银行,500-999人,www.grcbank.com/index.html,3.6,￥4451
广州,金融,广州银行,银行,500-999人,www.gzcb.com.cn,3.3,￥5940
广州,金融,广东珠江投资有限公司,投资/融资,100-499人,www.gdpr.com/main.php,3.6,￥7290
广州,金融,舜鼎资产,银行,500-999人,cngzsd.com,3.0,￥8249
广州,金融,广州证券,证券,100-499人,www.gzs.com.cn,3.9,￥3625
广州,金融,广州宇轩投资管理有限公司,投资/融资,100-499人,,2.7,￥6350
广州,金融,港澳资讯产业股份有限公司,基金,1000-9999人,www.gazx.com,3.2,￥6036
广州,金融,友邦资讯科技（广州）有限公司,保险,100-499人,www.aia.com/zh-hk/index.html,4.0,￥5902
广州,金融,广州银行信用卡中心,银行,1000-9999人,www.gzcb.com.cn,3.3,￥5000
广州,金融,农信社,银行,,,4.0,￥4842
广州,金融,启沃石油,投资/融资,100-499人,www.qhqiwo.com,4.7,￥4030
广州,金融,广汽金融,银行,100-499人,www.gacsofinco.com/,3.9,￥3292
广州,金融,汇丰环球营运中心,金融,1000-9999人,www.hsbc.com,4.0,￥3550
广州,金融,万联证券,证券,1000-9999人,www.wlzq.com.cn,3.0,￥3401
广州,金融,广发基金管理有限公司,基金,500-999人,www.gffunds.com.cn,4.6,￥2000
广州,金融,浦发银行广州分行,银行,10000人以上,www.spdb.com.cn,4.1,￥4000
广州,金融,广东麦谷投资管理有限公司,投资/融资,100-499人,www.maiguh.com,2.0,￥2450
广州,金融,广州农商行,银行,1000-9999人,,4.2,￥7496
广州,金融,安联全球救援公司,保险,1000-9999人,www.allianz-assistance.com.cn/cn/,4.1,￥3145
