地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
深圳,专业服务,CTI华测检测有限公司,检测/认证,100-499人,www.cti-cert.com,3.6,￥5056
深圳,专业服务,晨星资讯,咨询,100-499人,cn.morningstar.com,3.7,￥6804
深圳,专业服务,深圳必维华法商品检定有限公司,检测/认证,100-499人,bvdavidliang.cn.china.cn,3.5,￥3828
深圳,专业服务,华测检测,检测/认证,1000-9999人,,3.4,￥4820
深圳,专业服务,立信大华会计师事务所,财务/审计/税务,20-99人,www.bdo-dahua.com,3.7,￥5000
深圳,专业服务,利丰采购管理,咨询,20-99人,www.lifung.com,3.7,￥6600
深圳,专业服务,天职国际,咨询,100-499人,www.tzcpa.com,4.2,￥4640
深圳,专业服务,问鼎资讯,咨询,500-999人,www.wunding.com,3.1,￥6600
深圳,专业服务,翰威特咨询公司,咨询,20-99人,www.hewittassociates.com,4.3,￥7967
深圳,专业服务,家家顺控股集团,地产经纪/中介,10000人以上,www.jjshome.com,3.9,￥6000
深圳,专业服务,泽林信息,IT培训,100-499人,www.zelininfo.com,4.2,￥7000
深圳,专业服务,深圳市前瞻商业资讯有限公司,咨询,100-499人,www.qianzhan.com.cn,3.2,￥6000
深圳,专业服务,深圳赛普管理咨询,咨询,100-499人,www.chinasap.cn,4.1,￥7811
深圳,专业服务,深圳BV检测公司,检测/认证,20-99人,,3.5,￥5365
深圳,专业服务,深圳市银雁金融配套服务有限公司,外包服务,20-99人,www.cfss.net.cn/,3.0,￥2800
深圳,专业服务,深圳市劲草人才信息咨询服务有限公司,人才服务,www.jincaohr.com,,暂无,￥4400
深圳,专业服务,深圳市中旭企业管理顾问有限公司,财务/审计/税务,100-499人,www.zxwestpoint.com,4.7,￥4620
深圳,专业服务,深圳市润迅电话商务有限公司,人才服务,1000-9999人,www.95803.com,3.0,￥3993
深圳,专业服务,深圳鹏城会计师事务所,财务/审计/税务,20-99人,,3.0,￥4350
深圳,专业服务,深圳市君锐人力资源咨询有限公司,人才服务,0-20人,www.chinajunrui.com,3.7,￥6400
深圳,专业服务,展动力人才资讯(中国)有限公司,人才服务,100-499人,www.zdlchina.com,3.4,￥5000
深圳,专业服务,深圳问鼎咨询有限公司,咨询,20-99人,www.wunding.com,3.0,￥7322
深圳,专业服务,碧博格尔,人才服务,20-99人,szsbbgerlzy531.qt01.com/,4.7,￥8000
深圳,专业服务,深圳远界管理咨询公司,咨询,20-99人,www.szfore.com,4.1,￥3000
深圳,专业服务,深圳航训人力资源信息咨询有限公司,人才服务,20-99人,,5.0,￥0
深圳,专业服务,穆迪信息咨询（深圳）有限公司,咨询,500-999人,www.moodys.com/,3.8,￥11500
深圳,专业服务,安姆特检测机构,检测/认证,100-499人,www.aovt.com,3.0,￥3697
深圳,专业服务,深圳市科略企业管理顾问有限公司,咨询,100-499人,www.kelue.net,暂无,￥4400
深圳,专业服务,狄邦教育管理集团,学术/科研,20-99人,www.dipont.com,4.0,￥5110
深圳,专业服务,亚检产品质量检验(深圳)有限公司,检测/认证,1000-9999人,www.asiainspection.com,3.0,￥5000
深圳,专业服务,棋硕国际物流人才服务中心,人才服务,www.56hr.net,,暂无,￥4000
深圳,专业服务,深圳鹏劳人力资源公司,人才服务,,,3.5,￥5200
深圳,专业服务,欧顾得,咨询,20-99人,www.ogood.com.cn,4.0,￥7240
深圳,专业服务,深圳市紫荆博商管理科学研究院,财务/审计/税务,500-999人,www.tsinghua-sz.net,暂无,￥4400
深圳,专业服务,tuv sud,检测/认证,1000-9999人,www.tuv-sud.cn,2.0,￥7950
深圳,专业服务,鹏元资信评估有限公司,咨询,20-99人,www.pyrating.cn,4.3,￥9000
深圳,专业服务,广东国晖律师事务所,法律,www.sunlawyers.com,,3.1,￥3532
深圳,专业服务,易道,咨询,100-499人,www.edfadesign.com/index.html,3.4,￥4910
深圳,专业服务,深圳市逸马管理顾问有限公司,财务/审计/税务,20-99人,www.fh01.com,3.5,￥4485
深圳,专业服务,深圳市鹏源企业管理咨询有限公司,财务/审计/税务,1000-9999人,www.szpylogin2.com,1.0,￥11124
深圳,专业服务,深圳市华燊人力资源有限公司,人才服务,20-99人,www.sztophs.com,5.0,￥0
深圳,专业服务,好博译翻译,翻译,20-99人,www.giltbridge.com,2.8,￥4829
深圳,专业服务,甫瀚咨询（上海）有限公司深圳,咨询,100-499人,www.protiviti.cn,4.0,￥11220
深圳,专业服务,深圳大华会计师事务所,财务/审计/税务,,,3.3,￥4356
深圳,专业服务,赛施奇（北京）咨询有限公司,财务/审计/税务,100-499人,www.sesame-group.com,3.6,￥14520
深圳,专业服务,深圳市网蓝人才咨询有限公司,人才服务,www.bluenet.com.cn,,暂无,￥6375
深圳,专业服务,深圳市宝测达科技有限公司,检测/认证,100-499人,www.poce-cert.com,4.0,￥3000
深圳,专业服务,韬睿惠悦企业管理咨询（深圳）有限公司,财务/审计/税务,20-99人,www.towerswatson.com,4.4,￥5075
深圳,专业服务,深圳市比蓝翻译有限公司,翻译,100-499人,www.brighttrans.com,3.3,￥6250
深圳,专业服务,科锐福克斯人才顾问有限公司,云计算/大数据,100-499人,,3.4,￥5200
深圳,专业服务,深圳市方略汇企业管理顾问有限公司,财务/审计/税务,20-99人,,暂无,￥11249
深圳,专业服务,深圳市威能商务咨询有限公司,咨询,20-99人,,3.4,￥4000
深圳,专业服务,深圳市盛世融通金融配套服务有限公司,外包服务,20-99人,,暂无,￥4300
深圳,专业服务,深圳三和盛科技有限公司,人才服务,20-99人,13642467634.bmt.bqqm.com/,3.5,￥3993
深圳,专业服务,深圳迪博,咨询,100-499人,,3.6,￥6864
深圳,专业服务,前瞻资讯,咨询,100-499人,www.qianzhan.com,3.8,￥5008
深圳,专业服务,深圳市晟邦设计咨询有限公司,财务/审计/税务,20-99人,,1.0,￥9062
深圳,专业服务,深圳市勘察测绘院有限公司,检测/认证,100-499人,www.shenkan.com.cn,2.8,￥4870
深圳,专业服务,深圳市飞朗斯管理咨询有限公司,财务/审计/税务,20-99人,,暂无,￥8300
深圳,专业服务,深劳人力资源,人才服务,www.shenlaohr.com,,2.8,￥5748
深圳,专业服务,前瞻网,咨询,100-499人,www.qianzhan.com,4.5,￥10786
深圳,专业服务,一达通,外包服务,500-999人,onetouch.alibaba.com,1.0,￥8000
深圳,专业服务,深圳一览网络股份有限公司,咨询,500-999人,,3.2,￥3587
深圳,专业服务,深圳市红中企业管理咨询有限公司,咨询,100-499人,www.hz-china.com.cn,5.0,￥15180
深圳,专业服务,科锐达咨询（深圳）有限公司,咨询,20-99人,,3.0,￥11600
