地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
深圳,交通/贸易/物流 ,顺丰速运,物流/仓储,10000人以上,,3.8,￥4000
深圳,交通/贸易/物流 ,深圳航空有限责任公司,交通/运输,10000人以上,www.shenzhenair.com,3.5,￥6000
深圳,交通/贸易/物流 ,中集融资租赁有限公司（中集租赁）,银行,10000人以上,capital.cimc.com/,3.3,￥5365
深圳,交通/贸易/物流 ,深圳地铁,交通/运输,1000-9999人,www.szmc.net,3.8,￥5100
深圳,交通/贸易/物流 ,马士基物流,物流/仓储,10000人以上,,3.8,￥5530
深圳,交通/贸易/物流 ,深圳传音控股股份有限公司,电子/半导体/集成电路,10000人以上,www.transsion.com/,3.6,￥7000
深圳,交通/贸易/物流 ,卡西欧,贸易/进出口,500-999人,www.casio.com.cn,3.7,￥5727
深圳,交通/贸易/物流 ,深圳华南城,物流/仓储,1000-9999人,www.1668hk.com,3.1,￥4740
深圳,交通/贸易/物流 ,日通国际物流,物流/仓储,500-999人,,3.4,￥3960
深圳,交通/贸易/物流 ,地中海航运,交通/运输,1000-9999人,,3.5,￥4423
深圳,交通/贸易/物流 ,深圳机场,交通/运输,1000-9999人,www.szairport.com,2.9,￥5004
深圳,交通/贸易/物流 ,盐田国际,交通/运输,500-999人,www.yict.com.cn,2.7,￥8332
深圳,交通/贸易/物流 ,招商局物流集团有限公司,交通/运输,100-499人,www.cml-1872.com,3.3,￥3833
深圳,交通/贸易/物流 ,港铁深圳,交通/运输,500-999人,www.mtrsz.com.cn/chi/,3.7,￥5456
深圳,交通/贸易/物流 ,顺丰航空,物流/仓储,100-499人,www.sf-airlines.com/sfa/zh/index.html,4.0,￥5900
深圳,交通/贸易/物流 ,嘉宏国际运输代理有限公司,交通/运输,500-999人,www.cargofe.com,3.1,￥4200
深圳,交通/贸易/物流 ,深圳地铁集团运营分公司,交通/运输,500-999人,www.szmc.net,3.0,￥5075
深圳,交通/贸易/物流 ,深圳价之链跨境电商股份有限公司,贸易/进出口,20-99人,www.valuelinkcorp.com,2.9,￥2640
深圳,交通/贸易/物流 ,深圳市河泰源贸易有限公司,贸易/进出口,100-499人,,3.1,￥6250
深圳,交通/贸易/物流 ,深圳顺丰速运公司,交通/运输,20-99人,,3.7,￥5350
深圳,交通/贸易/物流 ,海格物流,物流/仓储,1000-9999人,www.hercules-logistics.com/,3.4,￥4781
深圳,交通/贸易/物流 ,深圳巴士集团,交通/运输,10000人以上,www.szbus.com.cn,3.0,￥4740
深圳,交通/贸易/物流 ,南方中集,交通/运输,500-999人,,3.3,￥5401
深圳,交通/贸易/物流 ,深圳市有信达物流集团有限公司,交通/运输,1000-9999人,www.56100.com,3.4,￥3711
深圳,交通/贸易/物流 ,递四方速递有限公司,交通/运输,100-499人,www.4px.cc,3.5,￥4000
深圳,交通/贸易/物流 ,有棵树公司,贸易/进出口,1000-9999人,www.youkeshu.com,3.1,￥4500
深圳,交通/贸易/物流 ,深圳市骏腾辉煌国际货运代理有限公司,物流/仓储,100-499人,www.szjthh.com,5.0,￥0
深圳,交通/贸易/物流 ,深圳市朗华供应链服务有限公司,贸易/进出口,100-499人,www.cbscs.com,3.4,￥5000
深圳,交通/贸易/物流 ,达联国际（香港）有限公司,贸易/进出口,,,4.2,￥7000
深圳,交通/贸易/物流 ,锦程国际物流,物流/仓储,20-99人,www.95105556.com,3.0,￥3150
深圳,交通/贸易/物流 ,华运货运代理,交通/运输,100-499人,,3.5,￥3240
深圳,交通/贸易/物流 ,大联大商贸（深圳）有限公司,贸易/进出口,500-999人,www.wpgholdings.com,3.2,￥5000
深圳,交通/贸易/物流 ,深圳市恒路物流有限公司,物流/仓储,20-99人,www.e-henglu.com,2.7,￥3400
深圳,交通/贸易/物流 ,深圳地铁三号线有限公司,交通/运输,1000-9999人,,3.0,￥5060
深圳,交通/贸易/物流 ,华远国际物流,物流/仓储,20-99人,,3.0,￥3775
深圳,交通/贸易/物流 ,广深铁路股份公司,交通/运输,1000-9999人,www.gsrc.com,3.4,￥5346
深圳,交通/贸易/物流 ,棋硕国际物流人才服务中心,人才服务,www.56hr.net,,暂无,￥4000
深圳,交通/贸易/物流 ,深圳市越海全球物流有限公司,物流/仓储,100-499人,www.yhglobal.com,3.3,￥4060
深圳,交通/贸易/物流 ,蛇口集装箱码头有限公司,交通/运输,www.sctcn.com,,3.7,￥6100
深圳,交通/贸易/物流 ,优速快递,物流/仓储,10000人以上,www.uc56.com/,2.8,￥3900
深圳,交通/贸易/物流 ,深圳中电投资股份有限公司,贸易/进出口,100-499人,www.cesz.net,4.2,￥6170
深圳,交通/贸易/物流 ,深圳市友和道通实业有限公司,交通/运输,100-499人,www.uni-top.com,2.9,￥6000
深圳,交通/贸易/物流 ,深圳市华富洋供应链有限公司,交通/运输,100-499人,www.hopesea.cc,2.0,￥6000
深圳,交通/贸易/物流 ,华运物流,物流/仓储,500-999人,www.cntrans.cn,2.8,￥3696
深圳,交通/贸易/物流 ,深圳市鹏城海物流有限公司,物流/仓储,100-499人,www.cityocean.com,3.8,￥3722
深圳,交通/贸易/物流 ,深圳市华鹏飞现代物流股份有限公司,物流/仓储,500-999人,www.huapengfei.com,暂无,￥2450
深圳,交通/贸易/物流 ,深圳长帆国际物流有限公司,物流/仓储,100-499人,www.longsailing.net,3.5,￥3748
深圳,交通/贸易/物流 ,大新华物流,物流/仓储,100-499人,,3.0,￥5393
深圳,交通/贸易/物流 ,银基贸易发展(深圳)有限公司,贸易/进出口,100-499人,,2.4,￥4742
深圳,交通/贸易/物流 ,创捷供应链,贸易/进出口,100-499人,www.ssjet.com.cn,4.3,￥6120
深圳,交通/贸易/物流 ,中联理货有限公司,交通/运输,500-999人,www.chinatally.com.cn,暂无,￥4016
深圳,交通/贸易/物流 ,深圳市东方嘉盛供应链股份有限公司,交通/运输,500-999人,www.easttop.com.cn,3.8,￥3733
深圳,交通/贸易/物流 ,深圳市韵达速递有限公司,交通/运输,0-20人,www.yundaex.com/,4.0,￥6500
深圳,交通/贸易/物流 ,深圳华鹏飞物流公司,交通/运输,20-99人,www.huapengfei.com,3.7,￥3018
深圳,交通/贸易/物流 ,深圳新科安达后勤保障有限公司,物流/仓储,20-99人,www.st-anda.com,暂无,￥4084
深圳,交通/贸易/物流 ,达能益力贸易（深圳）有限公司,贸易/进出口,500-999人,www.healthcn.com,3.4,￥5147
深圳,交通/贸易/物流 ,广东新邦运输服务有限公司,交通/运输,100-499人,,2.8,￥4153
深圳,交通/贸易/物流 ,深圳东部公交公司,交通/运输,10000人以上,www.szebus.net,1.2,￥4820
深圳,交通/贸易/物流 ,Maersk Line,交通/运输,,,4.3,￥7250
深圳,交通/贸易/物流 ,深圳速恒电子有限公司,贸易/进出口,100-499人,gswz.etbuying.com,5.0,￥4500
深圳,交通/贸易/物流 ,深圳市华商联物流报关有限公司,物流/仓储,100-499人,www.hslwl.net,4.3,￥6557
深圳,交通/贸易/物流 ,深圳永信国际物流,物流/仓储,100-499人,eversince.cn.china.cn,2.7,￥3933
深圳,交通/贸易/物流 ,东海航空,交通/运输,100-499人,,2.8,￥4200
深圳,交通/贸易/物流 ,安士澳贸易(深圳)有限公司,贸易/进出口,20-99人,www.ellsworth.com.cn,4.5,￥8700
深圳,交通/贸易/物流 ,MOL,交通/运输,20-99人,,4.3,￥5393
深圳,交通/贸易/物流 ,世纪冠航国际货运代理（深圳）有限公司,交通/运输,www.cds-net.com,,4.5,￥3025
深圳,交通/贸易/物流 ,深圳市一达通企业服务有限公司,贸易/进出口,500-999人,www.1-t.cn,3.1,￥5324
深圳,交通/贸易/物流 ,深圳市鼎汇商贸有限公司,贸易/进出口,,,暂无,￥9166
深圳,交通/贸易/物流 ,金大福珠宝,贸易/进出口,1000-9999人,www.kingtaifook.com,2.0,￥4370
深圳,交通/贸易/物流 ,深圳市香蕉科技有限公司,贸易/进出口,20-99人,www.szimp3.com,5.0,￥2916
深圳,交通/贸易/物流 ,百朗商贸(深圳)有限公司,贸易/进出口,20-99人,,2.0,￥4338
深圳,交通/贸易/物流 ,嘉顿(中国)食品贸易有限公司,贸易/进出口,20-99人,,2.7,￥4280
深圳,交通/贸易/物流 ,深圳市快运通物流有限公司,物流/仓储,20-99人,www.kyt56.com,2.5,￥2842
深圳,交通/贸易/物流 ,深圳市跨越物流,电子/通信/硬件,1000-9999人,www.ky-express.com/,3.8,￥3950
深圳,交通/贸易/物流 ,深圳市益嘉物流有限公司,物流/仓储,20-99人,yijialogistics.net/,暂无,￥3762
深圳,交通/贸易/物流 ,平安达快递,物流/仓储,100-499人,,3.0,￥5502
深圳,交通/贸易/物流 ,腾邦集团,交通/运输,500-999人,www.tempus.cn,3.1,￥5900
深圳,交通/贸易/物流 ,深圳融禾资源科技有限公司,贸易/进出口,20-99人,www.harvestresource.cn,暂无,￥0
深圳,交通/贸易/物流 ,深圳市腾邦物流股份有限公司,物流/仓储,500-999人,,4.0,￥4675
深圳,交通/贸易/物流 ,深圳欧唯特物流服务有限公司,物流/仓储,0-20人,www.arvatologistics.com.cn,3.8,￥9600
深圳,交通/贸易/物流 ,深圳市西部公汽,交通/运输,10000人以上,,3.0,￥4350
深圳,交通/贸易/物流 ,深圳市华展国际物流有限公司,物流/仓储,100-499人,www.sz-patent.com,3.7,￥3625
深圳,交通/贸易/物流 ,深圳市速来宝科技有限公司,交通/运输,100-499人,www.ilockers.cc,暂无,￥12600
深圳,交通/贸易/物流 ,福建酩悦酒业有限公司,贸易/进出口,500-999人,,暂无,￥2450
深圳,交通/贸易/物流 ,深圳市原飞航物流有限公司,物流/仓储,100-499人,www.yfhex.com,2.5,￥3036
深圳,交通/贸易/物流 ,深圳市恒峰货运有限公司,交通/运输,100-499人,www.consharp.com.cn,暂无,￥3675
深圳,交通/贸易/物流 ,深圳市桐鼎泰工程塑胶有限公司,贸易/进出口,100-499人,www.tongdingtai.com,暂无,￥4450
深圳,交通/贸易/物流 ,深航货运有限公司,交通/运输,,,2.5,￥4861
深圳,交通/贸易/物流 ,深圳市金运达国际物流有限公司,物流/仓储,100-499人,www.jydlogistics.com,2.0,￥3120
深圳,交通/贸易/物流 ,深圳市骏威鹏贸易有限公司,贸易/进出口,20-99人,,4.0,￥3993
深圳,交通/贸易/物流 ,深圳市威豹金融押运有限公司,交通/运输,1000-9999人,www.vpower.com.cn,2.3,￥4060
深圳,交通/贸易/物流 ,深圳市东部公共交通有限公司,交通/运输,1000-9999人,,1.0,￥3990
深圳,交通/贸易/物流 ,深圳方大公司,贸易/进出口,100-499人,www.szfodrex.com,5.0,￥6425
深圳,交通/贸易/物流 ,深圳市长帆国际物流有限公司上海分公司,物流/仓储,,,3.0,￥2662
深圳,交通/贸易/物流 ,法国达飞轮船,交通/运输,0-20人,,4.1,￥5650
深圳,交通/贸易/物流 ,恒路物流,物流/仓储,1000-9999人,,2.4,￥3085
深圳,交通/贸易/物流 ,深圳市弈杺经贸有限公司,贸易/进出口,0-20人,,5.0,￥16000
深圳,交通/贸易/物流 ,深圳市德邦物流有限公司,物流/仓储,100-499人,www.deppon.com,3.1,￥3688
深圳,交通/贸易/物流 ,深圳市亮点源电子科技有限公司,贸易/进出口,20-99人,www.ldy114.com,暂无,￥4300
深圳,交通/贸易/物流 ,深圳市鸿杰龙供应链管理有限公司,交通/运输,100-499人,,暂无,￥10888
