地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
深圳,广告/传媒/文化,天威视讯,文化/艺术/出版,100-499人,www.topway.com.cn,3.6,￥4350
深圳,广告/传媒/文化,21世纪经济报道,影视/媒体,500-999人,www.21cbh.com,4.3,￥7875
深圳,广告/传媒/文化,锋镝传媒,影视/媒体,100-499人,www.discoversources.com,3.7,￥3500
深圳,广告/传媒/文化,深圳广电集团,影视/媒体,100-499人,www.sztv.com.cn,3.9,￥6186
深圳,广告/传媒/文化,现代教育国际集团有限公司,影视/媒体,500-999人,www.xiandaiedu.com.cn/cn/index.aspx,2.3,￥2600
深圳,广告/传媒/文化,华视传媒,广告/公关/会展,1000-9999人,www.visionchina.tv,3.1,￥5484
深圳,广告/传媒/文化,深圳环球数码媒体科技有限公司,影视/媒体,100-499人,sz.gdc-world.com,3.1,￥4590
深圳,广告/传媒/文化,新锐互动,广告/公关/会展,100-499人,www.vc111.cn,1.3,￥7875
深圳,广告/传媒/文化,深圳邦德文化,影视/媒体,100-499人,,3.3,￥4629
深圳,广告/传媒/文化,亚太传媒,广告/公关/会展,1000-9999人,www.asia-media.cn,2.6,￥4350
深圳,广告/传媒/文化,深圳天娱盛世影视文化传播有限公司,影视/媒体,100-499人,,2.4,￥3890
深圳,广告/传媒/文化,深圳报业集团,文化/艺术/出版,500-999人,www.sznews.com,3.2,￥7112
深圳,广告/传媒/文化,东信时代,广告/公关/会展,500-999人,www.donson.com.cn,3.5,￥4799
深圳,广告/传媒/文化,星百年文化传媒,影视/媒体,20-99人,www.cnmovie.tv/,4.0,￥8498
深圳,广告/传媒/文化,深圳市慧虎文化传播有限公司,广告/公关/会展,20-99人,www.huihubuy.com,5.0,￥0
深圳,广告/传媒/文化,深圳市新华商智文化发展有限公司,影视/媒体,500-999人,www.xhgsb.com,4.3,￥4011
深圳,广告/传媒/文化,深圳梦腾飞文化传媒有限公司,影视/媒体,20-99人,www.mtfcm.com,5.0,￥0
深圳,广告/传媒/文化,深圳市创兴达文化传播有限公司,影视/媒体,0-20人,WWW.CXDWH.COM,4.2,￥8500
深圳,广告/传媒/文化,元隆雅图,广告/公关/会展,100-499人,ylyt.webworld.cn,3.7,￥4370
深圳,广告/传媒/文化,星百年影视传媒有限公司,影视/媒体,20-99人,www.szxbn.com,2.8,￥4500
深圳,广告/传媒/文化,风火广告,广告/公关/会展,100-499人,www.flahalo.com,3.7,￥7260
深圳,广告/传媒/文化,深圳广播电影电视集团,影视/媒体,500-999人,www.szmg.com.cn,3.3,￥7000
深圳,广告/传媒/文化,文化传播公司,影视/媒体,0-20人,,暂无,￥5177
深圳,广告/传媒/文化,聚橙网,广告/公关/会展,100-499人,www.juooo.com,2.7,￥4350
深圳,广告/传媒/文化,深圳市星纺文化传播有限公司,影视/媒体,20-99人,www.hxgxfilm.com,5.0,￥0
深圳,广告/传媒/文化,龙帆传媒,广告/公关/会展,500-999人,www.longfanmedia.com,3.5,￥3600
深圳,广告/传媒/文化,深圳市图派科技有限公司,广告/公关/会展,100-499人,www.toprand.com,3.0,￥6750
深圳,广告/传媒/文化,深圳市麦田映像文化传播有限公司,影视/媒体,100-499人,www.love-99.com,暂无,￥4250
深圳,广告/传媒/文化,深圳金一文化发展有限公司,影视/媒体,,,4.0,￥9652
深圳,广告/传媒/文化,深圳市好莱坞影视发展有限公司,影视/媒体,20-99人,www.hoolw.com,5.0,￥3769
深圳,广告/传媒/文化,深圳市同为数码科技有限公司,影视/媒体,500-999人,www.tvt.net.cn,2.9,￥7000
深圳,广告/传媒/文化,创世纪公司,影视/媒体,20-99人,,3.3,￥3500
深圳,广告/传媒/文化,深圳名雕装饰公司,影视/媒体,100-499人,www.mingdiao.com.cn,2.0,￥5094
深圳,广告/传媒/文化,深圳市美兰媄传媒科技有限公司,影视/媒体,20-99人,www.mlmya.com,5.0,￥5000
深圳,广告/传媒/文化,深圳市雅乐荟投资发展有限公司,影视/媒体,100-499人,www.yeller.com.cn,1.0,￥2400
深圳,广告/传媒/文化,深圳科讯数码有限公司,影视/媒体,20-99人,,2.0,￥5300
深圳,广告/传媒/文化,深圳市世纪樱花实业有限公司,广告/公关/会展,20-99人,www.hksakura.com,4.0,￥5970
深圳,广告/传媒/文化,深圳宏博昌荣影视传媒有限公司,影视/媒体,0-20人,,暂无,￥4062
深圳,广告/传媒/文化,深圳市浩煌广告有限公司,广告/公关/会展,100-499人,www.haohuang.com.cn,暂无,￥4300
深圳,广告/传媒/文化,深圳市亿科思奇广告有限公司,广告/公关/会展,100-499人,,5.0,￥8000
深圳,广告/传媒/文化,证券时报,证券,100-499人,www.p5w.net,4.0,￥9609
深圳,广告/传媒/文化,伊飒尔,影视/媒体,20-99人,www.isaruid.com,1.0,￥8000
深圳,广告/传媒/文化,深圳市合泰文化发展有限公司,影视/媒体,100-499人,www.hetaionline.com,暂无,￥5866
深圳,广告/传媒/文化,香港文汇报,文化/艺术/出版,100-499人,wenweipo.com,3.6,￥3950
深圳,广告/传媒/文化,深圳卫视,影视/媒体,100-499人,,4.5,￥6288
深圳,广告/传媒/文化,深圳市千江水文化发展有限公司,广告/公关/会展,0-20人,www.trculture.com,4.0,￥4262
深圳,广告/传媒/文化,深圳东方飞龙文化传媒有限公司,广告/公关/会展,100-499人,www.szdffl.cn,5.0,￥5500
深圳,广告/传媒/文化,深圳市壹加壹广告有限公司,广告/公关/会展,20-99人,,5.0,￥5350
深圳,广告/传媒/文化,深圳书城,文化/艺术/出版,1000-9999人,www.szbookmall.com,2.8,￥3538
深圳,广告/传媒/文化,深圳市赛野展览展示有限公司,广告/公关/会展,www.shinechina.com,,暂无,￥5500
深圳,广告/传媒/文化,深圳书城培训中心,其他技能培训,100-499人,www.bctedu.com,3.0,￥4350
深圳,广告/传媒/文化,财华社,影视/媒体,100-499人,www.finet.hk,3.3,￥6600
深圳,广告/传媒/文化,深圳市昂驰动画设计有限公司,影视/媒体,0-20人,www.antsanimation.com,暂无,￥5374
深圳,广告/传媒/文化,深圳全媒通文化传播有限公司,影视/媒体,100-499人,www.qmtmedia.com,暂无,￥4450
深圳,广告/传媒/文化,深圳市艾摄文化传播有限公司,广告/公关/会展,20-99人,www.icolorcn.com,暂无,￥4891
深圳,广告/传媒/文化,深圳商报,文化/艺术/出版,100-499人,www.sznews.com.cn/szsb/,2.7,￥6196
深圳,广告/传媒/文化,深圳电视台,影视/媒体,500-999人,www.sztv.com.cn,3.0,￥7970
深圳,广告/传媒/文化,深圳瑞宝通科技有限公司,影视/媒体,0-20人,,5.0,￥5969
深圳,广告/传媒/文化,深圳特区报,文化/艺术/出版,1000-9999人,www.sznews.com,3.0,￥7250
深圳,广告/传媒/文化,深圳市诺贝尔文化发展有限公司,广告/公关/会展,www.nobel-center.com,,暂无,￥2400
深圳,广告/传媒/文化,天域纵横,影视/媒体,0-20人,www.tzcn.com.cn,暂无,￥20281
深圳,广告/传媒/文化,深圳市高工产业研究有限公司,影视/媒体,100-499人,www.gg-ii.com,4.0,￥7998
深圳,广告/传媒/文化,深圳丝路数字视觉股份有限公司,广告/公关/会展,1000-9999人,www.silkroadcg.com/,3.2,￥8000
深圳,广告/传媒/文化,深圳会展中心,广告/公关/会展,20-99人,,4.0,￥3480
深圳,广告/传媒/文化,深圳市中世纵横设计有限公司,广告/公关/会展,www.szciga.com.cn,,暂无,￥7884
深圳,广告/传媒/文化,深圳市羽诚天赐传媒有限公司,广告/公关/会展,100-499人,www.tiancicc.com,2.6,￥3674
深圳,广告/传媒/文化,棕榈树,互联网金融,20-99人,www.zongls.cn,暂无,￥4500
深圳,广告/传媒/文化,深圳市时空数码科技有限公司,广告/公关/会展,20-99人,www.chinacg.net,3.4,￥5214
深圳,广告/传媒/文化,雅式展览深圳公司,广告/公关/会展,100-499人,www.adsalecta.com/Publicity/lang-simp/MainPage.aspx,2.6,￥5940
深圳,广告/传媒/文化,深圳佶石数字影像有限公司,影视/媒体,100-499人,,5.0,￥23760
深圳,广告/传媒/文化,深圳市三言堂广告有限公司,影视/媒体,20-99人,,暂无,￥0
深圳,广告/传媒/文化,深圳市巴罗克文化艺术发展有限公司,广告/公关/会展,1000-9999人,www.blk.com.cn,2.8,￥3844
深圳,广告/传媒/文化,博尔思文化传播,影视/媒体,20-99人,,暂无,￥3480
深圳,广告/传媒/文化,深圳华侨城文旅科,影视/媒体,www.octvision.com,,2.7,￥5882
深圳,广告/传媒/文化,深圳市拉菲专属婚礼策划有限公司,影视/媒体,100-499人,www.lafate.net,暂无,￥2500
深圳,广告/传媒/文化,深圳市杨梅红文化,影视/媒体,100-499人,www.ymmart.com,3.3,￥3000
深圳,广告/传媒/文化,深圳市博思堂广告有限公司,广告/公关/会展,20-99人,,3.5,￥6000
深圳,广告/传媒/文化,华强文化科技集团,影视/媒体,,,3.0,￥5775
深圳,广告/传媒/文化,深圳市甲古文包装设计有限公司,影视/媒体,100-499人,,暂无,￥4300
深圳,广告/传媒/文化,深圳市金录资讯广告有限公司,广告/公关/会展,100-499人,www.jl06.com,3.8,￥2900
深圳,广告/传媒/文化,深圳市星桥时代文化传播有限公司,影视/媒体,20-99人,www.genzon.com.cn,4.0,￥4333
深圳,广告/传媒/文化,深圳市中铭智文化发展有限公司,影视/媒体,100-499人,www.zhaoshang88888.com,1.0,￥4375
深圳,广告/传媒/文化,深圳市宏博昌荣广告有限公司,影视/媒体,100-499人,,暂无,￥3993
深圳,广告/传媒/文化,深圳市华巨臣实业有限公司,广告/公关/会展,20-99人,www.goodtea.cc,3.2,￥4850
深圳,广告/传媒/文化,深圳市圣火传媒有限公司,广告/公关/会展,100-499人,www.adhf.net,暂无,￥6400
深圳,广告/传媒/文化,深圳市黑之蛛广告有限公司长沙分公司,广告/公关/会展,20-99人,,3.5,￥4475
深圳,广告/传媒/文化,辣椒传媒,影视/媒体,0-20人,www.luckymedia.com,暂无,￥4350
深圳,广告/传媒/文化,深圳市灵溪广告有限公司,影视/媒体,20-99人,www.richmediacn.com,暂无,￥0
深圳,广告/传媒/文化,深圳市六方金桥展览策划有限公司,广告/公关/会展,20-99人,www.expoking.com,3.0,￥2375
深圳,广告/传媒/文化,深圳市云腾艺术设计有限公司,影视/媒体,,,暂无,￥2475
深圳,广告/传媒/文化,深圳时刻网络传媒有限公司,影视/媒体,20-99人,www.s1979.com,2.5,￥4541
深圳,广告/传媒/文化,华娱卫视,影视/媒体,100-499人,www.cetv.com,3.3,￥6170
深圳,广告/传媒/文化,深圳市环球展览有限公司,广告/公关/会展,20-99人,www.szjbh.net,暂无,￥4450
深圳,广告/传媒/文化,深圳市博远空间文化发展有限公司,影视/媒体,,,暂无,￥6487
深圳,广告/传媒/文化,深圳合纵文化有限公司,影视/媒体,0-20人,www.hezongart.com/,4.0,￥10207
深圳,广告/传媒/文化,深圳丝路数码技术有限公司,影视/媒体,,,暂无,￥10274
深圳,广告/传媒/文化,深圳幸福汇文化发展有限公司,影视/媒体,100-499人,,暂无,￥0
深圳,广告/传媒/文化,深圳寰影传媒有限公司,影视/媒体,20-99人,www.hoviemedia.com,暂无,￥6250
深圳,广告/传媒/文化,深圳市其锐品牌整合传播有限公司,影视/媒体,20-99人,www.brandfootprint.org,暂无,￥0
深圳,广告/传媒/文化,普乐方,影视/媒体,www.playfun.ne,,5.0,￥13375
