地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
深圳,房地产/建筑,万科深圳梅沙教育,院校,100-499人,,4.2,￥7975
深圳,房地产/建筑,世联地产,地产经纪/中介,10000人以上,,3.7,￥5347
深圳,房地产/建筑,中海地产,房地产开发,100-499人,www.cohl.cn,3.8,￥6980
深圳,房地产/建筑,万科地产,房地产开发,10000人以上,www.vanke.com/,4.2,￥5415
深圳,房地产/建筑,佳兆业文化集团,娱乐/休闲/体育,500-999人,www.kaisawh.com/,3.7,￥9170
深圳,房地产/建筑,中建钢构,工程施工,1000-9999人,sstr.cscec.com,3.6,￥5000
深圳,房地产/建筑,招商地产,房地产开发,1000-9999人,www.cmpd.cn,4.0,￥9680
深圳,房地产/建筑,世联行,地产经纪/中介,1000-9999人,www.worldunion.com.cn/,3.4,￥4200
深圳,房地产/建筑,中海物业管理有限公司,物业管理/商业中心,10000人以上,www.copm.com.cn,3.5,￥3478
深圳,房地产/建筑,金地集团,房地产开发,1000-9999人,www.gemdale.com,4.3,￥8245
深圳,房地产/建筑,深圳华强文化科技集团,工程施工,1000-9999人,www.szhq.com,3.3,￥6004
深圳,房地产/建筑,中粮地产,房地产开发,1000-9999人,www.cofco-property.cn,3.6,￥7245
深圳,房地产/建筑,长城物业集团股份有限公司,物业管理/商业中心,10000人以上,www.cc-pg.cn/,3.5,￥3500
深圳,房地产/建筑,中联地产,地产经纪/中介,1000-9999人,www.zldc.cn,3.4,￥3564
深圳,房地产/建筑,金地地产,房地产开发,500-999人,www.gemdale.com,4.3,￥8374
深圳,房地产/建筑,何显毅建筑工程师楼地产发展顾问有限公司,房地产开发,100-499人,www.goujiawang.com,2.0,￥5000
深圳,房地产/建筑,深圳中广核工程设计有限公司,房地产开发,1000-9999人,www.cnpdc.com.cn,4.3,￥9768
深圳,房地产/建筑,家家顺控股集团,地产经纪/中介,10000人以上,www.jjshome.com,3.9,￥6000
深圳,房地产/建筑,王氏港建科技（WKK）,房地产开发,100-499人,,3.2,￥4785
深圳,房地产/建筑,燕加隆实业,房地产开发,500-999人,yekalon111.cn.coovee.net,3.1,￥5000
深圳,房地产/建筑,深圳市建筑设计研究总院,建筑设计,100-499人,www.sadi.com.cn,3.5,￥7110
深圳,房地产/建筑,世华地产,房地产开发,,,3.0,￥3480
深圳,房地产/建筑,深圳市筑博工程设计有限公司,房地产开发,100-499人,,3.6,￥7993
深圳,房地产/建筑,深圳珠江地产,房地产开发,20-99人,sz.zjdc.cn,2.9,￥7946
深圳,房地产/建筑,方大集团,工程施工,1000-9999人,www.fangda.com,2.5,￥5037
深圳,房地产/建筑,深圳市卓越物业,物业管理/商业中心,100-499人,www.excepm.com,3.2,￥4112
深圳,房地产/建筑,家家顺房产交易有限公司,房地产开发,10000人以上,,2.8,￥4000
深圳,房地产/建筑,金地物业管理公司,物业管理/商业中心,100-499人,www.gemdalepm.com,3.2,￥3552
深圳,房地产/建筑,中航地产,房地产开发,1000-9999人,,3.8,￥8700
深圳,房地产/建筑,深圳广田装饰集团股份有限公司,装修装饰,1000-9999人,www.szgt.com,3.9,￥5800
深圳,房地产/建筑,益田集团,房地产开发,500-999人,,4.5,￥7875
深圳,房地产/建筑,深圳市花样年国际物业服务有限公司,物业管理/商业中心,1000-9999人,www.cnfantasia.com,3.6,￥3374
深圳,房地产/建筑,深圳市中海建设监理有限公司,工程施工,0-20人,www.szcob.com,5.0,￥4849
深圳,房地产/建筑,华阳国际,房地产开发,1000-9999人,www.hygj.cn,3.5,￥7920
深圳,房地产/建筑,世纪家兴地产,房地产开发,100-499人,sjjxzp1.58.com.cn,5.0,￥2325
深圳,房地产/建筑,艾奕康咨询（深圳）有限公司,工程施工,20-99人,www.aecom.com,3.7,￥7865
深圳,房地产/建筑,深圳市明喆物业管理有限公司,物业管理/商业中心,1000-9999人,www.mzwg.com,2.4,￥2730
深圳,房地产/建筑,正中投资集团有限公司,房地产开发,1000-9999人,www.genzon.com.cn,2.8,￥10615
深圳,房地产/建筑,深圳市中洲投资控股股份有限公司,房地产开发,1000-9999人,,3.8,￥17000
深圳,房地产/建筑,中国华西企业股份有限公司,房地产开发,500-999人,www.chinahuashi.com.cn/,3.3,￥5316
深圳,房地产/建筑,深圳清华苑建筑设计有限公司,建筑设计,,,4.3,￥11730
深圳,房地产/建筑,惠州大亚湾房地产有限公司,房地产开发,100-499人,,暂无,￥10625
深圳,房地产/建筑,茂业集团,房地产开发,100-499人,www.maoye.com,2.3,￥6320
深圳,房地产/建筑,贝尔高林（深圳）,园林景观,100-499人,www.bcihk.com,3.8,￥6800
深圳,房地产/建筑,刘波设计顾问有限公司,装修装饰,20-99人,www.liu-bo.com,4.5,￥31500
深圳,房地产/建筑,深圳市园林集团有限公司,园林景观,100-499人,,4.5,￥6966
深圳,房地产/建筑,港中旅（中国）投资有限公司,房地产开发,1000-9999人,,暂无,￥4488
深圳,房地产/建筑,深圳市联亚通建筑工程有限公司,工程施工,100-499人,www.lianyatong.com,4.7,￥13977
深圳,房地产/建筑,佳兆业物业管理有限公司,物业管理/商业中心,500-999人,www.jzywy.com/,3.2,￥4245
深圳,房地产/建筑,深圳市瑞华建设股份有限公司,房地产开发,20-99人,www.rhc.com.cn,1.7,￥4000
深圳,房地产/建筑,深圳中海监理有限公司,房地产开发,1000-9999人,,3.5,￥4640
深圳,房地产/建筑,深圳市建筑科学研究院,学术/科研,www.szibr.com,,3.8,￥6335
深圳,房地产/建筑,加拿大奥雅设计,房地产开发,,,3.5,￥5688
深圳,房地产/建筑,深圳都信建设监理有限公司,房地产开发,,,3.3,￥4154
深圳,房地产/建筑,鸿波信息有限公司,房地产开发,100-499人,,3.8,￥8295
深圳,房地产/建筑,深圳建科院,学术/科研,100-499人,,3.6,￥4859
深圳,房地产/建筑,中建二局电力建设有限公司,房地产开发,1000-9999人,,4.0,￥8771
深圳,房地产/建筑,深圳高速工程顾问有限公司,工程施工,100-499人,www.sz-expressway.com,2.8,￥7100
深圳,房地产/建筑,中航物业,物业管理/商业中心,10000人以上,www.cpm.gd.cn,3.0,￥3615
深圳,房地产/建筑,深圳市于强环境艺术设计有限公司,建筑设计,100-499人,www.yuqiang.com,3.0,￥9166
深圳,房地产/建筑,南玻集团,工程施工,10000人以上,www.csgholding.com,2.5,￥6170
深圳,房地产/建筑,深圳市花样年房地产开发有限公司,房地产开发,500-999人,www.cnfantasia.com,4.0,￥7720
深圳,房地产/建筑,东方银座集团,房地产开发,1000-9999人,,2.9,￥7689
深圳,房地产/建筑,深圳市三鑫幕墙工程有限公司,工程施工,20-99人,www.sanxinglass.com,3.8,￥5718
深圳,房地产/建筑,深圳市建工集团股份有限公司,房地产开发,1000-9999人,www.szjgjt.com.cn/,3.2,￥6928
深圳,房地产/建筑,深圳市宝能投资集团有限公司,房地产开发,1000-9999人,www.baoneng.com,2.5,￥6850
深圳,房地产/建筑,卓越置业,房地产开发,100-499人,www.excegroup.com,4.0,￥11455
深圳,房地产/建筑,深圳文科园林股份有限公司,园林景观,500-999人,www.wkyy.com/,3.2,￥4000
深圳,房地产/建筑,深圳大学建筑设计研究院,建筑设计,,,4.0,￥8700
深圳,房地产/建筑,鸿荣源,房地产开发,500-999人,www.chinahoroy.com,4.0,￥4910
深圳,房地产/建筑,深圳市宝鹰建设集团股份有限公司,房地产开发,20-99人,www.szby.cn,3.5,￥5510
深圳,房地产/建筑,龙光集团,房地产开发,500-999人,www.logan.com.cn,2.6,￥6952
深圳,房地产/建筑,深圳市新西林园林景观有限公司,园林景观,www.sedgroup.com,,2.0,￥5790
深圳,房地产/建筑,深圳市比格豪斯建筑装饰工程有限公司,装修装饰,20-99人,,5.0,￥4238
深圳,房地产/建筑,深圳华灏建筑设计有限公司,房地产开发,20-99人,,2.7,￥5500
深圳,房地产/建筑,深圳市金雀山装饰工程有限公司,装修装饰,0-20人,,暂无,￥4250
深圳,房地产/建筑,洪涛股份,装修装饰,20-99人,www.uzhuang.com,3.8,￥6440
深圳,房地产/建筑,深圳戴思乐集团,工程施工,www.j1998.com,,5.0,￥4000
深圳,房地产/建筑,深圳益田,房地产开发,100-499人,,暂无,￥9389
深圳,房地产/建筑,深圳市深装总装饰公司,装修装饰,20-99人,,4.4,￥5000
深圳,房地产/建筑,鸿威地产,房地产开发,,,2.7,￥8700
深圳,房地产/建筑,深圳玉禾田环境事业发展集团有限公司,物业管理/商业中心,20-99人,,暂无,￥4250
深圳,房地产/建筑,海外装饰工程,房地产开发,500-999人,www.szodec.com,3.0,￥6365
深圳,房地产/建筑,尚泰装饰,装修装饰,100-499人,www.stzhs.com,3.0,￥3824
深圳,房地产/建筑,深圳市居隆家居有限公司,装修装饰,1000-9999人,www.jtlhome.com,暂无,￥8325
深圳,房地产/建筑,星河控股集团有限公司,房地产开发,1000-9999人,www.chngalaxy.com/,4.0,￥7488
深圳,房地产/建筑,天山房地产开发有限公司,房地产开发,1000-9999人,www.tscjdyh.com,3.2,￥4500
深圳,房地产/建筑,美联物业代理(深圳)有限公司,房地产开发,10000人以上,www.1200.com.cn,2.8,￥6097
深圳,房地产/建筑,北京中外建建筑设计有限公司深圳分公司,建筑设计,100-499人,www.bccidesign.com,3.3,￥6600
深圳,房地产/建筑,天健集团,房地产开发,1000-9999人,www.tonge.com.cn,4.0,￥5075
深圳,房地产/建筑,深圳市勘察研究院有限公司,学术/科研,500-999人,www.sziri.com/,3.0,￥5292
深圳,房地产/建筑,深圳艾地室内建筑设计有限公司,装修装饰,100-499人,,暂无,￥3500
深圳,房地产/建筑,深圳市世联土地房地产评估有限公司,地产经纪/中介,20-99人,www.worldunion.cn/,3.6,￥4620
深圳,房地产/建筑,彩生活,物业管理/商业中心,20-99人,gw.colourlife.com/,3.3,￥4500
深圳,房地产/建筑,深圳时代装饰股份有限公司,装修装饰,100-499人,www.szstyle.cc,3.6,￥3850
深圳,房地产/建筑,深圳市皇庭房地产开发有限公司,房地产开发,0-20人,,暂无,￥10166
深圳,房地产/建筑,深圳市新城市规划建筑设计有限公司,建筑设计,100-499人,www.nlt.com.cn,3.4,￥4970
深圳,房地产/建筑,国信招标集团有限公司,工程施工,20-99人,,3.9,￥4663
深圳,房地产/建筑,中信物业,物业管理/商业中心,,,2.5,￥3959
深圳,房地产/建筑,深圳市隆塬营销策划有限公司,房地产开发,cr.l8.com.cn,,暂无,￥15103
