地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
深圳,教育/培训,万科深圳梅沙教育,院校,100-499人,,4.2,￥7975
深圳,教育/培训,深圳先进技术研究院,学术/科研,500-999人,www.siat.ac.cn,3.6,￥8109
深圳,教育/培训,深圳大学,院校,10000人以上,www.szu.edu.cn,4.7,￥8000
深圳,教育/培训,天才宝贝教育培训机构,学前教育,500-999人,,3.4,￥3762
深圳,教育/培训,新通留学,外语培训,100-499人,www.igo.cn,3.6,￥4000
深圳,教育/培训,深圳光启高等理工研究院,学术/科研,100-499人,www.kuang-chi.org,3.3,￥9000
深圳,教育/培训,泽林信息,IT培训,100-499人,www.zelininfo.com,4.2,￥7000
深圳,教育/培训,深圳市启德教育集团,学前教育,20-99人,www.eickaopei.com/eic,3.7,￥5735
深圳,教育/培训,新东方教育科技集团深圳分校,外语培训,,,3.6,￥4000
深圳,教育/培训,南方科技大学,院校,100-499人,www.sustc.edu.cn,3.9,￥5750
深圳,教育/培训,伯明汉国际英语学校,外语培训,20-99人,,4.6,￥2610
深圳,教育/培训,深圳职业技术学院,院校,500-999人,www.szpt.edu.cn,4.6,￥8193
深圳,教育/培训,深圳市新华商智文化发展有限公司,影视/媒体,500-999人,www.xhgsb.com,4.3,￥4011
深圳,教育/培训,狄邦教育管理集团,学术/科研,20-99人,www.dipont.com,4.0,￥5110
深圳,教育/培训,新阳光,外语培训,100-499人,www.xygmed.com,1.0,￥4300
深圳,教育/培训,Shen zhen kai Lai industry co ltd,院校,20-99人,,暂无,￥5203
深圳,教育/培训,深圳市计量质量检测研究院,学术/科研,500-999人,www.smq.com.cn,3.3,￥7000
深圳,教育/培训,深圳美联英语,外语培训,1000-9999人,meteni.com,4.0,￥6250
深圳,教育/培训,深圳市阳光星火文化传播有限公司,院校,1000-9999人,,暂无,￥4425
深圳,教育/培训,深圳市建筑科学研究院,学术/科研,www.szibr.com,,3.8,￥6335
深圳,教育/培训,深圳市城市规划设计研究院,学术/科研,100-499人,www.upr.cn,4.2,￥7429
深圳,教育/培训,深圳天翊高家政,其他技能培训,20-99人,webmanager.58.com/main,暂无,￥0
深圳,教育/培训,TCL工业研究院,学术/科研,100-499人,,4.1,￥8397
深圳,教育/培训,深圳建科院,学术/科研,100-499人,,3.6,￥4859
深圳,教育/培训,深圳市尚德机构,其他技能培训,100-499人,www.sunlands.com,3.6,￥3500
深圳,教育/培训,深圳市龙华新区加速职业技能培训中心,其他技能培训,100-499人,,暂无,￥5449
深圳,教育/培训,深圳市紫牛创富文化传播有限公司,院校,20-99人,,暂无,￥6275
深圳,教育/培训,深圳大学建筑设计研究院,建筑设计,,,4.0,￥8700
深圳,教育/培训,深圳航天科技创新研究院,学术/科研,100-499人,www.chinasaat.com,2.7,￥5800
深圳,教育/培训,中国科学院深圳先进技术研究院,学术/科研,500-999人,www.siat.ac.cn,4.0,￥3733
深圳,教育/培训,深圳市标准技术研究院,学术/科研,500-999人,www.sz12365.net,3.6,￥6000
深圳,教育/培训,深圳赣冠职业培训学校,其他技能培训,100-499人,www.gg-px.com,2.0,￥4582
深圳,教育/培训,深圳市全程心理卫生研究所,学术/科研,100-499人,www.szxlzx.org,5.0,￥3438
深圳,教育/培训,深圳市安心家政集团,其他技能培训,1000-9999人,www.axhjz.com,5.0,￥11220
