地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
深圳,机械/制造,富士康,原材料及加工/模具,1000-9999人,www.foxconn.com.cn,3.3,￥4898
深圳,机械/制造,艾默生网络能源,仪器/仪表/工业自动化,10000人以上,www.emersonnetwork.com.cn,4.1,￥8500
深圳,机械/制造,深圳航空有限责任公司,交通/运输,10000人以上,www.shenzhenair.com,3.5,￥6000
深圳,机械/制造,大族激光,仪器/仪表/工业自动化,10000人以上,www.hanslaser.com,3.6,￥6500
深圳,机械/制造,伯恩光学有限公司,原材料及加工/模具,1000-9999人,www.bielcrystal.com,2.8,￥4109
深圳,机械/制造,中国南玻集团,原材料及加工/模具,500-999人,www.csgholding.com,3.3,￥5214
深圳,机械/制造,飞亚达集团,原材料及加工/模具,1000-9999人,www.fiyta.com.cn,4.0,￥7128
深圳,机械/制造,肯发精密仪器（深圳,仪器/仪表/工业自动化,500-999人,,3.2,￥3269
深圳,机械/制造,信泰光学,原材料及加工/模具,100-499人,www.china-center.com,3.6,￥3476
深圳,机械/制造,深圳平湖维达力实业有限公司,原材料及加工/模具,20-99人,,3.5,￥5087
深圳,机械/制造,深圳市英威腾电气股份有限公司,仪器/仪表/工业自动化,500-999人,www.invt.com.cn,3.4,￥6600
深圳,机械/制造,道通科技,计算机软件,500-999人,www.auteltech.cn,2.2,￥7500
深圳,机械/制造,深圳齐心文具有限公司,办公用品及设备,100-499人,,3.2,￥4500
深圳,机械/制造,立讯精密工业,电子/半导体/集成电路,1000-9999人,www.luxshare.com.cn,3.2,￥4500
深圳,机械/制造,深圳特发信息,原材料及加工/模具,1000-9999人,www.sdgi.com.cn,2.9,￥4500
深圳,机械/制造,达实智能,仪器/仪表/工业自动化,500-999人,www.chn-das.com,3.5,￥5800
深圳,机械/制造,东明机电（深圳）有限公司,仪器/仪表/工业自动化,1000-9999人,www.dmmotor.com,3.7,￥4000
深圳,机械/制造,硕颖实业（深圳）有限公司,原材料及加工/模具,500-999人,www.shuoying.com.cn,4.3,￥4495
深圳,机械/制造,深圳中集天达空港设备有限公司,机械制造/机电/重工,500-999人,www.cimc.com,3.4,￥7500
深圳,机械/制造,深圳紫金支点技术股份有限公司,原材料及加工/模具,500-999人,www.zjft.com,3.4,￥5505
深圳,机械/制造,友联船厂,机械制造/机电/重工,10000人以上,www.yiulian.com,1.5,￥5280
