地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
深圳,汽车,比亚迪(BYD),汽车生产,10000人以上,www.bydauto.com.cn,3.4,￥5361
深圳,汽车,比亚迪精密制造,汽车生产,100-499人,www.byd.com,3.4,￥5337
深圳,汽车,法雷奥汽车深圳内部控制,汽车生产,100-499人,,4.1,￥10000
深圳,汽车,元征科技,汽车维修/美容,500-999人,www.cnlaunch.com,2.9,￥6600
深圳,汽车,长安标致雪铁龙汽车有限公司,汽车生产,500-999人,www.capsa.com.cn,3.8,￥6750
深圳,汽车,深圳中集专用车有限公司,汽车生产,100-499人,www.scvc8.com,3.8,￥6120
深圳,汽车,比亚迪汽车工业有限公司,汽车零部件,10000人以上,www.bydauto.com.cn/,3.5,￥5000
深圳,汽车,深圳路畅科技有限公司,汽车生产,100-499人,www.roadrover.cn,3.5,￥5500
深圳,汽车,深圳五洲龙汽车公司,汽车生产,20-99人,www.wzlmotors,3.1,￥4620
深圳,汽车,沙井三洋微马达厂,汽车生产,1000-9999人,,3.2,￥4175
深圳,汽车,英华利汽车模具系统(深圳)有限公司,汽车生产,500-999人,,3.3,￥5250
深圳,汽车,深圳泰祥汽车配件有限公司,汽车零部件,500-999人,,3.0,￥3045
深圳,汽车,锦丰科技（深圳）有限公司,汽车生产,500-999人,www.bluestar-mould.com,3.6,￥4500
深圳,汽车,广州市樱木企业管理咨询有限公司,汽车生产,20-99人,,暂无,￥4450
深圳,汽车,深圳市红彤汽车股份有限公司,汽车生产,,,3.2,￥7325
深圳,汽车,深圳市元征科技股份有限公司,汽车生产,100-499人,www.cnlaunch.com/cn/,3.1,￥6000
深圳,汽车,古河电工（深圳）有限公司,汽车零部件,1000-9999人,www.furukawa.co.jp,4.0,￥4147
深圳,汽车,永奥汽车贸易（集团）有限公司,汽车生产,1000-9999人,,暂无,￥3337
深圳,汽车,深圳市澳康达名车广场有限公司,汽车生产,500-999人,www.akd.cn,暂无,￥6250
深圳,汽车,深圳市正鼎科技有限公司,汽车生产,100-499人,www.chinazdt.com,4.0,￥4660
深圳,汽车,深圳市大兴汽车销售有限公司,汽车销售,,,暂无,￥4888
深圳,汽车,深圳市爱夫卡科技有限公司,汽车生产,100-499人,www.szfcar.com,2.5,￥5000
深圳,汽车,快美特汽车精品（深圳）有限公司,汽车生产,100-499人,www.carmate.com.cn,3.0,￥5075
深圳,汽车,深圳信隆实业股份有限公司,汽车生产,1000-9999人,www.hlcorp.com.cn,4.0,￥3601
深圳,汽车,澳康达,汽车生产,100-499人,,5.0,￥5980
深圳,汽车,深圳东风南方汽车销售服务有限公司,汽车销售,www.ego-nissan.com,,2.7,￥3853
深圳,汽车,深圳市科莱德电子有限公司,汽车生产,500-999人,www.szklyde.com,暂无,￥2500
深圳,汽车,深圳西部公共汽车有限公司,汽车生产,,,1.0,￥4718
深圳,汽车,深圳北极之光科技有限公司,汽车零部件,20-99人,www.szaurora.com.cn,暂无,￥8300
深圳,汽车,卡百特,汽车生产,100-499人,www.carbetter.net.cn,5.0,￥5781
