地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
深圳,生活服务,深圳华为慧通,酒店,1000-9999人,www.smartcom.cc,3.9,￥8000
深圳,生活服务,佳兆业文化集团,娱乐/休闲/体育,500-999人,www.kaisawh.com/,3.7,￥9170
深圳,生活服务,维也纳酒店有限公司,酒店,10000人以上,www.wyn88.com,3.2,￥3400
深圳,生活服务,凯宾斯基酒店,酒店,1000-9999人,www.kempinski.com,4.2,￥2900
深圳,生活服务,观澜湖高尔夫球会,娱乐/休闲/体育,500-999人,www.missionhillsgroup.com,3.5,￥3675
深圳,生活服务,深圳慧通商务有限公司,酒店,0-20人,www.smartcom.cc,4.3,￥5356
深圳,生活服务,百胜餐饮（深圳）有限公司,餐饮,10000人以上,www.yumcareers.cn,3.7,￥5191
深圳,生活服务,奇利田高尔夫用品(深圳)有限公司,娱乐/休闲/体育,20-99人,,2.8,￥3000
深圳,生活服务,深圳市嘉旺餐饮连锁有限公司,餐饮,20-99人,,3.7,￥3625
深圳,生活服务,深圳必胜客,餐饮,20-99人,,4.0,￥3098
深圳,生活服务,深圳东部华侨城有限公司,娱乐/休闲/体育,1000-9999人,www.octeast.com,4.3,￥4175
深圳,生活服务,宝安区灵芝嘉州健身房,娱乐/休闲/体育,100-499人,www.jiazhoujs.com,5.0,￥6000
深圳,生活服务,深圳凯宾斯基酒店,酒店,,,3.8,￥4424
深圳,生活服务,深圳汇洁集团,丽人/美容/美发,20-99人,,3.4,￥4995
深圳,生活服务,澳大利亚凯莉美公司（KYLIEM）,丽人/美容/美发,0-20人,,4.7,￥3713
深圳,生活服务,深圳蔓妮视觉婚纱摄影工作室,婚庆/摄影,0-20人,www.szmnsj.com,5.0,￥0
深圳,生活服务,深圳市梦圆皇宫管理咨询有限公司,丽人/美容/美发,100-499人,,5.0,￥5437
深圳,生活服务,深圳香格里拉大酒店,酒店,1000-9999人,,3.0,￥4066
深圳,生活服务,深圳市都市宝宝家政服务有限公司,家政服务,20-99人,www.gj8888.com.cn,暂无,￥2941
深圳,生活服务,天下房仓,酒店,100-499人,www.fangcang.com,2.5,￥11666
深圳,生活服务,华侨城集团,旅游,1000-9999人,www.chinaoct.com,3.0,￥6800
深圳,生活服务,宾馆,酒店,,,暂无,￥2781
深圳,生活服务,妇幼保健院,丽人/美容/美发,,,3.0,￥2900
深圳,生活服务,广州四季酒店,酒店,,,4.0,￥2263
深圳,生活服务,深圳欢乐谷,娱乐/休闲/体育,,,3.0,￥4350
深圳,生活服务,深圳世界之窗有限公司,酒店,1000-9999人,www.szwwco.com,4.0,￥5808
深圳,生活服务,东部华侨城,娱乐/休闲/体育,,,3.9,￥3168
深圳,生活服务,自然美美容院,丽人/美容/美发,20-99人,,暂无,￥4914
深圳,生活服务,深圳市维真化妆品,丽人/美容/美发,20-99人,,3.5,￥5940
深圳,生活服务,深圳信拓商务（家政部）服务有限公司,家政服务,0-20人,www.gj8888.cn,5.0,￥0
深圳,生活服务,深圳市好百年婚庆礼仪策划有限公司,婚庆/摄影,100-499人,www.szhbn.com,暂无,￥6501
深圳,生活服务,深圳观澜湖高尔夫,娱乐/休闲/体育,,,4.0,￥5015
深圳,生活服务,宝利来国际大酒店,酒店,100-499人,,暂无,￥3160
深圳,生活服务,安心家政月嫂培训学校,家政服务,100-499人,www.ftaxh.com/,暂无,￥0
深圳,生活服务,深航国际酒店,酒店,,,4.0,￥2900
深圳,生活服务,深圳市味食尚餐饮管理有限公司,餐饮,1000-9999人,www.ylwss.cn,暂无,￥4400
深圳,生活服务,深圳市欢乐地铁站餐饮投资管理有限公司,酒店,100-499人,www.hkcafe.cn,暂无,￥4400
深圳,生活服务,大卫时尚传媒摄影工作室,婚庆/摄影,20-99人,,5.0,￥15000
深圳,生活服务,深圳市古德菲力投资管理有限公司,娱乐/休闲/体育,500-999人,,暂无,￥3893
深圳,生活服务,深圳华侨城洲际大酒店,酒店,500-999人,,3.8,￥3300
深圳,生活服务,深圳威尼斯酒店,酒店,500-999人,www.szvenicehotel.com,3.6,￥2940
深圳,生活服务,同游网,酒店,20-99人,www.tagalong.cn,暂无,￥10049
深圳,生活服务,丸美化妆品,丽人/美容/美发,20-99人,www.7tong.net,4.0,￥6798
深圳,生活服务,深圳联众贷投资管理有限公司,投资/融资,20-99人,www.dai188.com/,暂无,￥6000
深圳,生活服务,深圳市美诗婷化妆品有限公司,丽人/美容/美发,,,暂无,￥9150
