地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
深圳,能源/化工/环保,中广核,电力/水利,1000-9999人,www.cgnpc.com.cn,4.0,￥8000
深圳,能源/化工/环保,华润燃气,电力/水利,500-999人,www.crcgas.com,3.4,￥3117
深圳,能源/化工/环保,杜邦,石油/石化/化工,10000人以上,www.dupont.cn/,4.1,￥6990
深圳,能源/化工/环保,深瑞,电力/水利,1000-9999人,www.sznari.com,3.7,￥8000
深圳,能源/化工/环保,华润电力,电力/水利,500-999人,www.cr-power.com,4.0,￥6000
深圳,能源/化工/环保,杜邦中国,石油/石化/化工,1000-9999人,www.dupont.com.cn,4.2,￥8839
深圳,能源/化工/环保,华润新能源控股有限公司,电力/水利,1000-9999人,www.cr-power.com,4.0,￥5470
深圳,能源/化工/环保,河南森源电气股份有限公司,电力/水利,1000-9999人,www.hnsyec.com,2.8,￥3770
深圳,能源/化工/环保,宇星科技发展（深圳）有限公司,环保,20-99人,www.szusst.cn,3.2,￥3625
深圳,能源/化工/环保,港华集团,石油/石化/化工,500-999人,www.towngas.com.cn/cn/about/contact.html,3.9,￥3000
深圳,能源/化工/环保,大亚湾核电站,电力/水利,10000人以上,www.dnmc.com.cn,4.0,￥6205
深圳,能源/化工/环保,深圳中电电力,电力/水利,100-499人,www.ceiec-electric.com,3.8,￥6320
深圳,能源/化工/环保,中国广东核电集团,电力/水利,0-20人,www.cgnpc.com.cn,4.4,￥9480
深圳,能源/化工/环保,中国燃气集团,石油/石化/化工,1000-9999人,www.cnpc.com.cn,2.9,￥3738
深圳,能源/化工/环保,深圳航嘉驰源电气有限公司,电力/水利,500-999人,www.huntkey.com,3.4,￥6112
深圳,能源/化工/环保,戈尔科技（深圳）有限公司,石油/石化/化工,20-99人,www.gore.com,3.7,￥9037
深圳,能源/化工/环保,深圳水务集团,电力/水利,1000-9999人,www.waterchina.com,3.6,￥5075
深圳,能源/化工/环保,深圳市铁汉生态环境股份有限公司,环保,500-999人,www.sztechand.com,3.9,￥6000
深圳,能源/化工/环保,深圳燃气集团,石油/石化/化工,1000-9999人,www.szgas.com.cn,3.6,￥5002
深圳,能源/化工/环保,深圳豪恩集团,新能源(太阳能/风能),100-499人,,3.7,￥5324
深圳,能源/化工/环保,本溪钢铁,矿产/地质/采掘/冶炼,10000人以上,www.bxsteel.com,3.7,￥3630
深圳,能源/化工/环保,深圳明源,石油/石化/化工,100-499人,,5.0,￥9164
深圳,能源/化工/环保,中海油深圳分公司,石油/石化/化工,1000-9999人,,3.9,￥6037
深圳,能源/化工/环保,深圳芭田生态工程股份有限公司,环保,100-499人,,4.2,￥5000
深圳,能源/化工/环保,中国燃气,矿产/地质/采掘/冶炼,10000人以上,www.chinagasholdings.com,1.3,￥2900
深圳,能源/化工/环保,中华制漆（深圳）有限公司,石油/石化/化工,,,2.8,￥5530
深圳,能源/化工/环保,光汇石油,石油/石化/化工,1000-9999人,www.bwoil.com,2.8,￥8000
深圳,能源/化工/环保,中国化工集团,石油/石化/化工,1000-9999人,www.chemchina.com.cn,3.7,￥7005
深圳,能源/化工/环保,深圳正弦电气有限公司,电力/水利,100-499人,www.sinee.cn,3.3,￥5199
深圳,能源/化工/环保,深圳新飞通光电,电力/水利,,,4.7,￥9218
深圳,能源/化工/环保,海亿达能源,电力/水利,100-499人,www.hietech.com.cn,2.2,￥4915
深圳,能源/化工/环保,深圳奥特迅电力设备股份有限公司,电力/水利,1000-9999人,www.atc-a.com,2.1,￥5075
深圳,能源/化工/环保,深圳供电局,电力/水利,500-999人,www.sz.csg.cn/,3.3,￥6655
深圳,能源/化工/环保,深圳能源集团股份有限公司,电力/水利,1000-9999人,www.sec.com.cn,3.8,￥6320
深圳,能源/化工/环保,奔达康集团,石油/石化/化工,,,3.0,￥2639
深圳,能源/化工/环保,九洲光电,电力/水利,100-499人,www.scjz-led.com,2.6,￥3300
深圳,能源/化工/环保,禾望电气,电力/水利,100-499人,www.hopewind.com.cn,3.2,￥8326
深圳,能源/化工/环保,长园集团,石油/石化/化工,1000-9999人,,4.3,￥8000
深圳,能源/化工/环保,深圳市东江环保股份有限公司,环保,100-499人,www.dongjiang.com.cn,4.0,￥5869
深圳,能源/化工/环保,深圳OKI冲电气实业有限公司,电力/水利,0-20人,,3.0,￥4525
深圳,能源/化工/环保,沃尔核材,电力/水利,500-999人,www.woer.com,4.0,￥4901
深圳,能源/化工/环保,深圳天通精电科技有限公司,电力/水利,20-99人,,4.0,￥2997
深圳,能源/化工/环保,深圳市百纳威电子股份有限公司,环保,1000-9999人,,2.5,￥9133
深圳,能源/化工/环保,施耐德电气智能终端事业部深圳研发中心,电力/水利,500-999人,,4.0,￥10744
深圳,能源/化工/环保,马石油,石油/石化/化工,,,5.0,￥8450
