地区,行业领域,公司名称,行业,公司规模,网站,公司评分,月薪
深圳,IT/互联网,腾讯,互联网,10000人以上,hr.tencent.com,4.4,￥11580
深圳,IT/互联网,深信服科技,电子/半导体/集成电路,1000-9999人,www.sangfor.com.cn,4.1,￥9480
深圳,IT/互联网,金蝶软件,计算机软件,1000-9999人,www.kingdee.com,3.6,￥7000
深圳,IT/互联网,平安科技,计算机软件,1000-9999人,tech.pingan.com/,3.8,￥10282
深圳,IT/互联网,珍爱网,SNS/社交网络,10000人以上,www.zhenai.com,3.6,￥5500
深圳,IT/互联网,易思博（BroadenGate）,计算机软件,1000-9999人,www.broadengate.com,2.8,￥6336
深圳,IT/互联网,环球资源（global sourse）,互联网,500-999人,www.globalsources.com,3.5,￥5032
深圳,IT/互联网,迅雷,移动互联网,1000-9999人,www.xunlei.com,3.8,￥9450
深圳,IT/互联网,深圳明源软件公司,计算机软件,1000-9999人,www.mysoft.com.cn,3.9,￥7000
深圳,IT/互联网,百度深圳分公司,互联网,10000人以上,www.baidu.com/,4.1,￥6000
深圳,IT/互联网,深圳国泰安信息技术,计算机软件,1000-9999人,www.gtafe.com,3.4,￥6000
深圳,IT/互联网,深圳茁壮网络,IT服务/系统集成,100-499人,www.ipanel.cn,3.5,￥6000
深圳,IT/互联网,康拓普,计算机软件,1000-9999人,www.szcomtop.com,3.7,￥9254
深圳,IT/互联网,平安数据科技,IT服务/系统集成,500-999人,www.pingan.com/,3.3,￥4500
深圳,IT/互联网,大疆,智能硬件,1000-9999人,www.dji.com,3.6,￥10000
深圳,IT/互联网,深圳市金证科技股份有限公司,计算机软件,1000-9999人,www.szkingdom.com,3.3,￥7000
深圳,IT/互联网,四方精创资讯（深圳）有限公司,计算机软件,1000-9999人,www.formssi.com,3.3,￥6600
深圳,IT/互联网,走秀网,电子商务,1000-9999人,www.xiu.com,3.2,￥8000
深圳,IT/互联网,深圳市赢时胜信息技术有限公司,计算机软件,100-499人,www.ysstech.com,3.0,￥6204
深圳,IT/互联网,长亮科技,计算机软件,1000-9999人,www.sunline.cn,3.4,￥7865
深圳,IT/互联网,IBM ISC(ISTC),计算机软件,100-499人,,3.9,￥11600
深圳,IT/互联网,深圳国泰安教育技术股份有限公司,计算机软件,100-499人,www.gtaedu.com,3.3,￥6000
深圳,IT/互联网,Maersk,电子商务,20-99人,www.maerskline.com,4.8,￥7937
深圳,IT/互联网,CSST,计算机硬件/网络设备,1000-9999人,www.csst.com,3.0,￥6800
深圳,IT/互联网,深圳市雁联计算系统有限公司,计算机软件,500-999人,www.ylink.com.cn,3.3,￥8000
深圳,IT/互联网,香港培德国际有限公司深圳代表处,IT服务/系统集成,500-999人,www.ptc.com,3.8,￥15800
深圳,IT/互联网,四方精创,计算机软件,1000-9999人,www.formssi.com,3.1,￥8500
深圳,IT/互联网,深圳市共济科技有限公司,计算机软件,100-499人,www.xbrother.com,3.2,￥6597
深圳,IT/互联网,深圳中软资源技术服务有限公司,计算机软件,20-99人,,2.7,￥7250
深圳,IT/互联网,深圳市丰泽高科信息技术有限公司,IT服务/系统集成,100-499人,www.foison-hitech.com,3.5,￥4700
深圳,IT/互联网,明源软件,计算机软件,100-499人,www.mysoft.com.cn,3.8,￥6000
深圳,IT/互联网,怡化电脑,计算机硬件/网络设备,100-499人,www.yihuacomputer.com,3.3,￥5251
深圳,IT/互联网,万兴软件,计算机软件,500-999人,www.wondershare.cn,3.5,￥7900
深圳,IT/互联网,500彩票网,互联网,100-499人,www.500.com,3.9,￥8000
深圳,IT/互联网,深圳市蓝凌软件股份有限公司,计算机软件,20-99人,www.landray.com.cn,3.6,￥6320
深圳,IT/互联网,福瑞博德软件开发深圳有限公司,计算机软件,100-499人,www.freeborders.com.cn,3.4,￥9347
深圳,IT/互联网,深圳第七大道科技有限公司,网游/手游,500-999人,sq.7road.com,3.8,￥7920
深圳,IT/互联网,博雅互动,网游/手游,1000-9999人,www.boyaa.com,3.3,￥10000
深圳,IT/互联网,深圳市宜搜科技发展有限公司,门户网站/搜索引擎,20-99人,www.easou.com,3.3,￥9000
深圳,IT/互联网,问鼎资讯,咨询,500-999人,www.wunding.com,3.1,￥6600
深圳,IT/互联网,龙图软件,计算机软件,100-499人,www.szlongtu.com,3.1,￥6087
深圳,IT/互联网,中国人才热线,网络招聘,100-499人,www.cjol.com/,3.9,￥5000
深圳,IT/互联网,土巴兔,互联网,100-499人,www.to8to.com/about/index.html,3.3,￥5000
深圳,IT/互联网,道通科技,计算机软件,500-999人,www.auteltech.cn,2.2,￥7500
深圳,IT/互联网,深圳任子行网络技术有限公司,互联网,20-99人,www.1218.com.cn,3.0,￥6525
深圳,IT/互联网,凯立德,计算机软件,500-999人,www.careland.com.cn,3.2,￥5940
深圳,IT/互联网,软通动力公司,计算机软件,1000-9999人,,3.0,￥7500
深圳,IT/互联网,何显毅建筑工程师楼地产发展顾问有限公司,房地产开发,100-499人,www.goujiawang.com,2.0,￥5000
深圳,IT/互联网,深圳谷米科技有限公司,互联网,100-499人,www.goome.net,3.7,￥12500
深圳,IT/互联网,深圳南瑞科技有限公司,计算机软件,100-499人,www.sznari.com,4.0,￥9306
深圳,IT/互联网,深圳快播有限公司,移动互联网,100-499人,www.qvod.com,4.1,￥5723
深圳,IT/互联网,腾邦国际,互联网,1000-9999人,www.tempusworld.com,3.2,￥7500
深圳,IT/互联网,尚游游戏,网游/手游,100-499人,www.syyx.com,4.0,￥7685
深圳,IT/互联网,联友科技,IT服务/系统集成,100-499人,www.szlanyou.com,2.6,￥5800
深圳,IT/互联网,房多多,互联网,1000-9999人,www.fangdd.com,2.9,￥7500
深圳,IT/互联网,平安金融科技,互联网金融,1000-9999人,www.10100000.com/,3.3,￥12500
深圳,IT/互联网,深圳银河网络,互联网,100-499人,www.galaxywind.com,2.5,￥7055
深圳,IT/互联网,深圳市捷为科技有限公司,计算机软件,20-99人,www.jawave.com,3.8,￥8500
