标题,链接,开始时间,预计结束时间,第几次拍卖,成交价,成交时间,延时次数,起拍价,保证金,评估价,加价幅度,竞价周期,延时周期,类型,优先购买权人,处置单位,报名人数,设置提醒人数,围观次数,竞买次数,市场价
津DP6299奇瑞牌车,https://sf.taobao.com/sf_item/566824980294.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,23562,2018/4/20 11:20,169,￥700,￥70,"￥1,000",￥14,1天,5分钟,拍卖,无,天津市第二中级人民法院,25,81,4061,220,
关于津A99331捷达牌车,https://sf.taobao.com/sf_item/566824932624.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,24110,2018/4/20 11:19,113,"￥1,050",￥105,"￥1,500",￥20,1天,5分钟,拍卖,无,天津市第二中级人民法院,21,72,4462,154,
津C99722捷达牌车,https://sf.taobao.com/sf_item/567028366653.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,25677.4,2018/4/20 11:03,107,"￥1,429.4",￥143,"￥2,000",￥28,1天,5分钟,拍卖,无,天津市第二中级人民法院,16,51,3041,158,
车牌号为浙C0EX61宝马牌小型汽车,https://sf.taobao.com/sf_item/567084114612.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,311000,2018/4/20 10:57,43,"￥231,000","￥46,000","￥330,000","￥1,000",1天,5分钟,拍卖,无,温州市龙湾区人民法院,13,580,20916,75,
渝C5U060五菱牌小型普通客车一辆,https://sf.taobao.com/sf_item/566618608166.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,17800,2018/4/20 10:49,42,"￥6,000",￥600,"￥6,000",￥50,1天,5分钟,拍卖,无,重庆市璧山区人民法院,22,190,6236,74,
车牌号为浙C10897宝马牌小型汽车,https://sf.taobao.com/sf_item/566880528345.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,159600,2018/4/20 10:35,48,"￥110,600","￥22,000","￥158,000","￥1,000",1天,5分钟,拍卖,无,温州市龙湾区人民法院,4,152,12917,50,
车牌号为浙A5EZ88的松花江牌小型轿车一辆,https://sf.taobao.com/sf_item/567076146055.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,43000,2018/4/20 10:30,16,"￥6,000","￥1,000","￥6,259","￥1,000",1天,5分钟,拍卖,无,杭州市滨江区人民法院,10,51,3179,31,
车牌为浙A6AJ26别克牌小型轿车一辆,https://sf.taobao.com/sf_item/567144059513.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,57500,2018/4/20 10:30,35,"￥25,000","￥5,000","￥29,991",￥500,1天,5分钟,拍卖,无,建德市人民法院,8,63,3851,44,
浙JL571X号宝马牌小型汽车,https://sf.taobao.com/sf_item/566881384379.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,250000,2018/4/20 10:30,25,"￥147,000","￥29,400","￥210,000","￥1,000",1天,5分钟,拍卖,无,台州市椒江区人民法院,17,885,23355,60,
车牌号为浙AL06E2号汽车一辆,https://sf.taobao.com/sf_item/566859376242.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,42200,2018/4/20 10:29,45,"￥3,700",￥700,"￥5,228",￥500,1天,5分钟,拍卖,无,杭州市余杭区人民法院,20,59,2693,67,
车牌号为浙AE931E号汽车一辆,https://sf.taobao.com/sf_item/567061698026.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,45000,2018/4/20 10:29,24,"￥13,000","￥2,600","￥18,459","￥1,000",1天,5分钟,拍卖,无,杭州市余杭区人民法院,10,104,4911,28,
津CZ1719捷达牌车,https://sf.taobao.com/sf_item/567028446429.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,26020,2018/4/20 10:29,89,"￥2,100",￥210,"￥3,000",￥40,1天,5分钟,拍卖,无,天津市第二中级人民法院,10,51,3044,121,
被执行人王锡珊所有的琼A0D822吉利美日MR7181轿车,https://sf.taobao.com/sf_item/567084958310.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,18745,2018/4/20 10:27,49,"￥6,645","￥1,300","￥6,645",￥100,1天,5分钟,拍卖,无,海南省第一中级人民法院,14,125,5622,94,
罗**所有的车牌号为粤AT578S的奥迪牌FV7201TFCVTG型轿车一辆,https://sf.taobao.com/sf_item/566829228410.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,110700,2018/4/20 10:26,16,"￥97,200","￥10,000","￥121,500",￥500,1天,5分钟,拍卖,无,浏阳市人民法院,4,95,7472,16,
