标题,链接,开始时间,预计结束时间,第几次拍卖,成交价,成交时间,延时次数,起拍价,保证金,评估价,加价幅度,竞价周期,延时周期,类型,优先购买权人,处置单位,报名人数,设置提醒人数,围观次数,竞买次数,市场价,总跳跃幅度,总跳跃次数,平均跳跃幅度,前期总跳跃幅度,前期总跳跃次数,前期平均跳跃幅度,中期总跳跃幅度,中期总跳跃次数,中期平均跳跃幅度,后期总跳跃幅度,后期总跳跃次数,后期平均跳跃幅度,竞买记录,跳跃记录
车牌号为浙C0EX61宝马牌小型汽车,https://sf.taobao.com/sf_item/567084114612.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,311000,2018/4/20 10:57,43,"231,000","46,000","330,000","1,000",1天,5分钟,拍卖,无,温州市龙湾区人民法院,13,580,20916,75,,6000,3,2000,0,0,0,5000,2,2500,1000,1,1000,.\data\567084114612.csv,.\data\567084114612jump.csv
渝C5U060五菱牌小型普通客车一辆,https://sf.taobao.com/sf_item/566618608166.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,17800,2018/4/20 10:49,42,"6,000",600,"6,000",50,1天,5分钟,拍卖,无,重庆市璧山区人民法院,22,190,6236,74,,8150,13,626.9230769,7550,8,943.75,50,1,50,550,4,137.5,.\data\566618608166.csv,.\data\566618608166jump.csv
车牌号为浙C10897宝马牌小型汽车,https://sf.taobao.com/sf_item/566880528345.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,159600,2018/4/20 10:35,48,"110,600","22,000","158,000","1,000",1天,5分钟,拍卖,无,温州市龙湾区人民法院,4,152,12917,50,,0,0,0,0,0,0,0,0,0,0,0,0,.\data\566880528345.csv,.\data\566880528345jump.csv
车牌号为浙A5EZ88的松花江牌小型轿车一辆,https://sf.taobao.com/sf_item/567076146055.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,43000,2018/4/20 10:30,16,"6,000","1,000","6,259","1,000",1天,5分钟,拍卖,无,杭州市滨江区人民法院,10,51,3179,31,,7000,3,2333.333333,0,0,0,5000,2,2500,2000,1,2000,.\data\567076146055.csv,.\data\567076146055jump.csv
车牌为浙A6AJ26别克牌小型轿车一辆,https://sf.taobao.com/sf_item/567144059513.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,57500,2018/4/20 10:30,35,"25,000","5,000","29,991",500,1天,5分钟,拍卖,无,建德市人民法院,8,63,3851,44,,11000,4,2750,0,0,0,0,0,0,11000,4,2750,.\data\567144059513.csv,.\data\567144059513jump.csv
浙JL571X号宝马牌小型汽车,https://sf.taobao.com/sf_item/566881384379.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,250000,2018/4/20 10:30,25,"147,000","29,400","210,000","1,000",1天,5分钟,拍卖,无,台州市椒江区人民法院,17,885,23355,60,,44000,10,4400,31000,6,5166.666667,3000,1,3000,10000,3,3333.333333,.\data\566881384379.csv,.\data\566881384379jump.csv
车牌号为浙AE931E号汽车一辆,https://sf.taobao.com/sf_item/567061698026.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,45000,2018/4/20 10:29,24,"13,000","2,600","18,459","1,000",1天,5分钟,拍卖,无,杭州市余杭区人民法院,10,104,4911,28,,5000,1,5000,0,0,0,5000,1,5000,0,0,0,.\data\567061698026.csv,.\data\567061698026jump.csv
被执行人王锡珊所有的琼A0D822吉利美日MR7181轿车,https://sf.taobao.com/sf_item/567084958310.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,18745,2018/4/20 10:27,49,"6,645","1,300","6,645",100,1天,5分钟,拍卖,无,海南省第一中级人民法院,14,125,5622,94,,2800,16,175,1400,6,233.3333333,0,0,0,1400,10,140,.\data\567084958310.csv,.\data\567084958310jump.csv
罗**所有的车牌号为粤AT578S的奥迪牌FV7201TFCVTG型轿车一辆,https://sf.taobao.com/sf_item/566829228410.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,110700,2018/4/20 10:26,16,"97,200","10,000","121,500",500,1天,5分钟,拍卖,无,浏阳市人民法院,4,95,7472,16,,6000,6,1000,0,0,0,0,0,0,6000,6,1000,.\data\566829228410.csv,.\data\566829228410jump.csv
川AX3V91长城牌轻型普通货车,https://sf.taobao.com/sf_item/567164575275.htm,2018/4/19 10:00,2018/4/20 10:00,第一次拍卖,30200,2018/4/20 10:25,32,"13,200","2,000","13,200",200,1天,5分钟,拍卖,无,成都市武侯区人民法院,10,109,4768,62,,4800,5,960,2200,1,2200,2000,3,666.6666667,600,1,600,.\data\567164575275.csv,.\data\567164575275jump.csv
