['粤Y585R0奇瑞牌小型汽车', '//sf.taobao.com/sf_item/564696196957.htm', 'failure']
['苏JG3079号别克轿车及空调、冰柜、灶具、桌、椅、货架、电脑等物品', '//sf.taobao.com/sf_item/566192437398.htm', 'failure']
['车牌号为宁E59015、宁ED261挂的东风天龙牵引车及中集挂车各一辆', '//sf.taobao.com/sf_item/566418832674.htm', 'failure']
['豫AM022R北京现代牌小型轿车一辆', '//sf.taobao.com/sf_item/566743758006.htm', 'failure']
['湘H7DK88海马牌小型轿车', '//sf.taobao.com/sf_item/566799428862.htm', 'failure']
['龙帝牌湘K47068水泥槽罐车壹辆', '//sf.taobao.com/sf_item/566811716333.htm', 'failure']
['东风牌小型普通客车', '//sf.taobao.com/sf_item/566812520362.htm', 'failure']
['冀DL3182欧曼牌重型半挂牵引车', '//sf.taobao.com/sf_item/566815416501.htm', 'failure']
['进口奥迪Q7车辆一台(越野车，车牌号湘B6N136)', '//sf.taobao.com/sf_item/566819476927.htm', 'failure']
['贵F06583号金龙牌大型普通客车一辆', '//sf.taobao.com/sf_item/566942121813.htm', 'failure']
['豫CP5128北京现代小型汽车', '//sf.taobao.com/sf_item/566942401184.htm', 'failure']
['鲁B768E7号奥迪牌小型轿车', '//sf.taobao.com/sf_item/566961943855.htm', 'failure']
['雅奇牌YQ125-D二轮摩托', '//sf.taobao.com/sf_item/566971681493.htm', 'failure']
['粤PRB966本田2001款雅阁小汽车一辆', '//sf.taobao.com/sf_item/566997209882.htm', 'failure']
['车牌号为鲁N35069号牵引车', '//sf.taobao.com/sf_item/567000085808.htm', 'failure']
['苏N5J933酷派牌小型汽车', '//sf.taobao.com/sf_item/567004162787.htm', 'failure']
['辽A9J851宝来牌FV7162XG小型轿车', '//sf.taobao.com/sf_item/567017538079.htm', 'failure']
['闽AEM352比亚迪牌汽车', '//sf.taobao.com/sf_item/567020294829.htm', 'failure']
['牌号为苏MUZ980荣威牌小型汽车', '//sf.taobao.com/sf_item/567025890276.htm', 'failure']
['贵F06577号金龙牌大型普通客车一辆', '//sf.taobao.com/sf_item/567027130699.htm', 'failure']
['贵F06541号金龙牌大型普通客车一辆', '//sf.taobao.com/sf_item/567027438385.htm', 'failure']
['贵F06407号金龙牌大型普通客车一辆', '//sf.taobao.com/sf_item/567027838029.htm', 'failure']
['车牌号为鲁NFS66挂号挂车', '//sf.taobao.com/sf_item/567086738776.htm', 'failure']
['陕A961N9号梅德赛斯-奔驰牌FA6500E小型普通客车一辆', '//sf.taobao.com/sf_item/567102759657.htm', 'failure']
['皖K02983（豪泺牌）重型半挂牵引车、皖KS869 (陆锋牌)重型普通半挂车', '//sf.taobao.com/sf_item/567105895240.htm', 'failure']
['2011款豫SP0808号红色宝马X6小型越野客车（不含车牌）', '//sf.taobao.com/sf_item/567116087394.htm', 'failure']
['车牌为沪H99900宝马牌WBAFE410轿车', '//sf.taobao.com/sf_item/567253356334.htm', 'failure']
['（破）车牌号为浙C33308安徽江淮牌中型普通货车', '//sf.taobao.com/sf_item/567378165660.htm', 'failure']
['荣昌县鑫达机械链造有限公司所有的东风牌重型自卸货车两辆', '//sf.taobao.com/sf_item/567418470311.htm', 'failure']
['津KV9511梅赛德斯-奔驰GL450汽车', '//sf.taobao.com/sf_item/567526947325.htm', 'failure']
['鲁RS586L北京现代牌小汽车', '//sf.taobao.com/sf_item/565068943467.htm', 'failure']
['东风日产楼兰越野车', '//sf.taobao.com/sf_item/566421432414.htm', 'failure']
['太原市锦隆工贸有限公司所有的解放牌主车晋A71941和昌骅牌挂车晋A8714挂', '//sf.taobao.com/sf_item/566667460548.htm', 'failure']
['太原市锦隆工贸有限公司所有的解放牌主车晋A72018和昌骅牌挂车晋A9587挂', '//sf.taobao.com/sf_item/566668240677.htm', 'failure']
['太原市锦隆工贸有限公司所有的解放牌主车晋A72008和昌骅牌挂车晋A9585挂', '//sf.taobao.com/sf_item/566674596629.htm', 'failure']
